#/home/enes/bim/BIM.py trees/r8000000.trees,trees/r8000001.trees,trees/r8000002.trees,trees/r8000003.trees,trees/r8000004.trees,trees/r8000005.trees,trees/r8000006.trees 250 --stats=all --eta=etas/BC.json --out=outs/482019188.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,ZngE,FayH,FulD,bsfs,FerL,Colless,btree,path
0,2501.0,250,8,-0.17079672391919587,-0.3590778067757467,0.06646563352905052,-2.1336902172929455,0.5547989992988511,0.3685443733011415,0.03229692965410027,0.20646098504359772,r8000000.trees
0,2501.0,250,9,1.5228736878239186,0.8735418744800776,0.09054657106646662,-2.200729241468039,1.122127800101767,-0.3468400976955185,0.028100304443580776,0.6195314639772627,r8000001.trees
0,2501.0,250,12,1.4504142111150944,1.838769614839519,-0.17163941088450554,-2.356251271886407,0.6670326684337995,-1.5796073999916642,0.027541618085244197,0.8237108308292262,r8000002.trees
0,2501.0,250,9,0.5214583423575695,0.2336658505810541,0.04938519495943637,3.7663527203660054,1.1085547122109732e-08,-0.03638378634351252,0.02938852182925249,0.5083489016424946,r8000003.trees
0,2501.0,250,5,-0.8196412042388233,0.3296249197896453,-0.3451458480252711,0.40820632868312906,-0.5330979207431656,-0.80873128313956,0.04360761016415894,-0.24520934882563244,r8000004.trees
0,2501.0,250,9,-0.6682196372138738,-1.0272663141611391,0.1411156576858895,-0.7089587510095279,1.1085547122109732e-08,0.9627331295884962,0.04859067606832861,-0.5778595118222706,r8000005.trees
0,2501.0,250,4,-0.3851679439644619,-0.6242928633557405,0.13740425041737694,3.5253392814715427,5.056170714293956e-07,0.607830464223973,0.05120841790099465,-1.022568237882804,r8000006.trees
