#/home/enes/bim/BIM.py trees/ir3000040.trees,trees/ir3000041.trees,trees/ir3000042.trees,trees/ir3000043.trees,trees/ir3000044.trees,trees/ir3000045.trees,trees/ir3000046.trees,trees/ir3000047.trees,trees/ir3000048.trees,trees/ir3000049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/828092524.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,ZngE,FulD,bsfs,FerL,Colless,btree,path
0,100001.0,50,438,-0.10240875249249666,-0.492047875213392,0.2495519076760067,0.3940329581067142,-1.7016663253532227,-0.5746677399501017,0.14501282969328078,-0.8772032650594443,ir3000040.trees
0,100001.0,50,484,0.01278753183930535,0.23218947937573206,0.14537472238235377,-0.5382441787619365,0.1453407026014119,-0.028832967959924898,0.12151517048537211,0.15137423030312533,ir3000041.trees
0,100001.0,50,478,0.03581418823074609,0.39855177602189534,0.1467438376129601,0.24059716029205414,0.7956641127500419,0.0677094843216021,0.12850535897812362,-0.13135899692050826,ir3000042.trees
0,100001.0,50,467,0.04450374237353609,0.2722684690734917,-0.048226857056147626,-0.37435100118248393,0.867325316150311,0.21555934901138463,0.11895533407161317,0.12608548725282198,ir3000043.trees
0,100001.0,50,473,-0.01151470725953134,0.6942281121557193,0.8033207817013792,-0.7874318629374347,0.7834721602269953,-0.5067553801896505,0.13702434098639454,-0.35345356754948415,ir3000044.trees
0,100001.0,50,492,-0.0927156066949372,-0.17345549822190354,0.5081356825068813,-0.25167293228373583,-0.657861009404083,-0.6818058097358144,0.1460020516142965,-0.553681875622195,ir3000045.trees
0,100001.0,50,500,0.052921925766609576,0.6187764818138426,0.24770176388419318,-0.5079484853219194,0.9395635092274333,0.0826028207733877,0.11792181661396949,-0.11074396152058472,ir3000046.trees
0,100001.0,50,424,0.007940723727283897,-0.122586561218674,-0.18538742647723871,0.760208341879897,-0.19251888932872732,0.13924661685451262,0.12576452599388374,-0.28831350142952217,ir3000047.trees
0,100001.0,50,449,0.044146377535825114,0.027360055850827646,-0.2986350848718563,0.6667546697915133,0.3801275384464734,0.3567546085803328,0.13506235827664398,-0.18267855030706145,ir3000048.trees
0,100001.0,50,350,-0.07131038091122838,0.08720373794880308,0.6154832011720653,-0.1602547932350361,-0.16396539406977667,-0.651132366165139,0.13895452918009316,-0.5046557415415382,ir3000049.trees
