#/home/enes/bim/BIM.py trees/r8100000.trees,trees/r8100001.trees,trees/r8100002.trees,trees/r8100003.trees,trees/r8100004.trees,trees/r8100005.trees,trees/r8100006.trees,trees/r8100007.trees,trees/r8100008.trees,trees/r8100009.trees,trees/r8100010.trees,trees/r8100011.trees,trees/r8100012.trees,trees/r8100013.trees,trees/r8100014.trees,trees/r8100015.trees,trees/r8100016.trees 250 --stats=all --eta=etas/BC.json --out=outs/347702365.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FayH,ZngE,FerL,FulD,bsfs,btree,Colless,path
0,10001.0,250,82,2.770408879197689,0.07181230888006637,2.050876352925383,-1.0147924802218005,-0.7628873683952676,2.761735053860819,0.5818510834638404,0.027833634678968332,r8100000.trees
0,10001.0,250,89,1.967799329272502,0.08827054486905486,1.2438221542774777,-0.45424710414509556,-0.5308855410038841,2.040220305930353,0.16792641648169304,0.03256940352460831,r8100001.trees
0,10001.0,250,122,2.628462402915959,0.15385150776526327,1.4528884555342327,-0.33600106469007834,-1.3639223241196141,1.8541596080336253,1.055579195516511,0.024544698317889555,r8100002.trees
0,10001.0,250,135,2.3843373734463684,0.06096607101329149,1.7851694316398654,-0.8791354587122489,-1.529762325967478,2.39207457406524,0.3209086928357526,0.03213930992788357,r8100003.trees
0,10001.0,250,120,2.6446058717564873,0.13545888188031302,1.5760233754163442,-0.4798708448714795,-0.719261198317651,2.1711099156065394,0.012543978398299004,0.03770088844341713,r8100004.trees
0,10001.0,250,109,2.336431740516348,0.10556180721025923,1.4747149969075624,-0.5290219586465974,-2.004844134468003,2.3892175091922168,0.570797685675065,0.02901996399025992,r8100005.trees
0,10001.0,250,114,2.6300982633563557,0.04885737943448472,2.072355800207035,-1.103624520751262,-0.920162022936404,2.4730031558859613,0.3973836457408422,0.02960898097395142,r8100006.trees
0,10001.0,250,122,2.902721460445195,0.09317642213721476,2.0579962112663823,-0.9317620396774957,-1.0607539054103245,2.5164302652132995,0.5630424646993132,0.027131824790200224,r8100007.trees
0,10001.0,250,78,3.0218947548040407,0.0973013568587247,2.126414196771716,-0.9728312126962235,-0.8799471540862621,3.806399109147761,0.7027065996782159,0.026762965841862076,r8100008.trees
0,10001.0,250,103,2.0655149308936616,0.1021808380278676,1.2514195369281704,-0.4047794506359318,-0.5143206798988201,2.947449237565884,0.1525751026475234,0.03384603909283271,r8100009.trees
0,10001.0,250,122,2.1872196414142673,0.12424855884089708,1.2313074057408147,-0.3071878857293769,-2.5765959989567713,1.7488875842921794,0.4637457409680261,0.029144605922367423,r8100010.trees
0,10001.0,250,106,2.4107184676941578,0.14439401751524206,1.3135847117759274,-0.28954675128285357,-1.8004097934486367,4.029830692740623,0.6587146851870495,0.028467732121055092,r8100011.trees
0,10001.0,250,110,2.990240282525941,0.08192695720644119,2.1996617293201606,-1.0628776346876359,-1.3449093760664421,1.9322921326409723,0.35949465190991575,0.0330372179964096,r8100012.trees
0,10001.0,250,115,2.5661572966254313,0.10871424581296008,1.662872257150173,-0.6323810965905797,-1.7410771423375533,2.3167365024763225,0.017639003859497886,0.035554127178689936,r8100013.trees
0,10001.0,250,106,2.5646637907854575,0.14470273031801859,1.4496496780841008,-0.3725848041686806,-0.9327529447566322,1.876536475528649,0.3692632650210378,0.03101024168358021,r8100014.trees
0,10001.0,250,116,2.137637087541641,0.11815386260195754,1.222725178432706,-0.32561094323670065,-0.7979283768434265,1.6830220703071452,0.526032338657236,0.028371550719005052,r8100015.trees
0,10001.0,250,100,2.7131417448639934,0.12864559238669673,1.676060212990719,-0.5728832160969111,-1.3563329208510961,2.644595678748174,0.46241446290906135,0.03143061319158005,r8100016.trees
