#/home/enes/bim/BIM.py trees/r8090034.trees,trees/r8090035.trees,trees/r8090036.trees,trees/r8090037.trees,trees/r8090038.trees,trees/r8090039.trees,trees/r8090040.trees,trees/r8090041.trees,trees/r8090042.trees,trees/r8090043.trees,trees/r8090044.trees,trees/r8090045.trees,trees/r8090046.trees,trees/r8090047.trees,trees/r8090048.trees,trees/r8090049.trees,trees/r8090050.trees 250 --stats=all --eta=etas/BC.json --out=outs/419776650.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,bsfs,FulD,TajD,ZngE,FayH,btree,Colless,path
0,10001.0,250,70,-2.718220582662489,6.8514053631895475,-2.18161763661685,5.0782245066616625,4.438537531195306,0.009177169945097798,-0.18562340779434147,0.03564488368219421,r8090034.trees
0,10001.0,250,52,-2.6513804875132476,6.275090448065845,-2.5555993414295197,4.88681629453657,4.271275337089922,-6.986346334919275e-05,-0.6263945498928599,0.03990801917346806,r8090035.trees
0,10001.0,250,62,-1.871698330915419,6.389553082562245,-1.7777844950934465,3.6689519351411395,3.1241385768302368,0.018921403193496295,0.41532316757409277,0.028644532045231617,r8090036.trees
0,10001.0,250,61,-2.5112373522540343,6.314279181294917,-2.342741672585472,4.854234443702106,4.16000351395366,0.019819857998644334,-0.5202154342548498,0.03676534093362698,r8090037.trees
0,10001.0,250,65,-2.246590372785113,5.827848119312598,-1.836623754977502,4.267734815476765,3.6938366154423994,0.012429438386074632,0.04162695700410493,0.030663874134530953,r8090038.trees
0,10001.0,250,56,-2.2531329839085825,5.636662664203533,-1.6426205680822163,4.213936505599127,3.6630075624106397,0.005688858706819204,-0.4721762207308605,0.0445468509984639,r8090039.trees
0,10001.0,250,59,-1.6361107828447556,6.210025163766694,-0.8070051971883655,3.3431472258641795,2.787536283347503,0.026976952898696522,0.3339866479800688,0.030212246836809606,r8090040.trees
0,10001.0,250,60,-1.9305797438765648,6.322762604636655,-1.4380872487163567,3.666991316185507,3.1684054819435135,0.009972101196904136,-0.1459242912960344,0.03551301982122036,r8090041.trees
0,10001.0,250,71,-2.0782962610630853,4.12148569161798,-2.4483539164761847,4.154169593469225,3.5146798699674773,0.02835845301410457,0.7681298261425487,0.02561271478877386,r8090042.trees
0,10001.0,250,80,-2.5019573388149876,6.961797057358067,-2.068241696713497,4.671127196165035,4.094765291288139,0.00951009496680497,0.9639706872143631,0.02403161031221661,r8090043.trees
0,10001.0,250,63,-1.717538295625314,2.729625086141878,-0.9454146926516994,2.946464623283745,2.6827541096083096,-0.015653816426499094,-0.02815650686304547,0.037264264430995876,r8090044.trees
0,10001.0,250,64,-2.0905727463775245,6.22650381950122,-0.9774888166508426,3.964817446928312,3.4332687817349967,0.010913803593778741,-0.9663473577311451,0.048910696549639414,r8090045.trees
0,10001.0,250,56,-2.687028571935398,3.781344380970283,-2.2769212811392547,4.526878569846641,4.149867387777725,-0.03286571990224482,0.28015234930300276,0.032361704884052336,r8090046.trees
0,10001.0,250,67,-2.21268970665716,6.074175246525427,-2.141372695627693,4.153585327270926,3.618507499055142,0.008617048537897652,0.12295336135079267,0.030560413697801953,r8090047.trees
0,10001.0,250,70,-2.5072944896353317,4.6001428149859525,-1.4092852051002063,4.365164195136968,3.9530806957283957,-0.016495607021202497,-0.43833824644613467,0.04401476875242907,r8090048.trees
0,10001.0,250,74,-1.889291591283707,4.085234190196266,-0.7646441268550347,3.621398206760938,3.129113746550963,0.013958065089277664,-0.2877226169644838,0.03979088396597141,r8090049.trees
0,10001.0,250,72,-1.98732010075858,6.606341078864773,-1.2038789414713404,3.7790510854362274,3.276267943038521,0.012116346828207399,0.387207380578166,0.028765600034546784,r8090050.trees
