#/home/enes/bim/BIM.py trees/r8050136.trees,trees/r8050137.trees,trees/r8050138.trees,trees/r8050139.trees,trees/r8050140.trees,trees/r8050141.trees,trees/r8050142.trees,trees/r8050143.trees,trees/r8050144.trees,trees/r8050145.trees,trees/r8050146.trees,trees/r8050147.trees,trees/r8050148.trees,trees/r8050149.trees,trees/r8050150.trees,trees/r8050151.trees,trees/r8050152.trees 250 --stats=all --eta=etas/BC.json --out=outs/704513624.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,FulD,TajD,bsfs,FayH,Colless,btree,path
0,10001.0,250,82,2.245583007476657,-1.3880376111043768,-1.6496730998959908,2.530357050096987,1.083831596315337,0.0006667276586872889,0.04138031275376883,-0.33582775648252755,r8050136.trees
0,10001.0,250,82,0.5533763919050168,0.27453848680166093,-0.31949450264490564,1.7437602993134453,1.742122393120034,0.17376865567972286,0.0244472513710757,0.8811624851006541,r8050137.trees
0,10001.0,250,63,2.112756447345452,-1.16984639490231,-1.7979779388422408,2.655118538971092,3.998244299523306,0.040429910207830155,0.037123247548398366,-0.12620606215778024,r8050138.trees
0,10001.0,250,81,1.2934898396011658,-0.322739168740476,-0.9593426009148888,2.324691549357395,1.9424087437002644,0.13478022861511652,0.03467343318684165,0.14978856157284942,r8050139.trees
0,10001.0,250,98,1.0985656223299178,-0.18785050903747944,-1.6956262993544056,2.118727869834599,2.0332672984942337,0.13655827419302785,0.033797488340458606,0.21033444861055448,r8050140.trees
0,10001.0,250,77,1.313083457445572,-0.650988346772463,-1.0874914669034845,1.775456678466505,0.9601413582041071,0.04594077841549466,0.026851923824329584,0.6920472635921433,r8050141.trees
0,10001.0,250,69,1.5993378298968473,-0.5118647071422363,-1.6466632487056758,2.684673124441498,2.4692414399244047,0.13706618277971627,0.02939772673035095,0.4334108862625757,r8050142.trees
0,10001.0,250,90,1.3881285269681216,-0.5029965522843266,-0.7614459367260387,2.2024861728499676,4.619356052056198,0.09951797524096069,0.03279186039258587,0.21257617286617633,r8050143.trees
0,10001.0,250,78,1.741965446470148,-0.6617209541546751,-1.5773087778349526,2.721560614644149,2.147876456924444,0.11794751100786546,0.03113529386362655,0.43437928064738923,r8050144.trees
0,10001.0,250,77,1.64423975377103,-0.6053897519716429,-1.793417361825526,2.60500560132713,2.7658584322564095,0.11691343645399191,0.03569785258944567,-0.112066001719603,r8050145.trees
0,10001.0,250,66,1.0240881823109667,-0.21941622903567032,-1.0389053618664916,1.9200731665104251,1.862016711895744,0.11932101609057294,0.03087835211815003,0.2296755380479029,r8050146.trees
0,10001.0,250,96,0.7643194018456563,-0.05065880787782552,-1.6668267647372603,1.61978593732757,3.0617523599172265,0.11741999612325103,0.03280989964822067,0.14710361453274118,r8050147.trees
0,10001.0,250,79,0.7613117731206019,0.021656751947578306,0.011624348835882746,1.754242957478595,2.5971750947598946,0.1392857567808243,0.027184639887824536,0.7048655439649025,r8050148.trees
0,10001.0,250,68,2.379655738779832,-1.4070986394070015,0.22584979933624305,2.817617227112869,6.102257918613037,0.01938575948347307,0.03754418596043159,-0.27289593040640087,r8050149.trees
0,10001.0,250,62,0.9601080081008259,0.10800024362879394,-2.0662543095709927,2.379257844737652,1.8134101706846417,0.20336120352490508,0.031203354793648642,0.3470857046329868,r8050150.trees
0,10001.0,250,62,1.4139221471604806,-0.31282722034875665,0.5299740207269263,2.6393301809321716,1.7473776930380314,0.16304351972577624,0.034881461329187714,-0.05560520199134533,r8050151.trees
0,10001.0,250,56,0.9428457858183942,-0.1308089327860018,-1.3254702115536967,1.9104008654484663,2.726018107805341,0.13280810830603362,0.034253337887228286,-0.17160173324600267,r8050152.trees
