#/home/enes/bim/BIM.py trees/ir8000138.trees,trees/ir8000139.trees,trees/ir8000140.trees,trees/ir8000141.trees,trees/ir8000142.trees,trees/ir8000143.trees,trees/ir8000144.trees,trees/ir8000145.trees,trees/ir8000146.trees,trees/ir8000147.trees,trees/ir8000148.trees,trees/ir8000149.trees,trees/ir8000150.trees,trees/ir8000151.trees,trees/ir8000152.trees,trees/ir8000153.trees 250 --stats=all --eta=etas/BC.json --out=outs/650153190.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FayH,ZngE,FulD,bsfs,FerL,btree,Colless,path
0,10001.0,250,47,-1.1227076745034499,-0.03520043443134007,-0.7871636145674136,1.6014837718433668,-1.5968696032560838,0.37111691777390077,-2.2605390504003733,0.07114911257934967,ir8000138.trees
0,10001.0,250,56,-0.8371962216905604,-0.0667849321576044,-0.3658691575995499,0.5774319276174196,-1.1639507153445499,-0.0013851415076169648,-1.644752525287573,0.059852312475709296,ir8000139.trees
0,10001.0,250,54,-0.8003747616884097,-0.0024244648465653216,-0.6873222966724092,1.3608206603823778,-0.4926099910291498,0.4182621688268608,-2.0663544107026786,0.07519684472657655,ir8000140.trees
0,10001.0,250,78,-0.17289155028267744,0.05606476740667945,-0.47358618781086653,0.5147760934111186,0.24363289296170185,0.49157010269834067,-0.6616417555956219,0.046281901800751396,ir8000141.trees
0,10001.0,250,54,0.10964441401986304,-0.024116868071520605,0.2283104739396072,-1.2633834294791115,0.3130047586382582,-0.2237957663938314,-1.1024906206581266,0.052091741656452105,ir8000142.trees
0,10001.0,250,45,-1.0369778653908952,0.012398008965957668,-0.9667715128698569,2.957458604097185,-1.135007388298534,0.6418584231314791,-0.004359523866786161,0.038023059981862936,ir8000143.trees
0,10001.0,250,43,-1.3223992842901975,-0.06091870898903515,-0.8217313690598378,1.5978255162516024,-1.396343231413732,0.309312881779827,-0.47486283654302597,0.04263829511594766,ir8000144.trees
0,10001.0,250,68,0.9058422760418745,0.0761330191291682,0.37124570347368546,-0.8323752647235949,1.231761955287151,0.03573492841347278,-0.9644037461345442,0.053025003238761505,ir8000145.trees
0,10001.0,250,59,0.2633909675161494,0.047123557827944196,-0.02994879809701845,1.0057695464755905,1.47310661733842,0.18067379589652743,-1.0799200232425479,0.05386870060888716,ir8000146.trees
0,10001.0,250,50,0.3186291391793217,-0.0744948168926146,0.6827120075753832,0.987597537897655,0.13453718663239692,-0.6751228045087714,-1.1076259022710304,0.056079155331001426,ir8000147.trees
0,10001.0,250,74,0.7862819934397133,-0.007390283848567036,0.7386051053143164,-0.27602315994755594,0.46084122058884,-0.48356186400986956,-0.6230060669459131,0.04626732737401217,ir8000148.trees
0,10001.0,250,66,-0.2673445317880085,0.012039226830685557,-0.30350515934073297,-0.22268515806685923,1.4156143640642713e-05,0.2300346574956015,-0.8655104617057153,0.053396381223820004,ir8000149.trees
0,10001.0,250,88,-0.22610209900013933,-0.0806916993544519,0.2642582801624394,-0.9172626160136296,-0.6246498415513887,-0.45182394979941415,-1.7222683744624752,0.06747419786673575,ir8000150.trees
0,10001.0,250,53,-0.5078167993624829,-0.0984446554776128,0.09472452498968102,-0.5632217466162422,-0.3904202312313088,-0.39323994613376106,-1.814585915580212,0.06597357170617955,ir8000151.trees
0,10001.0,250,69,-0.32566518121735777,0.033569854979544955,-0.47722585112906324,-0.34190496782024954,-0.08419427358595617,0.41311130608533075,-0.910820386300393,0.04927544278496475,ir8000152.trees
0,10001.0,250,55,-0.5107837540208391,-0.03889860223335222,-0.2335435707646838,1.6075149929885546,-0.7315749544032143,0.012172014726492849,-0.4515305092237174,0.046160448244591264,ir8000153.trees
