#/home/enes/bim/BIM.py trees/ir8020170.trees,trees/ir8020171.trees,trees/ir8020172.trees,trees/ir8020173.trees,trees/ir8020174.trees,trees/ir8020175.trees,trees/ir8020176.trees,trees/ir8020177.trees,trees/ir8020178.trees,trees/ir8020179.trees,trees/ir8020180.trees,trees/ir8020181.trees,trees/ir8020182.trees,trees/ir8020183.trees,trees/ir8020184.trees,trees/ir8020185.trees 250 --stats=all --eta=etas/BC.json --out=outs/230704891.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FayH,FulD,ZngE,bsfs,TajD,btree,Colless,path
0,10001.0,250,67,-0.1826973111961431,0.11388031618750043,0.8095100803487495,0.935337810999447,2.4275683648629975,1.7850273234772425,-1.285001006608561,0.05500005888657269,ir8020170.trees
0,10001.0,250,65,-0.2080974115131757,0.033572872624504944,1.1993194963883653,0.5239332988347665,1.7293654450431981,0.8075797345516622,-1.5569540442879022,0.05862374228095177,ir8020171.trees
0,10001.0,250,75,-0.6564635834370312,0.07407282093663967,-0.7945580803687653,1.481179437858903,2.4805090902780305,2.1464991884255538,-1.194544371957597,0.05084357280237576,ir8020172.trees
0,10001.0,250,62,-0.2104544861108923,0.06228148948508584,-0.6239052371832599,0.6867997176109664,0.7885742466131,1.1748488702481377,-0.7497614335788617,0.04441961393962948,ir8020173.trees
0,10001.0,250,54,-0.35325844335974127,0.05891684962090251,-0.9353579182464252,0.8925478490939163,3.7503465429002727,1.388928099368966,-0.8446736366372948,0.04627542427775619,ir8020174.trees
0,10001.0,250,68,-0.6448602001481801,0.0649488246024732,-0.8323752647235948,1.4064215300824143,2.3727423044860765,2.0064218420632405,-1.3733004701853821,0.053880036274128774,ir8020175.trees
0,10001.0,250,38,-0.45591298345584086,0.0561627218744378,-0.10348350060033158,1.026000630175995,4.802008294237181,1.531783786406095,-1.8486285378236842,0.058486634710886554,ir8020176.trees
0,10001.0,250,79,-0.18058236039723283,0.05995780927166122,0.011624348835882899,0.6343722664509132,1.1336265284475318,1.1005110196530203,-0.14265232486676283,0.038055447596838966,ir8020177.trees
0,10001.0,250,77,-1.3919146256331232,-0.10266057630972851,-2.0287259934662063,1.661845531550358,0.25120483350672373,1.2132561617330893,-1.5891159918240778,0.0623137712138878,ir8020178.trees
0,10001.0,250,77,-0.37391156151150834,0.07484162750010014,0.08905169129991769,1.030552642605878,2.3954000653669993,1.6427841908628973,-0.4491674220359044,0.04362611737271667,ir8020179.trees
0,10001.0,250,75,0.032251987149459184,0.09788547831446454,0.4116127789052049,0.5048117009628426,1.8511186570651808,1.197799789039656,-0.541085654876368,0.0452431847204486,ir8020180.trees
0,10001.0,250,58,0.21049163472459884,0.08061381850849793,-0.462655797797481,0.1068530706895261,4.244119096980056,0.6299290432350276,-1.0989278625096144,0.04569082782743879,ir8020181.trees
0,10001.0,250,67,0.538620406066864,0.15777450629075063,0.8095100803487502,0.018437570203385382,1.4164005981625594,1.0261193126987749,-0.8237337506001726,0.04429546141555469,ir8020182.trees
0,10001.0,250,71,-0.08880850428301174,0.09639117803660276,-0.41611511278606955,0.6887651090044499,1.8357565119114683,1.3950667109926125,-1.582509303599977,0.05482359545709721,ir8020183.trees
0,10001.0,250,62,-0.057732598151159116,0.09839539214799733,0.2415042062493793,0.641928207232034,2.5135345141132888,1.352703833776623,-1.2133299454929372,0.05065422982251587,ir8020184.trees
0,10001.0,250,81,0.10518047975125872,0.13455224593955986,-1.183633816768294,0.6011088151693635,2.0626674116202,1.5440572321788073,0.2965098799850915,0.031960687324076364,ir8020185.trees
