#/home/enes/bim/BIM.py trees/ir3020040.trees,trees/ir3020041.trees,trees/ir3020042.trees,trees/ir3020043.trees,trees/ir3020044.trees,trees/ir3020045.trees,trees/ir3020046.trees,trees/ir3020047.trees,trees/ir3020048.trees,trees/ir3020049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/696504354.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,bsfs,TajD,FulD,ZngE,Colless,btree,path
0,100001.0,50,415,-0.043576552050372905,-0.18351966410987852,-0.8530839857063658,-0.31250832208771984,1.1334781176242656,-0.0005168036539308979,0.17699958771387342,-0.9738564870187068,ir3020040.trees
0,100001.0,50,337,-0.09356126836073396,-0.3430855931309251,-1.6740759945689359,-0.7540350067565739,1.233072121162041,-0.08784836544833692,0.2534532105525138,-2.8800037101080256,ir3020041.trees
0,100001.0,50,399,-0.16385107425856074,-1.0067484477036022,-2.3654717875802485,-0.6362124768494526,1.162171399014215,0.5540047014171302,0.22996794871794876,-2.051562965799167,ir3020042.trees
0,100001.0,50,406,-0.12935551506534884,-1.0042091970802562,-0.5766134134228978,-0.14719569304947072,-0.3004729639560836,0.8042297345865067,0.22380952380952385,-2.281661079994756,ir3020043.trees
0,100001.0,50,458,-0.07698610872900524,-0.4174998210053147,-0.9203116911301432,-0.3950988320791001,0.1683848174154953,0.1618030443450869,0.22159600274218202,-1.9517803364092028,ir3020044.trees
0,100001.0,50,331,-0.1396747835816931,-0.8629175871903075,-2.0459017610271863,-0.5285593796063002,1.8955942910066816,0.4837776831380272,0.2268407362945178,-2.3305688947754324,ir3020045.trees
0,100001.0,50,397,-0.03096529501881872,-0.05537746513966625,-0.7513426455348247,-0.3492416866434198,1.594810689193577,-0.13173069910880078,0.20912956091527524,-1.8606811711168165,ir3020046.trees
0,100001.0,50,478,-0.04003842581693665,-0.4320789086337319,-0.08917696968445359,0.15868351662189964,0.05454484849488611,0.46092588619144875,0.16008440413202313,-1.239492106983567,ir3020047.trees
0,100001.0,50,348,-0.1990787877439162,-1.3127443316126968,-1.8360547564556242,-0.6148910359409504,0.027757946237497878,0.833352192209922,0.22587432408860972,-1.9372081724217975,ir3020048.trees
0,100001.0,50,364,-0.077936039340431,-0.4972974680172247,-0.6471503413186193,-0.26977891847234464,0.45111247409541466,0.2966765876453771,0.20870377854111938,-1.5348431071155535,ir3020049.trees
