#/home/enes/bim/BIM.py trees/ir8090039.trees,trees/ir8090040.trees,trees/ir8090041.trees,trees/ir8090042.trees,trees/ir8090043.trees,trees/ir8090044.trees,trees/ir8090045.trees,trees/ir8090046.trees,trees/ir8090047.trees,trees/ir8090048.trees,trees/ir8090049.trees,trees/ir8090050.trees,trees/ir8090051.trees,trees/ir8090052.trees,trees/ir8090053.trees,trees/ir8090054.trees,trees/ir8090055.trees 250 --stats=all --eta=etas/BC.json --out=outs/721681772.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FayH,FulD,bsfs,ZngE,TajD,btree,Colless,path
0,10001.0,250,56,-2.2531329839085825,0.005688858706819204,-1.6426205680822163,5.636662664203533,3.6630075624106397,4.213936505599127,-1.5120003199272771,0.05091333074232414,ir8090039.trees
0,10001.0,250,59,-1.6361107828447556,0.026976952898696522,-0.8070051971883655,6.210025163766694,2.787536283347503,3.3431472258641795,-1.6315795717577164,0.055811957507449154,ir8090040.trees
0,10001.0,250,60,-1.9305797438765648,0.009972101196904136,-1.4380872487163567,6.322762604636655,3.1684054819435135,3.666991316185507,0.19484624247969468,0.031254048451872005,ir8090041.trees
0,10001.0,250,71,-2.0782962610630853,0.02835845301410457,-2.4483539164761847,4.12148569161798,3.5146798699674773,4.154169593469225,-0.9190609583585553,0.046071382303407175,ir8090042.trees
0,10001.0,250,80,-2.5019573388149876,0.00951009496680497,-2.068241696713497,6.961797057358067,4.094765291288139,4.671127196165035,-0.11728714781088835,0.03598264023837285,ir8090043.trees
0,10001.0,250,63,-1.717538295625314,-0.015653816426499094,-0.9454146926516994,2.729625086141878,2.6827541096083096,2.946464623283745,0.14939566485746686,0.03494623655913978,ir8090044.trees
0,10001.0,250,64,-2.0905727463775245,0.010913803593778741,-0.9774888166508426,6.22650381950122,3.4332687817349967,3.964817446928312,-0.7145048747269137,0.04618473895582329,ir8090045.trees
0,10001.0,250,56,-2.687028571935398,-0.03286571990224482,-2.2769212811392547,3.781344380970283,4.149867387777725,4.526878569846641,-0.387230611548635,0.04135898432439435,ir8090046.trees
0,10001.0,250,67,-2.21268970665716,0.008617048537897652,-2.141372695627693,6.074175246525427,3.618507499055142,4.153585327270926,-0.7401597982829485,0.04502688172043011,ir8090047.trees
0,10001.0,250,70,-2.5072944896353317,-0.016495607021202497,-1.4092852051002063,4.6001428149859525,3.9530806957283957,4.365164195136968,-0.7527766667972454,0.04093794532970592,ir8090048.trees
0,10001.0,250,74,-1.889291591283707,0.013958065089277664,-0.7646441268550347,4.085234190196266,3.129113746550963,3.621398206760938,-2.0159444023262347,0.06173079414431921,ir8090049.trees
0,10001.0,250,72,-1.98732010075858,0.012116346828207399,-1.2038789414713404,6.606341078864773,3.276267943038521,3.7790510854362274,-0.6941011448295334,0.04495400958673403,ir8090050.trees
0,10001.0,250,69,-2.1122676257108397,0.014390832910799312,-0.6028566239973344,6.604024977634033,3.4897332237299787,4.040473130075715,-0.4068855165899439,0.036565617307941445,ir8090051.trees
0,10001.0,250,67,-2.2324407239957167,0.022228468065107403,-1.6048485545410667,6.639772365058193,3.726937610518576,4.363127093023505,-0.7574765805302595,0.044840652934317916,ir8090052.trees
0,10001.0,250,60,-1.7460770551522133,0.015130501634114144,-0.24835063909172153,4.190600318945594,2.89956643519206,3.393801033487122,0.4717819044242043,0.030768234227231506,ir8090053.trees
0,10001.0,250,64,-2.0332444936405323,0.02885131412135245,-1.2575200592284252,6.602370700657557,3.441198197765196,4.087734293067909,-1.9090142024819128,0.056726907630522086,ir8090054.trees
0,10001.0,250,67,-2.0568273924207845,0.011896126348865298,-0.8000623429111278,6.358784359699139,3.38547787354162,3.9105248083507016,-1.1688942361785477,0.047253530250032386,ir8090055.trees
