#/home/enes/bim/BIM.py trees/ir3080060.trees,trees/ir3080061.trees,trees/ir3080062.trees,trees/ir3080063.trees,trees/ir3080064.trees,trees/ir3080065.trees,trees/ir3080066.trees,trees/ir3080067.trees,trees/ir3080068.trees,trees/ir3080069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/217575302.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,FulD,bsfs,ZngE,TajD,btree,Colless,path
0,100001.0,50,367,-0.006184586137037496,0.28773251307265724,1.5092685354521824,-1.4262297360019969,-0.5499255922014387,-0.5774231957114816,-1.1334591040303035,0.14652575315840619,ir3080060.trees
0,100001.0,50,414,-0.05755736910016602,-0.4596335835077668,-0.28676412500011284,-0.3258388999234208,0.38017875737600326,-0.04400514922107175,-1.103383402284436,0.17607757388669754,ir3080061.trees
0,100001.0,50,392,-0.038261833209856225,0.01902490449503477,0.6372698095030733,-0.9963047795451637,-0.3160032216146986,-0.5799840057710001,-1.212834214362037,0.1806193310657596,ir3080062.trees
0,100001.0,50,510,-0.030122347611373324,-0.15813786215871042,-0.24285532484612526,-0.17272192813565176,0.05384292994476392,-0.16394342795151517,-0.2081904399587967,0.14057465091299676,ir3080063.trees
0,100001.0,50,533,-0.023988218563487495,-0.44247965116795435,0.20964567306786333,0.14020168934537944,0.5980074180960757,0.4055739035880186,-0.9065705590069507,0.14272959183673475,ir3080064.trees
0,100001.0,50,529,-0.010460589250444585,-0.3481045479188498,-0.6609299845964701,0.36245376931218953,0.5329130712000922,0.4397507485507514,-0.4636734447314166,0.13005978789031136,ir3080065.trees
0,100001.0,50,371,-0.03370262982618192,-0.2240719976950932,0.26092431823803425,-0.22982263225561703,0.14402718335548614,-0.10147791102335174,-0.1669417317059414,0.13924319727891157,ir3080066.trees
0,100001.0,50,359,0.039036343260321765,0.38289166704867894,1.245015359752147,0.13617990382609904,-0.38317060694559163,-0.09242288819315372,-0.9699376807481227,0.13964953069835526,ir3080067.trees
0,100001.0,50,453,-0.03742753441070536,-0.27004107242344555,-0.2840716396063596,-0.13574510874517431,0.1963097028536047,-0.07824985379246864,-0.11814136139855771,0.13150510204081634,ir3080068.trees
0,100001.0,50,465,-0.06292205482267638,-0.4479657133777221,0.7536957542713701,-0.6094872542882683,0.3193168759151259,-0.14207102629905205,-0.9370702056415998,0.17730830196156136,ir3080069.trees
