start,end,N,SS,FulD,bsfs,FayH,ZngE,TajD,FerL,Colless,btree,path,iColless,ibtree
0,10001.0,250,106,-0.9327529447566324,1.7895272860026188,0.07759436601942409,0.7262584122530321,1.3182095662616005,-0.16819223297920233,0.031887311555219185,0.2818530261274762,8100000,0.04926965928229045,-0.6560919444570268
0,10001.0,250,89,0.08438448239246002,1.9172500410741766,0.05130816911542905,0.8202718364040671,1.2529659318090225,-0.3242513114272332,0.031156885606943917,0.5847784784001137,8100001,0.04211924097067386,-0.3943584099456937
0,10001.0,250,70,-0.8943969174224436,2.804146373665219,0.0908863420119864,0.5832240186454745,1.2403506015340449,-0.0431741217920153,0.031005743403722412,0.40774250978291504,8100002,0.042192965410027206,-0.3888644551936978
0,10001.0,250,65,0.6473298143218433,2.6424599094203014,0.029757012725009864,1.2912395287259142,1.6534230081684236,-0.6970090088043617,0.0358866340939796,-0.22099472654181626,8100003,0.05934799104251105,-1.5878129913198276
0,10001.0,250,113,-0.7380490579983859,2.292693996217648,0.06042564181217633,1.8460246862418863,2.45402088172282,-0.921744670398134,0.0294644444243591,0.4228748385815097,8100004,0.04818953232283975,-0.8428219676392252
0,10001.0,250,94,-1.4421831621258123,0.9592297974535364,-0.02511199662502635,1.7722270965870428,1.822126881573675,-1.1868180249051663,0.03873018957550632,-0.053319299627869535,8100005,0.04744065869211614,-0.6342123664894986
0,10001.0,250,99,-1.894878122216541,0.8686599507339895,0.1256035900283964,0.6646804361886752,1.5620720961349257,0.04148460291432824,0.03523772509392409,0.1364043167374306,8100006,0.035388867297145576,0.10196918417562216
0,10001.0,250,71,-1.178204664169863,3.789949219505764,0.0414402951802583,1.4685767837000918,1.9250484738698064,-0.7646485336297378,0.03556606850092248,-0.010953107661250605,8100007,0.0484292006736624,-0.7513157189335188
0,10001.0,250,77,-1.0874914669034843,2.2631149326593967,0.08794673257004001,1.1051676055754118,1.8111404291924167,-0.3738326352747209,0.03828216090167121,-0.12704667922063229,8100008,0.04970615600230835,-0.8994703728172959
0,10001.0,250,96,0.6227801368578724,1.793173311019432,0.05907929073235978,0.8074376724731785,1.288433536117606,-0.2871398424363891,0.029491535340111744,0.6048459808818843,8100009,0.04822299952498165,-0.8523481252547602
