#/home/enes/bim/BIM.py trees/ir8080218.trees,trees/ir8080219.trees,trees/ir8080220.trees,trees/ir8080221.trees,trees/ir8080222.trees,trees/ir8080223.trees,trees/ir8080224.trees,trees/ir8080225.trees,trees/ir8080226.trees,trees/ir8080227.trees,trees/ir8080228.trees,trees/ir8080229.trees,trees/ir8080230.trees,trees/ir8080231.trees,trees/ir8080232.trees,trees/ir8080233.trees 250 --stats=all --eta=etas/BC.json --out=outs/125714677.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,ZngE,FulD,FayH,bsfs,FerL,Colless,btree,path
0,10001.0,250,67,2.771619803895636,2.189893223457959,-1.8731106250843799,0.045693354083690366,1.5948304399418194,-1.197983548937712,0.039022449243980524,-0.18411957577401597,ir8080218.trees
0,10001.0,250,75,2.9886525264303168,2.506494370008327,-0.5533239085139715,0.025056421936605792,6.286290755854241,-1.4643176496811574,0.0505894545925638,-1.1310082076604573,ir8080219.trees
0,10001.0,250,75,2.8373551041402787,2.3098468662711262,0.41161277890520587,0.036049851590141214,6.1251066579199485,-1.303765579721271,0.041119315973571706,-0.42687263077061344,ir8080220.trees
0,10001.0,250,71,3.5481625114901307,2.966826066101442,-2.1943240660149206,0.0304307229787782,5.897452232435879,-1.73157615280207,0.05667832620805803,-1.500742334174697,ir8080221.trees
0,10001.0,250,96,2.6857987120710476,1.34538942982607,-1.476026189604333,0.18126617694212915,1.9068874028793439,-0.18059243706890027,0.036738351254480286,-0.0018863308638411354,ir8080222.trees
0,10001.0,250,88,1.8130711950957752,0.7693855274469772,-0.08802984769735797,0.14657141322342684,2.2104524377166705,0.047365474186005785,0.0406221660836896,-0.26690489179046917,ir8080223.trees
0,10001.0,250,80,2.8496333804461016,2.141209848099508,-1.3873990394936182,0.0681436100322536,5.347382779575897,-1.084416917238706,0.058550330353672755,-1.8465456642430582,ir8080224.trees
0,10001.0,250,81,2.4323080961061425,2.001079233355748,-0.7350513850614839,0.02797928561390402,6.474351121541725,-1.1398154586756866,0.06448374141728203,-1.933728757647284,ir8080225.trees
0,10001.0,250,71,2.881335174229515,2.2871985301687805,-2.1943240660149206,0.04628154656324573,2.959057861446934,-1.2548991972944337,0.04098832606411309,-0.4380435119261596,ir8080226.trees
0,10001.0,250,83,2.330499321026686,1.4029364599451548,-1.2284091364837617,0.11660694835948908,4.235246137582738,-0.45403778577211035,0.040106663211987734,-0.665260167002199,ir8080227.trees
0,10001.0,250,84,1.9381037946624748,1.503091488449563,-0.8166717838310519,0.038468264969774936,3.337130391177776,-0.7936682760169873,0.053493544068748115,-1.3006404818460024,ir8080228.trees
0,10001.0,250,51,3.2238144871953733,2.201674548618115,-2.1993075267554065,0.1126190071339009,3.4839504329015236,-0.9859198077031729,0.05516420520792849,-1.598604239586057,ir8080229.trees
0,10001.0,250,93,2.6322514572618,1.6128117435729448,-1.0313953417880373,0.12697538932601232,3.357019697202549,-0.5425105508293268,0.0348652675216997,0.07826776414411533,ir8080230.trees
0,10001.0,250,79,2.2571874676901325,1.3476903974786503,-1.1367139639820532,0.11482955337363647,6.169636928237857,-0.4280610374455181,0.04988988210908148,-1.0259004992331218,ir8080231.trees
0,10001.0,250,95,3.5627350171651164,2.3825811814554005,-2.2301492229023663,0.13752592865465432,2.0327260102877003,-0.9800930264670269,0.04647328316197341,-0.8142179304509835,ir8080232.trees
0,10001.0,250,72,2.9353206853771594,2.3164626978123013,-1.2038789414713404,0.049705960311024255,2.3156383131161546,-1.2606922169479138,0.04419984083800641,-0.7719691731383668,ir8080233.trees
