start,end,N,SS,TajD,FayH,FulD,ZngE,FerL,bsfs,Colless,btree,path,iColless,ibtree
0,10001.0,250,73,-1.3521746196395703,-0.19326811211297867,2.9780384144429934,-0.10077613937078883,-0.6169572914999417,-2.356911218257374,0.05775756512000135,-1.0228318539287402,9070000,0.06662132400570023,-1.6920368189344013
0,10001.0,250,50,-0.07714406631400841,-0.11238548724691252,0.2832237482084373,0.5432677585119214,-0.7163529273430027,-0.13657952484471808,0.060017194879223634,-0.9103384460990722,9070001,0.0753281944984238,-2.1435691123841365
0,10001.0,250,89,-1.028419074140032,-0.2804525343141306,-0.1207055254063212,0.703556930785571,-1.438216935819174,-1.0537704345609056,0.040831528880498964,-0.22926136944080894,9070002,0.06820582578452769,-1.654813419362634
0,10001.0,250,42,-2.1330420340279432,-0.28485200575084585,4.591773814784204,-0.33630392946282456,-0.7293038639609958,-2.5564505802661754,0.08236170488405235,-2.9298524132196677,9070003,0.09193224510947014,-3.1807005688985317
0,10001.0,250,48,-1.2653256536364046,-0.21741167481199314,1.51090921927901,0.0727335367973172,-0.7746409929905168,-1.3246423078671468,0.07198744042383456,-2.0548771855799433,9070004,0.06745044694908668,-2.0417487540999133
0,10001.0,250,64,0.21281265782351103,0.07161121127537885,0.9827298813922388,-0.21327141515276293,0.3807114710974858,2.3613354476548687,0.03793500615364685,-0.13284003313691112,9070005,0.05202260655525328,-1.1124201790260229
0,10001.0,250,52,-1.3687154260897223,-0.1995370376717169,2.8792105986125835,-0.1065705139044238,-0.6101798417227112,-2.107343489709596,0.06241870708641015,-1.3112644039782095,9070006,0.07678698665630262,-2.0870604986152896
0,10001.0,250,49,-0.030453778203479377,-0.0765456638724957,-1.0878327471550784,0.3881909822868855,-0.4985546257829525,-0.13950582932156258,0.03687445635074863,-0.0798649941578794,9070007,0.07143493328151315,-2.116470792341578
0,10001.0,250,54,0.6891508810448176,-0.056293988899236855,-0.2793068957810531,0.9121520771800676,-0.7577162422880406,0.2779032963316415,0.04628449280994947,-0.3910447819860248,9070008,0.07166731441896619,-2.110257634762159
0,10001.0,250,55,0.3329590181282147,0.008440574160784262,-1.6174449469784478,0.2452677034207634,-0.12338148522408525,0.6541317158568103,0.048738502396683515,-0.7044591301282037,9070009,0.05753512584060583,-1.473462500814353
0,10001.0,250,83,-0.9156759493648832,-0.4024800073150262,1.4015238888888957,1.4968651604723429,-2.357711652053513,-2.6106173344877206,0.05297919789758111,-1.0290702422823421,9070010,0.07103066644458016,-1.9797621496272952
0,10001.0,250,73,0.5560557963137155,-0.06467748963620601,1.245773514353321,0.8594052790858987,-0.7597785881489749,-0.9686988455545102,0.030838792959857857,0.3098682771655364,9070011,0.048512020431958236,-1.2942129976813774
0,10001.0,250,53,-1.3769356671308146,-0.08632796844468997,1.4392698151487264,-0.7318027641728408,0.16088365557195236,-1.4146988904851228,0.07373040549293951,-1.882370093700752,9070012,0.06783181111542946,-1.4938409105814516
0,10001.0,250,63,-0.6988629889099782,-0.24917432947668106,-0.661226943921519,0.7767301807716621,-1.3447980588590112,-1.0998383128073623,0.061194085096144935,-1.3740131527082915,9070013,0.06169516776784556,-1.5857374231586914
0,10001.0,250,62,-1.6316449919711349,-0.3879531239809369,0.818443835204473,0.7275919997736315,-1.792873804310961,-2.3386769476691693,0.0803225806451613,-2.024303727571785,9070014,0.0830715334456104,-2.915344275499878
0,10001.0,250,54,-1.076400983847294,-0.2496896154186687,1.0327951491496912,0.4278123244633839,-1.115670754535785,-1.6023409121376044,0.061735976162715374,-1.2486816222328787,9070015,0.07317171913460294,-1.7861082393386252
