#/home/enes/bim/BIM.py trees/r8080153.trees,trees/r8080154.trees,trees/r8080155.trees,trees/r8080156.trees,trees/r8080157.trees,trees/r8080158.trees,trees/r8080159.trees,trees/r8080160.trees,trees/r8080161.trees,trees/r8080162.trees,trees/r8080163.trees,trees/r8080164.trees,trees/r8080165.trees,trees/r8080166.trees,trees/r8080167.trees,trees/r8080168.trees,trees/r8080169.trees 250 --stats=all --eta=etas/BC.json --out=outs/729447241.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,bsfs,ZngE,TajD,FulD,FerL,Colless,btree,path
0,10001.0,250,84,0.06503101997103057,5.880361875738664,2.5939111578505005,3.3358685023084718,-1.9000875425877362,-1.3744670487919683,0.02773767882590269,0.5234266377882393,r8080153.trees
0,10001.0,250,74,0.04537472720007911,6.065339313714072,2.4258695680926188,3.029111101541056,-1.253265093762514,-1.343069343253528,0.0328086539707216,0.20718735838259095,r8080154.trees
0,10001.0,250,78,0.017437677253367426,5.905778435197653,2.803342276505294,3.2707791040562513,-0.6474932795033661,-1.6744980237327498,0.037492925863044715,-0.25313815292250713,r8080155.trees
0,10001.0,250,72,0.16353167836442747,1.710112360777859,1.055437236349812,2.2393311038259864,-0.9531738397344414,-0.0797943601470744,0.03154971603374999,0.3249544170341115,r8080156.trees
0,10001.0,250,79,0.02473583384914438,6.680228865461882,3.0732487236272643,3.620516849309761,-1.8257169516728147,-1.815633548062223,0.035584735254381585,-0.322610732682001,r8080157.trees
0,10001.0,250,80,0.07588838513373064,4.459130120554048,2.702259960876019,3.531161437502967,-1.6143465919002444,-1.4043951663107588,0.045074727060735606,-0.831426808245939,r8080158.trees
0,10001.0,250,106,0.14957220574302973,1.6686929619085793,1.813529840275225,3.0027991382840034,-1.8004097934486367,-0.5800100802054472,0.029187509664046405,0.537200183220027,r8080159.trees
0,10001.0,250,96,0.08823268611129209,2.727277788041757,2.2987823025901646,3.147833415632298,-0.9036244642055496,-1.105061417332017,0.03285543608124253,0.18852784326446118,r8080160.trees
0,10001.0,250,101,0.08838459714779867,2.3424318108772075,1.6065525011554902,2.3726929394365532,-0.4644862741210495,-0.6748313088022513,0.03084515481279959,0.07733713188127278,r8080161.trees
0,10001.0,250,79,0.03170596642283307,5.247296582903957,2.910274776354566,3.4818455438460667,-1.8257169516728147,-1.69002985258909,0.037284033494682546,-0.080073491889751,r8080162.trees
0,10001.0,250,71,0.030512388790193867,6.2338541850112525,2.25921917609984,2.7488478951118367,-0.6701449632473341,-1.2928509989741739,0.038811698406529344,-0.37189078615639126,r8080163.trees
0,10001.0,250,79,0.03129110486550404,4.855030078133487,2.0806636779262107,2.544823617228805,-1.5960492891092273,-1.1777353989429287,0.037615901393592804,-0.23482094087056074,r8080164.trees
0,10001.0,250,71,0.08549134426921251,3.6123233874056253,1.6960218554863213,2.4638937361076727,-1.4322345146311273,-0.7511285118595887,0.027619014959267805,0.5822181919296193,r8080165.trees
0,10001.0,250,64,0.1656733518542632,3.8029083020539933,1.3726117908870352,2.609592190680796,-2.0976137869611753,-0.2760514531151417,0.029850045342660964,0.3486938893418907,r8080166.trees
0,10001.0,250,72,0.12164661233005296,5.229045077915395,1.5438061076441185,2.522939991606106,-1.7052891449451397,-0.5294174766818536,0.029712038116624206,0.2948953622390652,r8080167.trees
0,10001.0,250,56,0.05525486354213095,4.0920427991796,2.7931364524084397,3.533344577451034,-1.6426205680822163,-1.5439568936118926,0.027791517978070644,0.45138611014658764,r8080168.trees
0,10001.0,250,65,0.04171783673746229,4.073250773675204,1.3547744394812327,1.801515854436584,-0.4566495498111985,-0.6948228404104501,0.045213110506542295,-0.48725791362722864,r8080169.trees
