#/home/enes/bim/BIM.py trees/r8110102.trees,trees/r8110103.trees,trees/r8110104.trees,trees/r8110105.trees,trees/r8110106.trees,trees/r8110107.trees,trees/r8110108.trees,trees/r8110109.trees,trees/r8110110.trees,trees/r8110111.trees,trees/r8110112.trees,trees/r8110113.trees,trees/r8110114.trees,trees/r8110115.trees,trees/r8110116.trees,trees/r8110117.trees,trees/r8110118.trees 250 --stats=all --eta=etas/BC.json --out=outs/980429582.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,TajD,bsfs,FayH,ZngE,FerL,btree,Colless,path
0,10001.0,250,81,-1.8565074643285104,3.1813939171238883,6.412864728762041,0.02722604873485901,2.6710479240487173,-1.557338564155909,0.06795854257119056,0.030835708425098248,r8110102.trees
0,10001.0,250,101,-1.3732677317779673,3.894546397823233,4.04375209143561,0.03376393665579229,3.2864447749789982,-1.9111838438819475,0.2304626360249085,0.031665561677449834,r8110103.trees
0,10001.0,250,78,-2.0422165270007464,3.6979789138559713,6.412955945740014,0.013753268545992398,3.203533540289038,-1.9353739878957466,0.35744145740145633,0.031234615882886386,r8110104.trees
0,10001.0,250,76,-1.3001975058694983,2.746589555141609,2.4334062983305134,0.08529349910761623,1.9497191720718619,-0.9067138317569727,0.19254687765469017,0.030903182622964973,r8110105.trees
0,10001.0,250,89,-1.761425587796573,3.708649440128948,4.388009723806746,0.015276968724573415,3.2169647096392255,-1.9365008229628,-0.21641019295837,0.034555785867484284,r8110106.trees
0,10001.0,250,73,-1.228890628631926,3.4759925197447332,6.562864415058261,0.03490479977489209,2.8800987133448848,-1.6615814711163601,0.8040455102133652,0.025058048571457044,r8110107.trees
0,10001.0,250,75,-2.000728939642736,3.2889532243479342,4.138468718497491,0.12799424094421535,2.1870495167758435,-0.9036854301965405,-0.0005446244449741302,0.03535704788594105,r8110108.trees
0,10001.0,250,107,-1.6404766677790348,2.8230326678171718,3.924343307851137,0.08951079743962133,2.0044663248294903,-0.915358977726802,0.504673948339553,0.029112655555809573,r8110109.trees
0,10001.0,250,116,-1.9118448375104957,3.2962891490387123,1.604113714245001,0.20617840455280864,1.7441830075292124,-0.32738438829051875,0.8457195435894937,0.026276660895782546,r8110110.trees
0,10001.0,250,92,-2.5992086881434395,3.0938170871644695,4.332330619979188,0.07654174755225565,2.3166054796900015,-1.1592666010633683,0.602543134867178,0.027948807113002096,r8110111.trees
0,10001.0,250,98,-0.947318909733878,3.352329130502122,4.5621729642144535,0.05500163856713035,2.6757963162498215,-1.4574019227800576,0.04290810484849781,0.03197467288508874,r8110112.trees
0,10001.0,250,126,-1.1245889270753011,3.0714779014516735,1.4724100910802607,0.12864995739561452,2.0005214189999343,-0.7655904185259881,-0.030303551112770298,0.03303983453279191,r8110113.trees
0,10001.0,250,85,-0.8426624617688637,2.973146800897363,6.03651935427448,0.034267622692467914,2.448829438383661,-1.3939284659584243,0.1241673849952561,0.03302457140389515,r8110114.trees
0,10001.0,250,85,-1.9139659655824839,4.059402087588304,6.746626220161827,0.024868673673356836,3.4696498674740885,-2.0593714766806666,-0.5175905694985216,0.03605173381698838,r8110115.trees
0,10001.0,250,89,-0.9410655566014471,2.7700323689349546,2.759376430521421,0.1255012943080205,1.7437142972095274,-0.6305347021489834,0.20305520848819616,0.03341013824884793,r8110116.trees
0,10001.0,250,93,-2.2114333544174913,3.4802801670929178,2.925645350537509,0.10906169556418552,2.4734232128592306,-1.1393481634814726,-0.23142575356715675,0.034089044349440774,r8110117.trees
0,10001.0,250,89,-1.1461555644002284,3.3864752765526074,6.388199374215309,0.0448651675332926,2.7589137592873905,-1.5472004070578829,0.12159652491998332,0.030318046379064646,r8110118.trees
