#/home/enes/bim/BIM.py trees/ir3040060.trees,trees/ir3040061.trees,trees/ir3040062.trees,trees/ir3040063.trees,trees/ir3040064.trees,trees/ir3040065.trees,trees/ir3040066.trees,trees/ir3040067.trees,trees/ir3040068.trees,trees/ir3040069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/209675424.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,ZngE,FerL,FayH,FulD,Colless,btree,path
0,100001.0,50,483,-0.6804566063902203,-0.3672346695892009,-0.3461318535664198,0.17813208589256502,-0.004550974239851245,0.8178025209574763,0.1527025776296913,-0.7448706515499641,ir3040060.trees
0,100001.0,50,483,0.5074129500247393,0.10540732518593811,-0.05588662258961188,0.12590960856617198,0.02224454689893496,0.019877813357128907,0.128038628038628,0.10654144118686283,ir3040061.trees
0,100001.0,50,345,-1.4555168463608328,-0.8053190717076462,-0.6775313029896796,0.2996459586271458,-0.020688271330984782,0.9140806051602809,0.1665107709750566,-0.9919289678238009,ir3040062.trees
0,100001.0,50,439,0.1302983280642337,0.039624710607596515,-0.025670869595782325,0.05263693166463848,0.008999849917203736,0.7231147643053861,0.17934888241010682,-1.4329781882747217,ir3040063.trees
0,100001.0,50,377,-1.638625988920803,-0.6824165196159101,-0.08170276635837782,-0.3084621414732343,-0.08431148354589824,0.7933442891328443,0.15625452308583004,-1.066239603347057,ir3040064.trees
0,100001.0,50,520,0.012797008987024483,0.09796723400420682,0.04082897074633053,0.011259160805596649,0.008161531173114578,-0.3301054926305355,0.13291515236231483,-0.32687317092356516,ir3040065.trees
0,100001.0,50,367,-0.04621532489889118,-0.2373984996373948,-0.6161276905336903,0.5633739711320457,0.05032338838887058,0.6624984186558728,0.1314014369792861,-0.017719077073457275,ir3040066.trees
0,100001.0,50,436,0.5389924402269768,0.16631770002824878,-0.15649753498651725,0.27653688655311154,0.04436430931139263,1.2264143182689695,0.1417783531322977,-0.13715470690903434,ir3040067.trees
0,100001.0,50,502,-0.1713880781233879,0.3165370216054967,0.8356301459264844,-0.7661602296466816,-0.06848984084493795,-0.5781310261777433,0.12516716088144658,0.13563796693433333,ir3040068.trees
0,100001.0,50,503,0.6425997901246175,0.5106822966337322,0.4543537772303077,-0.2168133220423463,0.009988223421207218,-0.67196475429669,0.11883820692456089,0.5140362835581138,ir3040069.trees
