#/home/enes/bim/BIM.py trees/r8020068.trees,trees/r8020069.trees,trees/r8020070.trees,trees/r8020071.trees,trees/r8020072.trees,trees/r8020073.trees,trees/r8020074.trees,trees/r8020075.trees,trees/r8020076.trees,trees/r8020077.trees,trees/r8020078.trees,trees/r8020079.trees,trees/r8020080.trees,trees/r8020081.trees,trees/r8020082.trees,trees/r8020083.trees,trees/r8020084.trees 250 --stats=all --eta=etas/BC.json --out=outs/321166195.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,FayH,ZngE,FulD,FerL,btree,Colless,path
0,10001.0,250,52,2.0274514696961052,5.3960532037162015,0.02349508272434385,1.6436140474408105,1.520508113602057,-0.9405408692221459,0.5247866490395368,0.027645687112777487,r8020068.trees
0,10001.0,250,70,1.0264134840917098,1.6648606693251513,0.08248580139933696,0.44151816271822186,0.3928238017719627,0.015221329716437824,0.09053925031448945,0.03536285906087694,r8020069.trees
0,10001.0,250,81,1.36892632715438,1.785369186617488,0.13938234948738273,0.4178079428053373,-1.1836338167682943,0.2358192679283252,-0.09697242705981023,0.035850498769270635,r8020070.trees
0,10001.0,250,61,1.9814757450140945,1.4359726530828814,0.063435440484183,1.3899622273543397,0.29320740704667775,-0.642923532679317,0.6417378470148567,0.02903792589713693,r8020071.trees
0,10001.0,250,83,1.7762488574144155,1.0897261647940664,-0.017209917134341963,1.6784606481582403,-0.5709258801405984,-1.100386972448032,0.5105165700828098,0.030654462348982364,r8020072.trees
0,10001.0,250,61,1.2955502752748498,1.4816082379755016,0.1412815384119414,0.35313691201159875,-1.4640919793747553,0.2687828524887577,0.3821698177798148,0.03054852364996166,r8020073.trees
0,10001.0,250,75,1.9142633418245243,1.3976176436366683,0.11547448274475852,1.039795957854879,-0.7945580803687655,-0.23715327132784997,0.5911363463671464,0.027179686487887034,r8020074.trees
0,10001.0,250,85,0.41599266395506296,1.0291194193585713,0.1303864624574589,-0.3800607829667062,0.6571624435702041,0.6997633216371093,0.17185756921383114,0.028960243250040003,r8020075.trees
0,10001.0,250,63,1.303571823925792,2.1348150659395038,0.15139986667004818,0.30223477232709584,-0.6612269439215187,0.3371153470338524,0.5065604692564665,0.03133591714528365,r8020076.trees
0,10001.0,250,67,1.5449834061534895,2.1738812272178296,0.12608757615704339,0.6547511190545939,-1.068324413454441,0.03376685900977501,0.5595652821260236,0.02882598944163752,r8020077.trees
0,10001.0,250,75,1.0500133412026365,0.5348809527918952,0.0039172545909565825,0.908411381122164,-0.5533239085139715,-0.5488997817890673,-0.4170543622109236,0.04054929394999352,r8020078.trees
0,10001.0,250,67,0.9462483212859278,2.258360788470604,0.1386438468836943,0.05553208201982339,-1.068324413454441,0.4489343753296814,0.6691361758361204,0.02926064298818583,r8020079.trees
0,10001.0,250,63,3.094817476018459,1.7196756479280184,0.05163053538537856,2.4374641103276447,-1.5137901901120607,-1.3323624146059259,0.43943293572705266,0.030458608628060636,r8020080.trees
0,10001.0,250,90,1.867808613344957,2.5911114310059165,0.07794613074619278,1.2144886007217948,-0.5585270891640746,-0.4727255721955739,0.772022016603467,0.025618603446042228,r8020081.trees
0,10001.0,250,72,1.2873524832932743,1.886570711456529,0.15857693549739935,0.2408949948114971,0.049646567213156065,0.40747182740754323,0.492090219475671,0.02941011357256985,r8020082.trees
0,10001.0,250,72,2.2677161569511535,3.155773944771355,0.11354891677591554,1.363786925159721,-0.9531738397344411,-0.4463129544843357,0.32062496894663545,0.02951654816609893,r8020083.trees
0,10001.0,250,72,1.086530648867431,1.1396505784531719,0.04133649622989906,0.7274814979623939,-0.4517636362606429,-0.30559978029893525,-0.11515667219744323,0.0346733709029667,r8020084.trees
