start,end,N,SS,FerL,ZngE,FayH,FulD,bsfs,TajD,Colless,btree,path,iColless,ibtree
0,100001.0,250,277,-1.6310778105825448,2.8078236564352146,0.026724275996178725,-0.7771133249025052,6.6239302929077875,3.2611383970183314,0.032961022977540666,-0.25577129317789354,8060000,0.0509606664872891,-1.2193341243283402
0,100001.0,250,220,-2.005487652419722,3.2938465765903864,0.007292788763818203,-0.6887106285909654,4.647344596863931,3.674223110466005,0.0350722538246829,-0.044389277731872664,8060001,0.06732953318650949,-2.2700667726457477
0,100001.0,250,273,-1.6905582874892842,2.9298088481688374,0.03091992774907205,-0.6738692714015116,6.2036019764820125,3.4237174630699814,0.03135013170963425,0.1653633114651637,8060002,0.04940855232343767,-1.272912914432811
0,100001.0,250,251,-1.9197901876912056,3.1921648562904816,0.013206786654023278,-0.6863634977531438,5.077170566813925,3.5959782818245487,0.048639811403724864,-0.7401106451806058,8060003,0.06487779073282376,-2.1382147735038024
0,100001.0,250,230,-1.3065421669358748,2.3054780792114973,0.030903535376980207,-1.2023682940806557,5.1264045189194665,2.7430971895990783,0.0280791625282492,0.6454874073708186,8060004,0.040802506212533424,-0.5332661586310087
0,100001.0,250,242,-2.075065462475612,3.4638534595346235,0.01654332034410766,-0.7522434028535507,7.587829778321465,3.9185850943879896,0.032928239010633104,-0.03824509059828513,8060005,0.051107656432180334,-1.3698925582385917
0,100001.0,250,264,-2.224532728871397,3.680318684299392,0.012190569163738531,-1.3768651160338874,7.0601497393630765,4.123073355027303,0.030918176889157583,0.2136998805521521,8060006,0.06837950881868488,-2.3446273557750095
0,100001.0,250,264,-1.5970850149566511,2.7564373654277747,0.02740675440654929,-0.23387672983199725,7.4725063029422705,3.210881406856919,0.04166941655850426,-0.5166992841410207,8060007,0.0555690503951289,-1.6284990477345143
0,100001.0,250,286,-1.9317814919845242,3.2042538693326037,0.011836879320209137,-0.7844273166061609,7.434245944007622,3.5948144277137777,0.03193003610803845,0.01433777806896421,8060008,0.052281707475061535,-1.6098900891630037
0,100001.0,250,233,-1.8434178201726152,3.071387284789532,0.013804187628067415,-1.065385255115629,7.762511023822361,3.4704116269365697,0.031716111758863415,0.09901290099077177,8060009,0.05350184858540863,-1.745466162916922
0,100001.0,250,288,-1.468086706207201,2.435288896815004,0.009016532148571692,-0.27594337215527504,3.7994477945544394,2.7320586256737505,0.03413065752747058,0.1673053688698598,8060010,0.05298613810079025,-1.3255547974376924
0,100001.0,250,332,-1.8742457313215224,3.2304299331459605,0.031063373348320576,-2.076170786021552,4.505082469950959,3.747941033183106,0.026499647784687143,0.7135207576610642,8060011,0.03869074312136885,-0.4567211986212048
0,100001.0,250,276,-1.6113142862576948,2.803652760253426,0.03127634799080084,-1.1789651547561226,5.416925617739126,3.2872971021311765,0.02872843732249097,0.39055187301942623,8060012,0.04352355659195924,-0.6374966789422314
0,100001.0,250,257,-1.4782490077113286,2.616520462094272,0.03606679450995375,-0.7427596131100398,6.731088193813957,3.1162641223753247,0.02667231774707284,0.5572689628512335,8060013,0.04114036792330613,-0.4647654045755458
0,100001.0,250,234,-1.487890609382516,2.590619982501455,0.029440080541337742,-1.2349389872741654,7.5659770983401975,3.046349178744157,0.030233400909654314,0.316316503054328,8060014,0.051288345231520316,-1.4580878361195633
0,100001.0,250,218,-1.639506000055074,2.770666351885517,0.018784763324118586,-0.9252362016229004,7.59281671190788,3.1756964981064684,0.03530404259125597,-0.11561972988194695,8060015,0.05217644772638942,-1.400100387838288
0,100001.0,250,272,-1.7734691347305294,2.99606631170303,0.0198042828819558,-0.6649343999889781,7.118364715458499,3.4218190695643034,0.036784997567873436,-0.4224588817103342,8060016,0.046710138043212265,-1.0763252937640422
0,100001.0,250,227,-1.7644050317697042,3.023994911205151,0.02708426731050033,-1.1772020456430872,7.521464888385987,3.5083977974272478,0.038029410494603344,-0.14312914789585307,8060017,0.04332653193418836,-0.7929533261456448
0,100001.0,250,232,-1.5438905175709514,2.6645223089111894,0.02669214933817785,-1.2187912838587818,6.3603110726249605,3.1095023293469275,0.042053642824914785,-0.3763594232305671,8060018,0.05794751586993135,-1.4117949126800131
0,100001.0,250,246,-1.5732857996188914,2.7721092135640104,0.03640713786051774,-1.7858195187800494,6.5021276729744875,3.290908119890143,0.04214708295547783,-0.4773404779612518,8060019,0.05308330094571835,-1.159198902071301
0,100001.0,250,276,-1.3593936379038212,2.444813793540808,0.03935689321200859,-1.1105832494789292,7.7799114896332595,2.947837240785662,0.03041319263664518,0.4199935508822897,8060020,0.03291329088064416,-0.1579662506179807
0,100001.0,250,286,-1.8781353170097328,3.2579164789148103,0.03475735908174517,-1.5767743773149396,7.384660649335282,3.8079568477500088,0.0275022197365386,0.4750969678801166,8060021,0.0471088655698061,-1.1125987227181071
0,100001.0,250,287,-1.7856119301587947,2.8911003735950818,-0.0005848159245329345,-0.92412851643479,3.4114158709284745,3.1675459925500893,0.039847562292179485,-0.3924632870515705,8060022,0.055174326337608486,-1.8047168060930672
0,100001.0,250,263,-2.2049719463257693,3.6432411088455754,0.011318321093149092,-1.7287752729057804,5.790057623991476,4.076675399244419,0.03610253123416133,-0.09623051242563707,8060023,0.048944163751781324,-1.0753015617345565
0,100001.0,250,242,-1.6778903135810863,2.799495388003745,0.013153430062785808,-0.9078626888486728,5.35014483691735,3.1655552440215864,0.03090388670155142,0.4152048811989851,8060024,0.05710808494524002,-1.575940751136082
