#/home/enes/bim/BIM.py trees/ir3070030.trees,trees/ir3070031.trees,trees/ir3070032.trees,trees/ir3070033.trees,trees/ir3070034.trees,trees/ir3070035.trees,trees/ir3070036.trees,trees/ir3070037.trees,trees/ir3070038.trees,trees/ir3070039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/545875384.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,FerL,TajD,FayH,FulD,btree,Colless,path
0,100001.0,50,352,0.5028716455686457,-0.35771604226696907,0.42950925779225235,0.03615643780285238,0.05358392006072158,-0.0939768126857518,-0.41966894546597583,0.1401808091657715,ir3070030.trees
0,100001.0,50,405,0.27108553615194114,0.33610155320178897,-0.26503201512494273,0.20103659263621315,-0.017386211977247216,-0.18339526822074131,-0.21184020294613085,0.14539098467669898,ir3070031.trees
0,100001.0,50,471,-0.024746916817243822,-0.4141322917697054,0.34962289699461924,-0.2080503559491924,0.026848032649602085,-0.14742807081869466,-0.02954229902969715,0.11884444043103964,ir3070032.trees
0,100001.0,50,505,-0.3214294177150821,-0.5139252158858888,0.36353516487347165,-0.3771279777109245,0.01666796407996963,0.7562329967268225,-0.18999907377005407,0.1348865495565314,ir3070033.trees
0,100001.0,50,463,-0.25524364177353137,-0.32315655963065665,0.18915466887455834,-0.3042739027929244,0.0011522993626539941,-0.31710314788829735,0.2189206650665701,0.12743572005073214,ir3070034.trees
0,100001.0,50,508,0.7305815082089817,0.14699793760721347,0.12889461898445184,0.5025277459186259,0.05027990285395925,-0.8145662780627981,0.6634346622320395,0.10908041788143828,ir3070035.trees
0,100001.0,50,396,-0.5454947622673173,-0.09669760769437241,-0.03513784985862233,-0.247009142885354,-0.02142348527246105,0.3733033561375682,-0.9310012756927765,0.15584628346751545,ir3070036.trees
0,100001.0,50,468,-0.3206380159104228,0.27808865542026423,-0.3125522924340928,0.007819935770498198,-0.03643593546296487,0.09442137219602363,-0.4371352121662699,0.13815369897959187,ir3070037.trees
0,100001.0,50,533,0.19951760319618433,0.02010440710575788,0.041093039152640974,0.10845621480594726,0.012415344173339183,-0.8476762757743831,0.18708935064949317,0.11652661064425769,ir3070038.trees
0,100001.0,50,470,0.45350307752305263,-0.4516765310304833,0.5085648820853322,-0.011147274700843604,0.059392632734025855,0.4584082901629732,-0.2159127116330854,0.12573525650861844,ir3070039.trees
