#/home/enes/bim/BIM.py trees/r3100040.trees,trees/r3100041.trees,trees/r3100042.trees,trees/r3100043.trees,trees/r3100044.trees,trees/r3100045.trees,trees/r3100046.trees,trees/r3100047.trees,trees/r3100048.trees,trees/r3100049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/195489176.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,bsfs,FerL,FayH,ZngE,TajD,Colless,btree,path
0,100001.0,50,477,-0.43560906189089,0.1133896584673567,0.1653291655942792,0.019388741464466938,-0.14621104232074006,-0.0024081096078373537,0.12196375725431416,0.13968963313009083,r3100040.trees
0,100001.0,50,489,-0.11173616550067952,-0.25829469790277104,-0.4891509751606593,-0.05039874369016787,0.4841171178070296,0.10670375284479146,0.11225361939647654,0.36220457213733853,r3100041.trees
0,100001.0,50,405,-0.32964651963371244,0.8786456643118828,0.476961347388585,0.06936139627181889,-0.32343310362306904,0.18330735930166106,0.09144557823129242,1.1528471769290771,r3100042.trees
0,100001.0,50,511,0.15739509448647446,-0.0766990228569144,0.18047481179617095,0.011172992323962046,-0.2336247803437431,-0.14562871983186088,0.11954012374180448,0.009552651193228187,r3100043.trees
0,100001.0,50,441,1.108064310976566,-0.556473378737967,0.43880253807980685,0.018086439014825217,-0.6354958158665712,-0.48534151202880943,0.1479542966611932,-0.363265686699917,r3100044.trees
0,100001.0,50,441,-0.773274038762144,0.7330479898915941,0.23214902612131713,0.05509395796429613,0.000816192685024023,0.39543199293049663,0.10262622636994502,0.7941524300495411,r3100045.trees
0,100001.0,50,453,-0.21865085921663063,0.6183964940930055,0.32428831914224676,0.04728198581300618,-0.21844546559871397,0.12743842022470872,0.12331468732071146,0.17963185627654837,r3100046.trees
0,100001.0,50,401,-0.5954874123152941,0.39960021695802395,-0.10345743700386938,0.0008085110282590894,0.1873388730270834,0.1872367206841423,0.10911547360060778,0.7534983566726976,r3100047.trees
0,100001.0,50,491,0.11683140137253407,0.5499924112038622,-0.12373431412353107,0.015403875159968454,0.3312336068087611,0.4305815025558351,0.11265344126477414,0.6184647780522633,r3100048.trees
0,100001.0,50,435,0.04482654215777289,0.6024826238993133,-0.009280677857640066,0.030842360966282515,0.24454610540797747,0.457557444079253,0.13073466101416414,0.18934551504836072,r3100049.trees
