#/home/enes/bim/BIM.py trees/r3110030.trees,trees/r3110031.trees,trees/r3110032.trees,trees/r3110033.trees,trees/r3110034.trees,trees/r3110035.trees,trees/r3110036.trees,trees/r3110037.trees,trees/r3110038.trees,trees/r3110039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/183826938.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FulD,bsfs,FerL,TajD,ZngE,Colless,btree,path
0,100001.0,50,515,-0.026354964665453357,-0.9059286110803212,0.3069521145802012,-0.4732516559409736,0.4240240803482893,0.6344557491094828,0.1239390616059508,-0.12508078554741037,r3110030.trees
0,100001.0,50,396,-7.675611761629322e-05,-0.4866309412434023,0.2100666092912325,-0.0934445060127466,0.1575796431335335,0.1632388164680508,0.09844664610030061,0.6307248865894052,r3110031.trees
0,100001.0,50,498,0.001857713327271503,-0.8837516012158823,0.6698273241925962,-0.25572987178685225,0.4600920728116869,0.4622796234651314,0.12232001805461516,0.46975504668396717,r3110032.trees
0,100001.0,50,513,0.044425426420821076,-0.809883704212874,1.0291805467762931,0.05568861056635052,0.5426883562053147,0.23199900178921956,0.11345663265306116,0.7736524902452961,r3110033.trees
0,100001.0,50,397,0.03226685824351082,0.5878490991722991,-0.2574594034454173,0.48502390223774033,-0.36169360774149084,-0.6118159993953161,0.1402959387347754,0.0020415355197257222,r3110034.trees
0,100001.0,50,414,-0.025678939615550258,1.5734243457234414,-1.3543522771395227,0.1857814124348893,-0.6830689560234936,-0.5155946921810296,0.15320144015052833,-0.7446925245716565,r3110035.trees
0,100001.0,50,515,-0.14451961221026222,-0.099754230661459,-1.1881254394775649,-1.0803783456762743,-0.24166912596667994,0.8223783504960432,0.1095972479901051,-0.2295831874698311,r3110036.trees
0,100001.0,50,424,0.010003559680510109,-0.07821297066364856,0.2752971295780555,0.007219059216454474,0.13102162695988917,0.061349633446411436,0.11947751322751313,0.24424276960181257,r3110037.trees
0,100001.0,50,442,0.0077545118539745226,-0.07506986131126099,-0.15091773859092628,0.17860344678656112,-0.1919101611575474,-0.2557531662551901,0.12266275225173874,-0.1430268735360868,r3110038.trees
0,100001.0,50,442,-0.032324472565680946,-0.27618841022700047,-0.3892816192358493,-0.25352323803793336,-0.03298546291229417,0.2052175488656184,0.11602641056422568,0.10047270489890717,r3110039.trees
