#/home/enes/bim/BIM.py trees/ir3030000.trees,trees/ir3030001.trees,trees/ir3030002.trees,trees/ir3030003.trees,trees/ir3030004.trees,trees/ir3030005.trees,trees/ir3030006.trees,trees/ir3030007.trees,trees/ir3030008.trees,trees/ir3030009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/866655977.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FayH,FerL,ZngE,TajD,FulD,btree,Colless,path
0,100001.0,50,319,-3.1302215974492307,-0.2830432412999512,-1.7728259971462361,1.0241422923732517,-1.0273890240766916,0.18993462101919553,-2.3700617687815977,0.22988945578231293,ir3030000.trees
0,100001.0,50,352,-3.349969743645559,-0.2280483274074227,-1.3736825859613053,0.7263098404865526,-0.9261365782014617,2.091493278567628,-2.4042136700116292,0.2209951053592169,ir3030001.trees
0,100001.0,50,347,-3.2805804231612306,-0.30530114125478847,-1.9382253920367836,1.1467564995988138,-1.0702178621089,1.827748468182044,-2.7553128388208057,0.3205370858020628,ir3030002.trees
0,100001.0,50,321,-2.014121511206724,-0.1826138344576599,-1.221911574815161,0.7974657434438593,-0.5302064578406396,0.26039806926829273,-1.9057478501680398,0.21480331262939964,ir3030003.trees
0,100001.0,50,370,-2.8361859344202194,-0.17584297011279126,-1.0273045674924477,0.503006133021157,-0.7702743486107346,2.110408537553017,-2.2514318652629557,0.226202981192477,ir3030004.trees
0,100001.0,50,401,-1.6436965367938245,-0.10459269229114192,-0.5047636226722036,0.11186938652599139,-0.6403402451378443,0.7338203346433511,-2.2261373386994983,0.23333963214915596,ir3030005.trees
0,100001.0,50,203,-2.4339728130724074,-0.07901640571966526,-0.055888984892296996,-0.4758427846170938,-1.0272727528569023,1.7312167546247237,-2.202619615608575,0.20838239141810574,ir3030006.trees
0,100001.0,50,326,-1.9493943464637244,-0.10354139005753397,-0.5042956100201924,0.12162553031249539,-0.6217817336882383,1.5666567963447364,-1.7785876677574133,0.19786605118237763,ir3030007.trees
0,100001.0,50,334,-3.1867869853759836,-0.2758962283428833,-1.6090129674367104,0.7879413128686736,-1.2070657881310773,1.317862105886157,-2.757860348613333,0.28984824699110406,ir3030008.trees
0,100001.0,50,391,-3.49140375247318,-0.33348244768379187,-1.9935016612892498,1.0310240506725177,-1.3877708401354003,0.685168091060942,-2.474230276741942,0.2750707024382787,ir3030009.trees
