#/home/enes/bim/BIM.py trees/r8110051.trees,trees/r8110052.trees,trees/r8110053.trees,trees/r8110054.trees,trees/r8110055.trees,trees/r8110056.trees,trees/r8110057.trees,trees/r8110058.trees,trees/r8110059.trees,trees/r8110060.trees,trees/r8110061.trees,trees/r8110062.trees,trees/r8110063.trees,trees/r8110064.trees,trees/r8110065.trees,trees/r8110066.trees,trees/r8110067.trees 250 --stats=all --eta=etas/BC.json --out=outs/151116708.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,FerL,bsfs,FayH,TajD,Colless,btree,path
0,10001.0,250,90,-2.1818778696597896,2.8208395502223325,-1.6071696712721295,6.436533687676599,0.038754934419910646,3.415448660451528,0.02815177761738197,0.2981973159139901,r8110051.trees
0,10001.0,250,110,-1.0099711647405603,2.9454767404446516,-1.7246638057596009,6.7556621568913915,0.0266790522564752,3.460418203758264,0.03059265926183512,0.3694249399103861,r8110052.trees
0,10001.0,250,117,-1.6063379904030886,1.8321563579696551,-0.5472920029090941,1.9969086243029843,0.16064470005057735,3.0953943978632648,0.026497485543346407,0.7711388503337709,r8110053.trees
0,10001.0,250,79,-1.3663816265456399,2.495878709419968,-1.4161337041700144,5.422070171777613,0.03658345478745312,3.0465358543592793,0.037140071320937405,-0.17516254631278041,r8110054.trees
0,10001.0,250,76,-1.776666503911782,2.1881262973143434,-1.2299876071201654,6.479840646616543,0.035522474859549284,2.6957279247481796,0.03433492032646716,0.12369346770316789,r8110055.trees
0,10001.0,250,64,-2.3776450295387583,3.25287456704797,-1.917457350357466,6.439394959609215,0.028573652451521072,3.8722924252843645,0.03776935699788401,0.040767654568072055,r8110056.trees
0,10001.0,250,83,0.30571846165028743,1.2596951916411931,-0.42579388409058333,3.1474028011208826,0.09960640292010299,2.0596549466733824,0.03082167379194196,0.44698429559444336,r8110057.trees
0,10001.0,250,114,-2.2146934679356964,2.8921849691164234,-1.5767675017012985,5.3530087251940595,0.058141502287726195,3.6046984791895182,0.04610965857565157,-0.47829510714219503,r8110058.trees
0,10001.0,250,93,-1.621414348102764,2.4565070169027434,-1.3070766900213682,3.985145798169342,0.05939199673537816,3.138634677042855,0.028162503385977932,0.6632684832405937,r8110059.trees
0,10001.0,250,94,-1.442183162125812,2.5203745965455386,-1.3607570988893398,3.467984281734998,0.0553814881504336,3.18347467915132,0.03673537308298824,-0.15110337332213028,r8110060.trees
0,10001.0,250,85,-1.0569231625315874,2.2987313107754654,-1.2905997717547533,6.542254369390178,0.03718909030783265,2.823381152518445,0.028847648659152743,0.2738367425710785,r8110061.trees
0,10001.0,250,102,-1.389884718928311,2.134787273919956,-1.0758331014957883,4.697350292441373,0.06775799585223075,2.828287970344549,0.035867171350197416,-0.1389945508403985,r8110062.trees
0,10001.0,250,89,-1.9665155955953544,2.113678526339855,-0.8454121318678315,3.447180717573973,0.12944760736290434,3.210733731235296,0.03346720214190094,-0.08138707757031122,r8110063.trees
0,10001.0,250,106,-2.147472532925438,2.8733386145471447,-1.6113150259319091,3.146832775670772,0.04579524173784537,3.5076987637782864,0.03689111283845058,-0.0354685627714736,r8110064.trees
0,10001.0,250,67,-0.8000623429111281,3.0078747660768523,-1.8299123496212086,5.493718719115497,0.009853466491373121,3.46979931510629,0.02801269594507061,0.5572539503802316,r8110065.trees
0,10001.0,250,103,-1.7629415845984877,2.581667221440852,-1.2201921704937086,3.3708868422415685,0.10423828815618189,3.565401629950884,0.03320690168079727,0.09460292632375646,r8110066.trees
0,10001.0,250,69,-0.8638082801744201,2.674668085771549,-1.592056435936227,5.717558436868479,0.01871412383454018,3.1458344368277023,0.026052597486721073,0.5469284815784173,r8110067.trees
