#/home/enes/bim/BIM.py trees/ir3090060.trees,trees/ir3090061.trees,trees/ir3090062.trees,trees/ir3090063.trees,trees/ir3090064.trees,trees/ir3090065.trees,trees/ir3090066.trees,trees/ir3090067.trees,trees/ir3090068.trees,trees/ir3090069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/784560864.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FulD,ZngE,bsfs,FerL,TajD,btree,Colless,path
0,100001.0,50,424,-0.1604631503847429,0.44580034967606763,0.5113685696056662,-2.461909070313208,-0.9687631954833125,-0.6541000450005314,-1.375518509356495,0.17571334089191223,ir3090060.trees
0,100001.0,50,435,-0.03641618809283446,0.1810505364602953,0.23161843385741923,-0.22340996525667942,-0.2858241625976733,-0.036685447902430376,-0.545621229148276,0.1577084322100934,ir3090061.trees
0,100001.0,50,347,-0.018368882235366053,0.33571827447408176,0.2724911884628222,0.03346229047902836,-0.2327389217577979,0.13304576489611902,-0.8160970245416783,0.15028227785959744,ir3090062.trees
0,100001.0,50,382,-0.12044656978023212,1.7087062082898243,-0.010845174536196447,-2.9168035786998696,-0.5011858001633991,-0.8723640222049877,-0.9629573808994593,0.14735571648014045,ir3090063.trees
0,100001.0,50,440,-0.11317080255143945,0.7813394932006554,0.6335043730498954,-1.1766820168342527,-0.8391119470038255,-0.19765520814448484,-0.8612574967959403,0.17814087660380604,ir3090064.trees
0,100001.0,50,459,-0.10837090665834019,1.1293995652965207,0.5021430609535976,-1.30083117029784,-0.7441869457407432,-0.29080560991721705,-1.1664675179741884,0.1887244897959183,ir3090065.trees
0,100001.0,50,384,-0.06835711999237246,0.6804530835351166,0.3116933851713602,-0.6377464873710371,-0.46579638588017086,-0.18710619730001768,-1.4389973034163785,0.18511115786520793,ir3090066.trees
0,100001.0,50,396,-0.08800515307584621,0.8593531763963784,0.14433434925623825,-1.3979478688424065,-0.45327781557056585,-0.490079834787468,-1.3942096147932828,0.19184164050235472,ir3090067.trees
0,100001.0,50,341,-0.03794973010864241,-0.034315797232184114,0.03578597326418539,-0.5802956725652337,-0.1799533894454967,-0.23656222753484799,-0.7828149063766712,0.1497058282772568,ir3090068.trees
0,100001.0,50,387,-0.0777666594040076,1.2617426428014475,-0.2680832930902522,-1.7275077656216733,-0.17472096744923787,-0.8162747655595048,-0.6673056667952871,0.17946560067325906,ir3090069.trees
