#/home/enes/bim/BIM.py trees/r8050034.trees,trees/r8050035.trees,trees/r8050036.trees,trees/r8050037.trees,trees/r8050038.trees,trees/r8050039.trees,trees/r8050040.trees,trees/r8050041.trees,trees/r8050042.trees,trees/r8050043.trees,trees/r8050044.trees,trees/r8050045.trees,trees/r8050046.trees,trees/r8050047.trees,trees/r8050048.trees,trees/r8050049.trees,trees/r8050050.trees 250 --stats=all --eta=etas/BC.json --out=outs/535978648.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,bsfs,TajD,FayH,FerL,btree,Colless,path
0,10001.0,250,69,-0.6028566239973346,1.5261672095573968,3.7618085368224676,2.3419105040563486,0.09634424931575689,-0.6089026539832038,0.03751260918781458,0.03387024801715824,r8050034.trees
0,10001.0,250,95,-1.4592746223732804,0.6804217338539167,3.0033521791460203,1.8739871503144863,0.17097488802824465,0.19334933325338985,0.30890555197307196,0.03177560073441709,r8050035.trees
0,10001.0,250,53,-0.22947315298874715,1.0115250074366198,3.9333792145688693,1.5754392413487444,0.06694675185582935,-0.40032969210136066,0.30479840578629946,0.031896942609146266,r8050036.trees
0,10001.0,250,70,-0.6369527735835624,0.6947602407301506,2.437765136003724,1.50920086503088,0.11321961284875885,-0.034091895573704206,-0.14590070553530687,0.03764765808100437,r8050037.trees
0,10001.0,250,78,-1.3448549032520563,1.2713471486871954,1.3492956159333138,1.7404820353443051,0.04787641862853717,-0.6180589491689533,-0.22974968463081502,0.03354734072767498,r8050038.trees
0,10001.0,250,87,-1.3120893211746034,1.107961220728319,3.1632691835064923,1.978321511005953,0.1134190746713309,-0.2810386459055693,0.7737027508142681,0.02522590361445783,r8050039.trees
0,10001.0,250,57,0.20489942379235435,1.2724135954785014,2.2901728650055704,2.233844023736552,0.12445312863572348,-0.36289987213154046,-0.5601612763979703,0.04387922058604788,r8050040.trees
0,10001.0,250,101,-0.6462425656524335,1.7625937967030296,3.7718764957818576,2.471936254282364,0.07685422531285843,-0.8129778454525466,0.03787719398225929,0.033955922947372624,r8050041.trees
0,10001.0,250,84,-1.4667212390850626,0.4997541630105179,2.322043284965387,1.5165445473965962,0.14776838843279838,0.21648623205701747,0.2737446402281595,0.03248995983935744,r8050042.trees
0,10001.0,250,85,-0.842662461768864,0.4623266678956121,1.3157616189252765,1.3246232482594804,0.12452436308056436,0.1573824949123174,0.4109260717223665,0.03089031062214117,r8050043.trees
0,10001.0,250,80,-0.933503934680365,0.9753914319405238,2.6757313805603387,2.025301538204214,0.1439007277913829,-0.09398876147045043,0.4724948190297186,0.03070885693310878,r8050044.trees
0,10001.0,250,82,0.12389836310545622,1.5696501498067872,3.3467563300948724,2.3068443090970456,0.08386418400845676,-0.6740252664442354,-0.252953193999564,0.04237919419613939,r8050045.trees
0,10001.0,250,83,-0.13260370924515505,1.1845522312194425,1.6349782054110908,1.8133214072901507,0.07454286626975981,-0.4683787867769107,0.3834920686067616,0.029418259548457767,r8050046.trees
0,10001.0,250,74,-1.253265093762514,1.337536179427789,1.3169953826119316,1.918100838119073,0.06368275399816885,-0.6044309783378116,-0.08228162799724846,0.036598004922917475,r8050047.trees
0,10001.0,250,60,-1.140653096310198,1.7517497238665207,4.403441392599108,2.4485767984043787,0.07214503776777847,-0.8377509158735179,-0.1255779496466565,0.0359898374861453,r8050048.trees
0,10001.0,250,96,-1.6668267647372605,2.0948260383520454,4.186432089492218,2.752758219932155,0.06261018085968602,-1.0710069016323667,-0.39608533279975366,0.04102932467195974,r8050049.trees
0,10001.0,250,63,-0.37703919519133827,1.1456704665749584,4.1230989718586635,1.903219386909072,0.09497934405890748,-0.3812749680276172,0.48486552354240153,0.027761818663151906,r8050050.trees
