#/home/enes/bim/BIM.py trees/r8030170.trees,trees/r8030171.trees,trees/r8030172.trees,trees/r8030173.trees,trees/r8030174.trees,trees/r8030175.trees,trees/r8030176.trees,trees/r8030177.trees,trees/r8030178.trees,trees/r8030179.trees,trees/r8030180.trees,trees/r8030181.trees,trees/r8030182.trees,trees/r8030183.trees,trees/r8030184.trees,trees/r8030185.trees,trees/r8030186.trees 250 --stats=all --eta=etas/BC.json --out=outs/277339984.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,ZngE,TajD,FerL,FayH,btree,Colless,path
0,10001.0,250,43,4.914938622843199,-1.6369665763827614,2.2946626442844726,2.746696354452888,-1.3731375056001363,0.015998938371330033,-0.7959998687249153,0.043746834846718256,r8030170.trees
0,10001.0,250,44,1.6502490360150786,-0.48003675619142216,0.625006943534759,1.727109526459129,0.15410404214991763,0.16358722529718536,-0.6345709112731576,0.04519228989691485,r8030171.trees
0,10001.0,250,51,5.828908869082785,-0.4702188642782445,2.805628239951337,3.3109661110891633,-1.6885049325389925,0.015713368775467786,-0.13726631221875385,0.030953306312808838,r8030172.trees
0,10001.0,250,38,4.246572992012315,-0.10348350060033198,1.6296921942309983,1.9499907211298801,-0.9828995114501058,0.009473172406013747,0.4586325253078716,0.028473340366072585,r8030173.trees
0,10001.0,250,42,4.403606505299366,-0.36537660881411277,0.6299527136392538,1.005809687606805,-0.24206822066270559,0.04537745592083763,-0.2339426679313577,0.03937524290711232,r8030174.trees
0,10001.0,250,36,4.883118408564667,0.9965491512867024,1.1029230772946126,1.4664686465441013,-0.5890215630962954,0.030227421823641812,-0.6503056311563683,0.04058168156496955,r8030175.trees
0,10001.0,250,33,3.8740957941655143,-1.2362480586115812,1.6627699281237107,2.2610042750225277,-0.8674233213481363,0.05294390282144548,0.3114396859379183,0.028812831973053506,r8030176.trees
0,10001.0,250,40,5.131211830687232,-1.103917891504699,2.5950234555912637,3.1144434487677053,-1.5551689019641821,0.01782815940874011,-0.1439568384706593,0.03753724575722244,r8030177.trees
0,10001.0,250,47,6.364628035209004,-1.7536309308926519,3.4357931150171614,4.023634048806528,-2.0936014004129158,0.012050703731577598,0.6304167373558472,0.024632580501216333,r8030178.trees
0,10001.0,250,72,6.745974787305673,-1.45458404320824,3.6986891930266634,4.267493089269981,-2.242897205805267,0.013865227626879188,-0.6148047419195398,0.04314192252882497,r8030179.trees
0,10001.0,250,43,6.04139371976012,-0.8282685532241707,2.379079637873935,2.853145697453073,-1.420744061718143,0.017467623983724603,-0.3759284497476788,0.03511465215701516,r8030180.trees
0,10001.0,250,39,5.80721566356546,-2.3823948674549356,2.8227644935170413,3.425975234576089,-1.6737851699089314,0.02504672444449652,-0.48829342287433347,0.03640662356169547,r8030181.trees
0,10001.0,250,41,3.8208391146139484,0.11798520688042173,1.528171038331268,2.7001702843200386,-0.449038011316398,0.15261187589245997,-0.38159136687226436,0.03864247311827957,r8030182.trees
0,10001.0,250,36,4.841911119769298,-1.8520718030197607,1.6104624418551827,2.1262504444427446,-0.8681178806969402,0.04163743757068185,0.32106728142528934,0.029134973072011548,r8030183.trees
0,10001.0,250,31,4.5014841647658965,-1.671266365788143,2.142162055653846,2.7959238400953703,-1.1854776165649223,0.04749175149864575,-0.12887376995660163,0.03361294640929308,r8030184.trees
0,10001.0,250,83,6.327209064418363,-0.7900869655883193,2.4009289030465295,3.003952291162475,-1.3190222981208328,0.047108631365072456,-0.22525024564227672,0.03369661441464784,r8030185.trees
0,10001.0,250,43,5.596032235606977,-0.4239195416448748,2.1891414022976443,2.6778823234702207,-1.2790365653333795,0.024629053540415145,0.4800236564953363,0.0302791812410934,r8030186.trees
