#/home/enes/bim/BIM.py trees/ir3000030.trees,trees/ir3000031.trees,trees/ir3000032.trees,trees/ir3000033.trees,trees/ir3000034.trees,trees/ir3000035.trees,trees/ir3000036.trees,trees/ir3000037.trees,trees/ir3000038.trees,trees/ir3000039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/276220697.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FayH,FulD,bsfs,FerL,btree,Colless,path
0,100001.0,50,443,0.3727291842441317,0.5455660088184091,-0.02165594453397735,-0.3833355583414841,0.4353577800771718,-0.40258755586298617,0.21098428071465358,0.11882685766614344,ir3000030.trees
0,100001.0,50,483,0.21578899745241,0.17605041466417642,0.00636157689441572,-0.4711527759353943,0.45941076453957985,-0.0734933651300214,-0.43586927854221313,0.1362057534878358,ir3000031.trees
0,100001.0,50,478,0.16556871782037982,0.2593257383535853,-0.011881551203967437,-0.6276469614280655,0.14500464291269904,-0.19809982826582664,0.08529208409164481,0.12351008779580212,ir3000032.trees
0,100001.0,50,427,0.0670181752186984,-0.13339745161024175,0.027387471239488773,0.48893651406138744,0.38892199956544143,0.1916622416031926,0.20412211267979222,0.12160518053375202,ir3000033.trees
0,100001.0,50,450,-0.42691521305742797,-0.04158477850596291,-0.05397589147915069,0.1969817796851824,-0.8118943610560383,-0.20424614211487999,-0.7008230021049041,0.1307104738447103,ir3000034.trees
0,100001.0,50,373,-0.5366377177638074,-0.09295155227409166,-0.06241625504279768,0.6783570030935089,-1.1148349640661845,-0.20978287760686962,-1.1974946872030052,0.16313381022512088,ir3000035.trees
0,100001.0,50,450,0.3971255480692024,0.4786985991577132,-0.009207343089798125,-0.8896166405302345,0.4973064761134334,-0.3118886971116367,-0.030440384082042908,0.12209094163981386,ir3000036.trees
0,100001.0,50,464,-0.2869161207589064,-0.21455771473615756,-0.011083327717434236,-0.32352234031577853,-0.43507280318280644,0.07552494214376637,-0.24384843902174796,0.1320921985815603,ir3000037.trees
0,100001.0,50,529,0.18346608359211083,-0.014948998833747186,0.027597064013985567,0.2641800771012744,0.30737652744096444,0.12533204490249839,0.26455515341422353,0.12292568542568538,ir3000038.trees
0,100001.0,50,343,-0.5607635186497537,0.23893129392911885,-0.11087010620427856,0.6366799509379008,-1.596967940782387,-0.6024715826953693,-0.5402058226211304,0.1567460317460317,ir3000039.trees
