#/home/enes/bim/BIM.py trees/r8000136.trees,trees/r8000137.trees,trees/r8000138.trees,trees/r8000139.trees,trees/r8000140.trees,trees/r8000141.trees,trees/r8000142.trees,trees/r8000143.trees,trees/r8000144.trees,trees/r8000145.trees,trees/r8000146.trees,trees/r8000147.trees,trees/r8000148.trees,trees/r8000149.trees,trees/r8000150.trees,trees/r8000151.trees,trees/r8000152.trees 250 --stats=all --eta=etas/BC.json --out=outs/813190806.csv --r2t=0.005 --r2s=0.001 --treew=branch
start,end,N,SS,FerL,FayH,FulD,bsfs,TajD,ZngE,btree,Colless,path
0,2501.0,250,17,-0.017994309524304006,0.0779753713758668,-0.7127076431669841,3.2540345873439103,0.8684410799262362,0.3705427568060072,0.8689222517528026,0.03062653841171136,r8000136.trees
0,2501.0,250,15,0.17561564640073385,-0.003656959502555258,-0.4602920395039863,-3.1232848154354443e-06,-0.3826010697589908,-0.2957055670879057,0.31448718921962304,0.03090102344863325,r8000137.trees
0,2501.0,250,24,-1.2524588924920776,-0.08231760156187533,-0.6332035598380023,0.9813996016502032,1.4547666914430102,1.6134263954746215,1.3235807185977004,0.022903441723884786,r8000138.trees
0,2501.0,250,12,0.43188975152120546,0.157980770703038,0.03953603075383283,0.9764048851138325,0.6973865104972805,-0.06466215244930361,0.2517271395606396,0.03443883059118193,r8000139.trees
0,2501.0,250,24,-0.7677749573486692,-0.10288552431687822,-0.633203559838002,0.19212575888282918,0.29487034523696576,0.7386945808394926,0.43542877902295696,0.03668976983201624,r8000140.trees
0,2501.0,250,18,0.21792367033159415,0.08422742599757933,-1.6858798410735365,0.8048846465383224,0.4877461928388018,0.026659116013400656,0.333188260909581,0.035801269594507065,r8000141.trees
0,2501.0,250,14,-1.3081960355460545,-0.21346341667939983,-1.373242665914419,-0.7046024213960151,0.3921083695950876,1.201855226293341,-0.8680134992476894,0.03451305220883534,r8000142.trees
0,2501.0,250,25,-0.07208506939472391,-0.01956019779638374,-0.718611385927595,2.282730896660844e-06,-0.08679428585371286,0.021267880659444773,-0.12667356744662858,0.04873256466727124,r8000143.trees
0,2501.0,250,11,0.056695219328854206,0.17442094539419062,-2.3105962099881507,1.65629358186204,1.5649882407777647,0.5778578236741692,1.3128756300482063,0.025408083948698017,r8000144.trees
0,2501.0,250,15,0.5045043343742358,0.16302601497662533,1.54645603793418,1.0192070585136723,0.705942903427428,-0.11545187111225572,0.7665052076184674,0.02865224338213067,r8000145.trees
0,2501.0,250,24,-0.11957192147145047,0.09591477371055095,-0.633203559838002,2.2300159580680665,1.320504403823734,0.649622672821816,0.2866516804481289,0.03224996761238503,r8000146.trees
0,2501.0,250,12,0.36467469574346006,0.0497743352150733,1.2374296820739523,4.72985831489979e-06,-0.23487302093813348,-0.38446951415977393,-0.15150566943198643,0.0388683767327374,r8000147.trees
0,2501.0,250,16,-0.5008707077212958,0.010843481809202884,-0.5928903682049141,0.9536077804746326,1.093363379165279,0.8464327066246182,0.22770986221043213,0.036598004922917475,r8000148.trees
0,2501.0,250,12,0.8572431911651126,0.187110868298296,-1.1583576205662869,0.6404414041837339,0.13848493284360094,-0.6272148610002513,0.6945033173594084,0.029361686376843776,r8000149.trees
0,2501.0,250,16,0.7594260389779777,0.17331015203928102,-0.5928903682049141,0.792217072253462,0.34439994950060066,-0.4655874079869003,0.25828559730391226,0.032558806655192195,r8000150.trees
0,2501.0,250,14,0.35101402157142647,0.016602562252804338,3.929557135300948,-0.7770133711027705,-0.5215917214544872,-0.49100620593084826,0.015602971178797229,0.03562637647363648,r8000151.trees
0,2501.0,250,20,-0.6694935300627699,-0.18993295413431505,-1.0119084632668653,-0.5312634928268454,-0.8039971437538342,0.20216570702569195,-0.011691732533542401,0.028837122684285527,r8000152.trees
