#/home/enes/bim/BIM.py trees/ir3010070.trees,trees/ir3010071.trees,trees/ir3010072.trees,trees/ir3010073.trees,trees/ir3010074.trees,trees/ir3010075.trees,trees/ir3010076.trees,trees/ir3010077.trees,trees/ir3010078.trees,trees/ir3010079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/123219980.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FayH,FulD,FerL,TajD,bsfs,Colless,btree,path
0,100001.0,50,483,-0.36297644286418074,0.02081144441173143,-0.2563268931199158,0.29496029917566174,-0.2017373189327519,-0.31652411095712135,0.14125094482237338,-1.0425679498846119,ir3010070.trees
0,100001.0,50,432,0.5728258618584048,0.002962627914066897,-0.27491026812450736,-0.31420613226777167,0.5755931011303382,0.5068823938746644,0.13356413994169097,-0.24991979136910408,ir3010071.trees
0,100001.0,50,407,-1.0110239028436006,0.07909354113843871,0.8200861181164172,0.9102397054546921,-0.4128504358688531,-0.16043685043536005,0.1345775152166129,-0.14717514722690153,ir3010072.trees
0,100001.0,50,343,0.3314378731803264,0.018140232335075602,-0.09640919105889202,-0.11287248835344299,0.4513043244430578,0.6184936137163336,0.1395784275248561,-0.1912073839312056,ir3010073.trees
0,100001.0,50,424,0.504003284234811,-0.011994714075516109,0.23619502154018154,-0.33808249123594,0.40196859602370644,0.4224481679205398,0.14935127276717136,-0.464044364113764,ir3010074.trees
0,100001.0,50,493,0.29766703087516705,0.01845068133349344,-0.34805889643530924,-0.09170531099809244,0.4199690041550776,0.40748773978578456,0.15310568671913222,-0.739868087359462,ir3010075.trees
0,100001.0,50,375,0.34397841268074086,-0.13046153988807668,0.22307112193691564,-0.7456348630603242,-0.5999576235703676,-1.8738968888245484,0.19494291969661431,-1.5382157848275635,ir3010076.trees
0,100001.0,50,414,0.5686832711716753,-0.0750219846392045,0.6433301103616643,-0.6408232289195392,0.013465037755128292,-0.385174995670328,0.15303001934718846,-0.44715161722322755,ir3010077.trees
0,100001.0,50,397,0.4583577796394365,-0.05634152442572427,-0.2699329960310114,-0.4989616272538765,0.04072569072869043,-0.15494614559558734,0.19230257320319438,-1.4743943569299507,ir3010078.trees
0,100001.0,50,458,0.21027403953580898,-0.04282085036372941,0.038963711081777354,-0.30081129590546235,-0.10342591835599098,-0.33204323852718953,0.16488725119677503,-0.6266468379408542,ir3010079.trees
