#/home/enes/bim/BIM.py trees/r3110070.trees,trees/r3110071.trees,trees/r3110072.trees,trees/r3110073.trees,trees/r3110074.trees,trees/r3110075.trees,trees/r3110076.trees,trees/r3110077.trees,trees/r3110078.trees,trees/r3110079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/290908153.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,TajD,FerL,FayH,FulD,Colless,btree,path
0,100001.0,50,409,0.010422002603067847,0.9552113175729301,0.35437333291182843,0.19685736859685046,0.04808913219873294,-0.213802919734084,0.09275407132549987,0.9470734694365237,r3110070.trees
0,100001.0,50,428,-0.324207756668653,0.9667356974654109,0.2466274285383208,0.5151650244910935,0.07825399318312137,-0.3851333505229772,0.09014862102476462,1.1266401276008617,r3110071.trees
0,100001.0,50,431,-0.4319140705697119,0.8312883883431602,0.07203711070554422,0.5351392494625912,0.06842407907350005,0.3163881623265429,0.09924242424242416,0.5221172076578676,r3110072.trees
0,100001.0,50,483,0.3775376174181657,0.26425729089002076,0.38266424006860866,-0.20484752499258732,0.002467732575526093,0.3881507553265193,0.1410684963640628,-0.23001749412882794,r3110073.trees
0,100001.0,50,413,-0.15109106349199578,-0.8000242749978358,-0.438727089455766,-0.08609217090218717,-0.04084410350083902,0.796284025693196,0.137202380952381,-0.20095852684983892,r3110074.trees
0,100001.0,50,427,0.029713405677292196,-0.14226920919662123,-0.027141062089304696,-0.04988844730267111,-0.007805785190117071,0.5930072500333909,0.11937261815721041,0.12524038739437623,r3110075.trees
0,100001.0,50,489,0.25626503286668606,0.3232471868963675,0.24038591427021697,-0.15044555421419176,-0.0010219227382031468,-0.7180325288703434,0.1193771767080037,0.1947312615956525,r3110076.trees
0,100001.0,50,494,-0.15338163667731583,0.1556173419389009,0.057531911340152356,0.20885625597199378,0.02870669656164092,0.18614436258823763,0.10978027574666238,0.07698917048166068,r3110077.trees
0,100001.0,50,453,0.02861335354592856,0.6510216552488607,0.29678478317640766,0.14233565027576536,0.03756170999712096,-0.9055690533087875,0.10959008016352076,0.5755381252940159,r3110078.trees
0,100001.0,50,473,0.5619236037320424,0.38734002118305744,0.40050009796480207,-0.40467159011470205,-0.019931222981160263,-0.38008024524255085,0.12237737200143214,0.2374379712400907,r3110079.trees
