#/home/enes/bim/BIM.py trees/ir8100122.trees,trees/ir8100123.trees,trees/ir8100124.trees,trees/ir8100125.trees,trees/ir8100126.trees,trees/ir8100127.trees,trees/ir8100128.trees,trees/ir8100129.trees,trees/ir8100130.trees,trees/ir8100131.trees,trees/ir8100132.trees,trees/ir8100133.trees,trees/ir8100134.trees,trees/ir8100135.trees,trees/ir8100136.trees,trees/ir8100137.trees 250 --stats=all --eta=etas/BC.json --out=outs/758695312.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FayH,TajD,bsfs,ZngE,FerL,btree,Colless,path
0,10001.0,250,114,-1.4056113148111384,0.06482080720246428,1.9068659003975534,1.4225781431624194,1.3294949458751983,-0.5862067695797952,-0.9454522555395212,0.050592863815192866,ir8100122.trees
0,10001.0,250,136,-2.223663673363872,0.17441574614373082,3.089484009680469,1.6076573092738906,1.7456796733840632,-0.4375295857829059,-0.7790609729441867,0.047311558060197774,ir8100123.trees
0,10001.0,250,102,-1.7499836365072694,0.15372082306435675,2.447103742651931,2.9389065746366274,1.2918325327530253,-0.24390598407909095,-0.3784247133542804,0.04049448414003408,ir8100124.trees
0,10001.0,250,116,-1.5935829916056188,0.17456746727523753,2.73860236749166,2.3936777300713046,1.4298167915282385,-0.24816105084635007,-0.30006691403015817,0.0400073411927279,ir8100125.trees
0,10001.0,250,107,-0.4366517384398244,0.09991694718915181,1.9780373535603542,2.7142572081213587,1.186538659045582,-0.3717817383108579,-1.4661534583649514,0.05944746728850887,ir8100126.trees
0,10001.0,250,122,-1.5155065334742588,0.0911814665538087,2.746539805512051,1.5021211824963947,1.9294244910158806,-0.8595708078387809,-0.5305068319548414,0.04313147016217362,ir8100127.trees
0,10001.0,250,135,-1.254840258666184,0.16584248372813284,1.8357121704192856,1.7922308178092952,0.6673109152670867,0.1970823771160952,-0.37004939030922146,0.04086139278521711,ir8100128.trees
0,10001.0,250,122,-1.2123381147649694,0.1118359955561706,2.25534365492279,2.7188590700250512,1.3658973767264466,-0.4357419057106754,-0.015895029484622382,0.03627971284470474,ir8100129.trees
0,10001.0,250,98,-0.01193467270821825,0.004322176878979278,2.169480541304123,1.9120960341658584,1.9137031542238148,-1.1684262596957886,-1.0270437903440892,0.04723858212004344,ir8100130.trees
0,10001.0,250,128,-1.5892258399578196,0.06200642017516625,2.922094352242789,3.7526589275341697,2.2614472078675014,-1.1705567605602203,-0.947211467670437,0.049629603457819554,ir8100131.trees
0,10001.0,250,117,-1.606337990403089,0.11527865529133012,2.396964591094307,2.6056011110576534,1.4725113351071222,-0.49027261847774006,-0.5449720524234448,0.044470508763163254,ir8100132.trees
0,10001.0,250,111,-1.6925171665962397,0.07109916639241888,1.964956548873846,2.3048344530819618,1.3442527270250806,-0.5730107166921856,-0.7796527734576721,0.04829945969837606,ir8100133.trees
0,10001.0,250,95,-1.0738373221087376,0.02407327337395702,3.2567504307478767,2.762800893750109,2.768210483835274,-1.6263862249360512,-1.2928260906288271,0.05606296152351341,ir8100134.trees
0,10001.0,250,80,-0.4796088298671126,0.04253062937082304,3.318045837125751,5.740861958485758,2.7038791531206843,-1.523625476640461,-1.006795514374685,0.046379064645679494,ir8100135.trees
0,10001.0,250,115,-0.9387649786710325,0.14313769961611544,2.3608839573758895,1.778889234375501,1.275963737592163,-0.267828556900002,-0.5984522277515866,0.045958025650991066,ir8100136.trees
0,10001.0,250,119,-0.699633747005872,0.17506138257971648,2.0144283124206193,1.5293195566485294,0.776258320283998,0.15877458384681273,-0.12903525730372356,0.03636132619809262,ir8100137.trees
