#/home/enes/bim/BIM.py trees/r8060136.trees,trees/r8060137.trees,trees/r8060138.trees,trees/r8060139.trees,trees/r8060140.trees,trees/r8060141.trees,trees/r8060142.trees,trees/r8060143.trees,trees/r8060144.trees,trees/r8060145.trees,trees/r8060146.trees,trees/r8060147.trees,trees/r8060148.trees,trees/r8060149.trees,trees/r8060150.trees,trees/r8060151.trees,trees/r8060152.trees 250 --stats=all --eta=etas/BC.json --out=outs/906322740.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,bsfs,ZngE,FerL,FulD,TajD,btree,Colless,path
0,10001.0,250,40,0.04098882831112884,5.385665337746209,2.1384150748176127,-1.1955228992266755,-1.5357006352431182,2.726664395411239,0.3053940900189039,0.03114608973528522,r8060136.trees
0,10001.0,250,77,0.015417078918423506,6.7104615488227575,3.512128939120699,-2.1208067303899334,-1.3228000985441652,4.05799954613952,0.9445376695348209,0.023712360964595707,r8060137.trees
0,10001.0,250,48,0.010119393019973978,5.110405189721786,3.0180062356844672,-1.8402347089902136,-0.6830440061623675,3.5282771117532685,0.034001820956828174,0.03443883059118193,r8060138.trees
0,10001.0,250,49,0.014154104440444067,4.975599156510492,2.905311091458254,-1.7563499461125205,-1.0878327471550784,3.420973380703728,-0.5124758992697902,0.03566339089075195,r8060139.trees
0,10001.0,250,50,0.019882971178626908,6.283678907012095,2.6929304299150245,-1.6048200904246444,-1.1255238311699998,3.210386228566403,-0.15151024062756813,0.03297706956859697,r8060140.trees
0,10001.0,250,39,0.014245003326108908,6.042334249223923,2.9940998948241506,-1.8155243558046414,-1.9406162743545758,3.559055269561117,-0.21054832045908004,0.039192252882497725,r8060141.trees
0,10001.0,250,48,0.0198487046473367,6.2081746013297,2.739209254200577,-1.6344568255687466,-0.6830440061623676,3.268503651400071,0.6440187676774888,0.026530083467510596,r8060142.trees
0,10001.0,250,43,0.0067593398357180335,4.697905654838231,2.8222688542186103,-1.7315576557680439,-0.8282685532241705,3.2989364229902134,-0.5871015964501842,0.046596524346232855,r8060143.trees
0,10001.0,250,56,0.004508947271330772,5.620313189738816,2.9852004202138036,-1.8366457604075208,-0.056868785439619145,3.433384898815058,0.09827929835417511,0.02887895668696291,r8060144.trees
0,10001.0,250,54,0.009721397879917128,6.281654469945804,3.0501661284580006,-1.8596775422995442,-1.5914089407117977,3.5453599059834584,-0.12912932758696263,0.037472470527270374,r8060145.trees
0,10001.0,250,69,0.016087580138464383,4.895377820372123,3.4128577618543545,-2.0586954056855915,-1.9076149048827613,3.9643213584112504,-0.4826896668636878,0.043533581329928,r8060146.trees
0,10001.0,250,39,0.05231733264866113,3.7318588269533737,1.5759934929340607,-0.8096129824480205,1.1518338773479468,2.145690226503941,0.6248146889301815,0.026428293820443066,r8060147.trees
0,10001.0,250,66,0.002917102188954593,6.804031111404134,4.512274609395824,-2.7867522085764924,-1.310978763133036,5.132453649242872,-0.2592924580447962,0.03862762879474889,r8060148.trees
0,10001.0,250,54,-0.0004976710087262884,5.488165537338595,3.4041954238961485,-2.1141661059842343,-0.9353579182464251,3.885737092691316,-0.8801434595699688,0.04076675365054688,r8060149.trees
0,10001.0,250,52,0.03273103257911118,4.822593954126862,2.4316739895724173,-1.3983777766790273,0.5014812498441626,2.986870036481088,-0.1574329349477156,0.034998056743101434,r8060150.trees
0,10001.0,250,60,0.033505413390811145,4.794053826139751,2.693736540022979,-1.5551033300730777,-1.7355214011225155,3.275821208728681,0.12913602525590176,0.034660145960184824,r8060151.trees
0,10001.0,250,77,0.03801468292272772,3.1308781944483415,2.892573235362438,-1.6572563256875263,-0.8521828352628039,3.504908970004563,0.08697315794079812,0.034356781966575975,r8060152.trees
