#/home/enes/bim/BIM.py trees/r8120085.trees,trees/r8120086.trees,trees/r8120087.trees,trees/r8120088.trees,trees/r8120089.trees,trees/r8120090.trees,trees/r8120091.trees,trees/r8120092.trees,trees/r8120093.trees,trees/r8120094.trees,trees/r8120095.trees,trees/r8120096.trees,trees/r8120097.trees,trees/r8120098.trees,trees/r8120099.trees,trees/r8120100.trees,trees/r8120101.trees 250 --stats=all --eta=etas/BC.json --out=outs/793070564.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FayH,bsfs,TajD,ZngE,FerL,Colless,btree,path
0,10001.0,250,102,-1.5699341777177904,0.010385032827565168,6.219655610219489,4.871156607197424,4.297486966721991,-2.6208826821943143,0.03534485335884482,0.047082015597042504,r8120085.trees
0,10001.0,250,77,-0.8521828352628043,0.0039371762180687685,6.632103555518248,4.159970399908822,3.66806582802332,-2.257938989801856,0.04019950770825237,-0.5349299953842966,r8120086.trees
0,10001.0,250,74,-2.230507027577472,0.018817195079143766,6.044633464146377,4.105859027283501,3.53071919827872,-2.1209749846813155,0.025008221471493917,0.9475850676598851,r8120087.trees
0,10001.0,250,73,-1.9712898715275005,0.02374965757879253,6.608738993831262,4.40730106396506,3.768112509149466,-2.2509379594263548,0.030920456017618864,0.09298028001058402,r8120088.trees
0,10001.0,250,73,-1.7238234572289757,0.005807126304532327,6.820212772868567,4.545762995049681,3.9925362137383336,-2.4530460368851386,0.0388928987840764,-0.5612347711171192,r8120089.trees
0,10001.0,250,79,-2.055384614236402,0.001116229715023441,6.696816642764574,4.487646017700442,3.9782045614982735,-2.4596785976771014,0.02401217774323099,1.0992877686369549,r8120090.trees
0,10001.0,250,61,-0.878325517234278,0.007621649820033775,6.57391427155248,3.946611659135075,3.429465916516558,-2.1003365419933244,0.041326596709418316,-0.7287546067159403,r8120091.trees
0,10001.0,250,85,-1.9139659655824839,0.01412184637397912,6.829537071162134,4.263550371662822,3.7131764214506493,-2.2484155022968677,0.03058316214165418,0.3666863795030087,r8120092.trees
0,10001.0,250,69,-0.8638082801744202,0.011181196514194787,6.304813231282899,3.71291906565218,3.2183535812051836,-1.9553162198067506,0.03821090814872393,-0.4838089947321551,r8120093.trees
0,10001.0,250,74,-1.253265093762514,0.010907951251810126,6.574007725016864,4.469188944009821,3.8975536152248527,-2.3760593485686194,0.034445700691328365,-0.18652262424467284,r8120094.trees
0,10001.0,250,68,-1.6260440627684738,0.01903925202673555,6.484997187135309,4.208311956881146,3.61004151274542,-2.1708353771979385,0.040460228008809426,-0.4950258265340301,r8120095.trees
0,10001.0,250,72,-1.9559942466820388,0.017405767603470654,6.282338268900925,4.868089883034162,4.210228850185298,-2.5473988185515237,0.04614875271696103,-0.9874293736890044,r8120096.trees
0,10001.0,250,74,-0.7646441268550348,0.018733965648586835,5.148752565000413,3.762898129177662,3.2273419198090516,-1.9333321143536915,0.030569860085503303,0.3953184707352923,r8120097.trees
0,10001.0,250,58,-1.3835811411032277,0.006939703064306182,5.832641082243651,4.873641789076418,4.240437651101188,-2.6064696461950994,0.037386103554000946,-0.3437768558864342,r8120098.trees
0,10001.0,250,77,-1.322800098544165,0.007448648197505341,6.554051121024095,4.393283160746188,3.8550224206323755,-2.361328205980921,0.024857494494105455,0.3996324057125973,r8120099.trees
0,10001.0,250,70,-1.6667293489390875,0.02022083905251296,6.775582401779795,4.754874662000026,4.090215395012835,-2.4637143063442735,0.03745222826791036,-0.12862462641562988,r8120100.trees
0,10001.0,250,72,-1.9559942466820388,0.014801319219837274,6.169932453970846,4.001636941866669,3.4580694936663283,-2.0905315531699324,0.031869413136416634,0.04431892356437209,r8120101.trees
