#/home/enes/bim/BIM.py trees/ir8080234.trees,trees/ir8080235.trees,trees/ir8080236.trees,trees/ir8080237.trees,trees/ir8080238.trees,trees/ir8080239.trees,trees/ir8080240.trees,trees/ir8080241.trees,trees/ir8080242.trees,trees/ir8080243.trees,trees/ir8080244.trees,trees/ir8080245.trees,trees/ir8080246.trees,trees/ir8080247.trees,trees/ir8080248.trees,trees/ir8080249.trees 250 --stats=all --eta=etas/BC.json --out=outs/478559423.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FayH,FerL,TajD,FulD,Colless,btree,path
0,10001.0,250,97,1.66886887805704,1.7077864460097367,0.1436489511605529,-0.5155838983471807,2.803118172112273,-1.681368258039326,0.05550589454592565,-1.5697548376503438,ir8080234.trees
0,10001.0,250,100,2.233542236640566,5.47734810412155,0.058305277761776436,-1.1714667793059097,2.8779666878635304,-0.805845437748522,0.05763376084985101,-1.896801985099727,ir8080235.trees
0,10001.0,250,91,1.9379836585418502,1.8390215036845154,0.12772888626839277,-0.7419048538875511,3.00198699168961,-1.5895558298043457,0.05454074361963985,-1.2057899222706767,ir8080236.trees
0,10001.0,250,65,2.608855831774662,6.120819129680169,0.023319143830247704,-1.5361680502243453,3.1066322781409506,-1.2846340729109806,0.04708349527140821,-1.0744516330285654,ir8080237.trees
0,10001.0,250,61,2.6161478547806354,6.239947743799486,0.027944066858703744,-1.525826923989199,3.1507032430585142,-0.8783255172342777,0.05206309107397331,-1.2162322407908366,ir8080238.trees
0,10001.0,250,85,1.4892735511741293,1.852362122659174,0.10559231601918785,-0.5458131887692308,2.3561241698462707,-1.485444564057036,0.04844303901824305,-0.8723887204412551,ir8080239.trees
0,10001.0,250,71,1.6878988172082416,5.867295796810059,0.035805354192574475,-0.9202987908783339,2.1369154903557175,-0.16208526232480555,0.06107224597313987,-1.5497580657619032,ir8080240.trees
0,10001.0,250,77,2.6167493834862974,4.961393095254718,0.057963983210457495,-1.4159538957535889,3.322248990917962,-1.0874914669034843,0.049547652977501404,-1.1710863716721078,ir8080241.trees
0,10001.0,250,88,1.1372902479361564,2.7564473643612346,0.16045803518419682,-0.13075144174118788,2.315979222441063,-1.5391871922508322,0.03809863108347368,-0.10170846241213757,ir8080242.trees
0,10001.0,250,58,2.6915611036884917,5.9330192916928075,0.04214821459840777,-1.5248375960398188,3.3314284021165648,-1.0766060266679787,0.04325365980049229,-0.8058492895185905,ir8080243.trees
0,10001.0,250,67,1.5164851627903118,6.004804241096251,0.039689827959484725,-0.8015389406488629,1.9706000348304336,-1.0683244134544412,0.041051301982122035,-0.360234413933563,ir8080244.trees
0,10001.0,250,66,1.8782985677164898,5.982463418227638,0.027028517456980566,-1.070165452618441,2.300757395431165,1.4097552495324064,0.05415209223992745,-1.2203076058836346,ir8080245.trees
0,10001.0,250,71,2.0534355397218236,4.462696485739876,0.03311548652906957,-1.1562191442884175,2.532891916213682,-0.9241748137085982,0.06629744785593988,-2.1100507151403813,ir8080246.trees
0,10001.0,250,57,1.8978828664868252,4.740028022342126,0.05196240517350313,-0.9993027593658491,2.4903739078703917,-0.10708012700926116,0.05305091333074233,-1.1394963468887571,ir8080247.trees
0,10001.0,250,104,1.3464230878264967,2.3169024891389167,0.12071942911965669,-0.3962198437769748,2.2926786047267336,-1.0687398252641311,0.0374770973294098,-0.07404069441124538,ir8080248.trees
0,10001.0,250,103,2.4367824133927223,6.628657882938401,0.05569159374628169,-1.306031767172365,3.0865386784654234,-1.9413159995555833,0.042341408645334026,-0.8542849371196878,ir8080249.trees
