#/home/enes/bim/BIM.py trees/r2100000.trees,trees/r2100001.trees,trees/r2100002.trees,trees/r2100003.trees,trees/r2100004.trees,trees/r2100005.trees,trees/r2100006.trees,trees/r2100007.trees,trees/r2100008.trees,trees/r2100009.trees,trees/r2100010.trees,trees/r2100011.trees,trees/r2100012.trees,trees/r2100013.trees,trees/r2100014.trees,trees/r2100015.trees,trees/r2100016.trees,trees/r2100017.trees,trees/r2100018.trees,trees/r2100019.trees,trees/r2100020.trees,trees/r2100021.trees,trees/r2100022.trees,trees/r2100023.trees,trees/r2100024.trees,trees/r2100025.trees,trees/r2100026.trees,trees/r2100027.trees,trees/r2100028.trees,trees/r2100029.trees,trees/r2100030.trees,trees/r2100031.trees,trees/r2100032.trees,trees/r2100033.trees,trees/r2100034.trees,trees/r2100035.trees,trees/r2100036.trees,trees/r2100037.trees,trees/r2100038.trees,trees/r2100039.trees,trees/r2100040.trees,trees/r2100041.trees,trees/r2100042.trees,trees/r2100043.trees,trees/r2100044.trees,trees/r2100045.trees,trees/r2100046.trees,trees/r2100047.trees,trees/r2100048.trees,trees/r2100049.trees,trees/r2100050.trees,trees/r2100051.trees,trees/r2100052.trees,trees/r2100053.trees,trees/r2100054.trees,trees/r2100055.trees,trees/r2100056.trees,trees/r2100057.trees,trees/r2100058.trees,trees/r2100059.trees,trees/r2100060.trees,trees/r2100061.trees,trees/r2100062.trees,trees/r2100063.trees,trees/r2100064.trees,trees/r2100065.trees,trees/r2100066.trees,trees/r2100067.trees,trees/r2100068.trees,trees/r2100069.trees,trees/r2100070.trees,trees/r2100071.trees,trees/r2100072.trees,trees/r2100073.trees,trees/r2100074.trees,trees/r2100075.trees,trees/r2100076.trees,trees/r2100077.trees,trees/r2100078.trees,trees/r2100079.trees,trees/r2100080.trees,trees/r2100081.trees,trees/r2100082.trees,trees/r2100083.trees,trees/r2100084.trees,trees/r2100085.trees,trees/r2100086.trees,trees/r2100087.trees,trees/r2100088.trees,trees/r2100089.trees,trees/r2100090.trees,trees/r2100091.trees,trees/r2100092.trees,trees/r2100093.trees,trees/r2100094.trees,trees/r2100095.trees,trees/r2100096.trees,trees/r2100097.trees,trees/r2100098.trees,trees/r2100099.trees,trees/r2100100.trees,trees/r2100101.trees,trees/r2100102.trees,trees/r2100103.trees,trees/r2100104.trees,trees/r2100105.trees,trees/r2100106.trees,trees/r2100107.trees,trees/r2100108.trees,trees/r2100109.trees,trees/r2100110.trees,trees/r2100111.trees,trees/r2100112.trees,trees/r2100113.trees,trees/r2100114.trees,trees/r2100115.trees,trees/r2100116.trees,trees/r2100117.trees,trees/r2100118.trees,trees/r2100119.trees,trees/r2100120.trees,trees/r2100121.trees,trees/r2100122.trees,trees/r2100123.trees,trees/r2100124.trees,trees/r2100125.trees,trees/r2100126.trees,trees/r2100127.trees,trees/r2100128.trees,trees/r2100129.trees,trees/r2100130.trees,trees/r2100131.trees,trees/r2100132.trees,trees/r2100133.trees,trees/r2100134.trees,trees/r2100135.trees,trees/r2100136.trees,trees/r2100137.trees,trees/r2100138.trees,trees/r2100139.trees,trees/r2100140.trees,trees/r2100141.trees,trees/r2100142.trees,trees/r2100143.trees,trees/r2100144.trees,trees/r2100145.trees,trees/r2100146.trees,trees/r2100147.trees,trees/r2100148.trees,trees/r2100149.trees,trees/r2100150.trees,trees/r2100151.trees,trees/r2100152.trees,trees/r2100153.trees,trees/r2100154.trees,trees/r2100155.trees,trees/r2100156.trees,trees/r2100157.trees,trees/r2100158.trees,trees/r2100159.trees,trees/r2100160.trees,trees/r2100161.trees,trees/r2100162.trees,trees/r2100163.trees,trees/r2100164.trees,trees/r2100165.trees,trees/r2100166.trees,trees/r2100167.trees,trees/r2100168.trees,trees/r2100169.trees,trees/r2100170.trees,trees/r2100171.trees,trees/r2100172.trees,trees/r2100173.trees,trees/r2100174.trees,trees/r2100175.trees,trees/r2100176.trees,trees/r2100177.trees,trees/r2100178.trees,trees/r2100179.trees,trees/r2100180.trees,trees/r2100181.trees,trees/r2100182.trees,trees/r2100183.trees,trees/r2100184.trees,trees/r2100185.trees,trees/r2100186.trees,trees/r2100187.trees,trees/r2100188.trees,trees/r2100189.trees,trees/r2100190.trees,trees/r2100191.trees,trees/r2100192.trees,trees/r2100193.trees,trees/r2100194.trees,trees/r2100195.trees,trees/r2100196.trees,trees/r2100197.trees,trees/r2100198.trees,trees/r2100199.trees,trees/r2100200.trees,trees/r2100201.trees,trees/r2100202.trees,trees/r2100203.trees,trees/r2100204.trees,trees/r2100205.trees,trees/r2100206.trees,trees/r2100207.trees,trees/r2100208.trees,trees/r2100209.trees,trees/r2100210.trees,trees/r2100211.trees,trees/r2100212.trees,trees/r2100213.trees,trees/r2100214.trees,trees/r2100215.trees,trees/r2100216.trees,trees/r2100217.trees,trees/r2100218.trees,trees/r2100219.trees,trees/r2100220.trees,trees/r2100221.trees,trees/r2100222.trees,trees/r2100223.trees,trees/r2100224.trees,trees/r2100225.trees,trees/r2100226.trees,trees/r2100227.trees,trees/r2100228.trees,trees/r2100229.trees,trees/r2100230.trees,trees/r2100231.trees,trees/r2100232.trees,trees/r2100233.trees,trees/r2100234.trees,trees/r2100235.trees,trees/r2100236.trees,trees/r2100237.trees,trees/r2100238.trees,trees/r2100239.trees,trees/r2100240.trees,trees/r2100241.trees,trees/r2100242.trees,trees/r2100243.trees,trees/r2100244.trees,trees/r2100245.trees,trees/r2100246.trees,trees/r2100247.trees,trees/r2100248.trees,trees/r2100249.trees 100 --stats=btree --eta=etas/ben.json --out=outs/extraben.csv --r2t=0.005 --r2s=0.005
start,end,N,btree,path
0.0,138.0,100,-0.7573485590017426,r2100000.trees
9509.0,10001.0,100,-0.24292426723514562,r2100000.trees
8367.0,8908.0,100,-0.19401662729031782,r2100000.trees
7853.0,8367.0,100,-0.23443644221348248,r2100000.trees
7010.0,7853.0,100,-0.25080384952644846,r2100000.trees
6711.0,7010.0,100,-0.2592947595481646,r2100000.trees
6649.0,6711.0,100,-0.22103015526480752,r2100000.trees
5689.0,6649.0,100,-0.39465532540871634,r2100000.trees
5324.0,5689.0,100,-0.45785066976247674,r2100000.trees
2850.0,5324.0,100,-0.520611663529148,r2100000.trees
8908.0,9509.0,100,-0.23978713165517876,r2100000.trees
2256.0,2740.0,100,-0.42845611384451415,r2100000.trees
2740.0,2850.0,100,-0.580716180255308,r2100000.trees
452.0,468.0,100,-0.8776393648615513,r2100000.trees
468.0,1105.0,100,-0.8520985944511059,r2100000.trees
138.0,452.0,100,-0.8932605103991913,r2100000.trees
1214.0,1363.0,100,-0.2409679187517348,r2100000.trees
1363.0,2224.0,100,-0.24096791875173604,r2100000.trees
2224.0,2256.0,100,-0.5642406976208322,r2100000.trees
1105.0,1214.0,100,-0.8831462701090731,r2100000.trees
5082.0,5368.0,100,0.7799899877724886,r2100001.trees
7598.0,7694.0,100,-0.16392032522507954,r2100001.trees
5368.0,5734.0,100,-0.12063976406915666,r2100001.trees
5734.0,6483.0,100,-0.12231742397136852,r2100001.trees
6483.0,7265.0,100,-0.12231742397137035,r2100001.trees
7265.0,7547.0,100,-0.13827006151659832,r2100001.trees
7547.0,7598.0,100,-0.16636004203104376,r2100001.trees
7694.0,7872.0,100,1.05260903341783,r2100001.trees
8944.0,9040.0,100,0.9463526201284898,r2100001.trees
8448.0,8653.0,100,1.0446950093093097,r2100001.trees
8653.0,8944.0,100,0.9510620115419477,r2100001.trees
9040.0,9241.0,100,0.5453515793753226,r2100001.trees
9241.0,9806.0,100,0.5453515793753226,r2100001.trees
9806.0,9822.0,100,0.5508544960246687,r2100001.trees
9822.0,10001.0,100,0.5508544960246687,r2100001.trees
5077.0,5082.0,100,0.4998548244247015,r2100001.trees
7872.0,8448.0,100,1.0079258413306835,r2100001.trees
5045.0,5077.0,100,0.5727122769311661,r2100001.trees
4124.0,4143.0,100,0.5308033349824594,r2100001.trees
4677.0,4755.0,100,0.5550859035270795,r2100001.trees
0.0,1171.0,100,0.5798900752002359,r2100001.trees
1171.0,1174.0,100,0.5546562134318708,r2100001.trees
4755.0,5045.0,100,0.5391906265933818,r2100001.trees
1303.0,1476.0,100,0.5373268881126806,r2100001.trees
1476.0,2316.0,100,0.49758609217703104,r2100001.trees
2316.0,2394.0,100,0.8741972068879262,r2100001.trees
2394.0,2398.0,100,0.9593052203556418,r2100001.trees
2398.0,2731.0,100,0.8759257406763699,r2100001.trees
1174.0,1303.0,100,0.5510739628279632,r2100001.trees
2838.0,3042.0,100,0.7048816874614833,r2100001.trees
3042.0,3526.0,100,0.6902630869217724,r2100001.trees
3526.0,3680.0,100,0.7099602364078268,r2100001.trees
3680.0,3686.0,100,0.7865797489440653,r2100001.trees
3686.0,4124.0,100,0.884741391101296,r2100001.trees
4143.0,4317.0,100,0.5126219471439148,r2100001.trees
4317.0,4677.0,100,0.5550859035270803,r2100001.trees
2731.0,2838.0,100,0.8113456086524655,r2100001.trees
4211.0,4229.0,100,-0.16506433115680474,r2100002.trees
4229.0,5094.0,100,-0.17171683946045238,r2100002.trees
5094.0,7050.0,100,-0.17171683946045066,r2100002.trees
7050.0,7262.0,100,-0.09596513591897202,r2100002.trees
7262.0,7386.0,100,-0.08842970006965788,r2100002.trees
9650.0,9651.0,100,-0.2608127205073834,r2100002.trees
8018.0,9587.0,100,0.05277177443488352,r2100002.trees
9587.0,9650.0,100,-0.21668529568044181,r2100002.trees
9651.0,9845.0,100,-0.2801025919063703,r2100002.trees
9845.0,10001.0,100,-0.49489087978115714,r2100002.trees
4197.0,4211.0,100,-0.19890786462171567,r2100002.trees
7386.0,8018.0,100,-0.10485199450327913,r2100002.trees
3877.0,4197.0,100,-0.22296399559530142,r2100002.trees
1970.0,2887.0,100,0.06822837628405705,r2100002.trees
3362.0,3601.0,100,0.043027940251853296,r2100002.trees
0.0,563.0,100,0.37133038710390376,r2100002.trees
563.0,804.0,100,0.21792891497431807,r2100002.trees
804.0,1320.0,100,0.18970912882852256,r2100002.trees
1320.0,1586.0,100,0.18970912882851912,r2100002.trees
1586.0,1680.0,100,0.1751216520845935,r2100002.trees
3601.0,3877.0,100,-0.08443699059936549,r2100002.trees
1769.0,1830.0,100,-0.6566787126935062,r2100002.trees
1830.0,1970.0,100,0.03872808963278373,r2100002.trees
2887.0,2938.0,100,0.07264677494530511,r2100002.trees
2938.0,3362.0,100,0.07264677494530511,r2100002.trees
1680.0,1769.0,100,0.26132556521618244,r2100002.trees
5677.0,5762.0,100,0.4550864810505621,r2100003.trees
5762.0,6443.0,100,0.4018588757892559,r2100003.trees
6443.0,6775.0,100,0.38084713062206704,r2100003.trees
6775.0,7120.0,100,0.38084713062206704,r2100003.trees
7120.0,7466.0,100,0.34216433072427793,r2100003.trees
7466.0,7867.0,100,0.3421643307242809,r2100003.trees
7867.0,8068.0,100,0.11454585010241246,r2100003.trees
8799.0,8964.0,100,0.10505989202580047,r2100003.trees
8172.0,8799.0,100,0.05023263412889532,r2100003.trees
8964.0,9075.0,100,0.10505989202580047,r2100003.trees
9075.0,9108.0,100,0.12238944052925176,r2100003.trees
5032.0,5677.0,100,0.5018273762536019,r2100003.trees
9433.0,9919.0,100,0.3971677784122442,r2100003.trees
