#/home/enes/bim/BIM.py trees/r3090080.trees,trees/r3090081.trees,trees/r3090082.trees,trees/r3090083.trees,trees/r3090084.trees,trees/r3090085.trees,trees/r3090086.trees,trees/r3090087.trees,trees/r3090088.trees,trees/r3090089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/626801913.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FayH,ZngE,FerL,bsfs,TajD,btree,Colless,path
0,100001.0,50,475,0.387728630267649,-0.08944753972729826,0.38322666511653536,-0.5965957798189063,-0.7940368918555815,-0.27049990586160233,-0.5321801220131845,0.14038828091623123,r3090080.trees
0,100001.0,50,357,1.2703633389052489,-0.06113007562829918,-0.44825374132011647,-0.0014231603494330352,-1.9011984440989147,-0.8719273255369018,-0.9515098083794277,0.17647968278220372,r3090081.trees
0,100001.0,50,444,0.17738985892696738,-0.11936011746871844,0.48178858116006346,-0.7787783759463043,-1.226925177079083,-0.3888860280378463,-1.3563226417097607,0.18122986036519864,r3090082.trees
0,100001.0,50,351,1.6853050895674027,0.01465636314629259,-0.4989050693953044,0.34633337656499,-0.561415980963282,-0.3791824103766749,-0.48726786000372124,0.131811057756436,r3090083.trees
0,100001.0,50,419,0.10153675010536747,-0.08662640821644398,0.2956462593818025,-0.534095176565003,-0.914299775299989,-0.33407299218063835,-0.4546696133092798,0.14464733261725737,r3090084.trees
0,100001.0,50,456,0.5410249326547255,-0.1613498690356575,0.5805913439894277,-1.0126800739780693,-1.7609962623547888,-0.5944388206798377,-1.149599395089797,0.18677563618039797,r3090085.trees
0,100001.0,50,423,-0.07061398163692716,-0.026169807797143663,0.42388793414518733,-0.352197556930157,0.059331947542026434,0.22292275214696808,-0.005646299932272015,0.1174715959682302,r3090086.trees
0,100001.0,50,441,1.1080643109765653,-0.05481063948692586,0.24386187078435267,-0.37049878202358716,-1.0497500219177731,-0.15665579597023163,-0.45161017558772026,0.1259525444793301,r3090087.trees
0,100001.0,50,393,0.3635816565778786,-0.029716807318195194,0.23086452497545729,-0.256941207188303,-0.2519576162315286,0.010971656789158766,0.10984681068235475,0.12642349757582597,r3090088.trees
0,100001.0,50,286,0.6937074598509141,-0.07291701576402325,0.07607836609441156,-0.3488382120267333,-0.7666927146813377,-0.4463614574337401,-0.6323253061889412,0.13442978817543275,r3090089.trees
