#/home/enes/bim/BIM.py trees/r3050010.trees,trees/r3050011.trees,trees/r3050012.trees,trees/r3050013.trees,trees/r3050014.trees,trees/r3050015.trees,trees/r3050016.trees,trees/r3050017.trees,trees/r3050018.trees,trees/r3050019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/519579572.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FayH,bsfs,ZngE,FerL,TajD,Colless,btree,path
0,100001.0,50,318,-0.12454291178214705,-0.010209197136482072,0.29253712414980076,0.33765636504042107,-0.2355839248201592,0.25504859756897696,0.15025668652554183,-0.09423687130014778,r3050010.trees
0,100001.0,50,505,0.34520420120128015,-0.051909375498148495,-0.09619321828602372,0.4564350970735972,-0.47983238249114946,0.0689161571885427,0.1768482723485868,-0.8368751674503403,r3050011.trees
0,100001.0,50,401,0.8815211954165334,-0.1448666478862978,-2.354148228299365,0.5662423774191635,-0.9337467091791546,-0.4885399319023853,0.14352059505120737,-0.9679155801416861,r3050012.trees
0,100001.0,50,540,-0.7696100083103568,-0.1084564622259461,-0.7586890076964081,0.6233014489326073,-0.8145257856525139,-0.17588908885047766,0.12336985485438418,-0.5588265390132511,r3050013.trees
0,100001.0,50,441,0.26818111912892784,-0.047681734015798755,-0.556028792976157,-0.0700426055946636,-0.1613720232464453,-0.4093200848352861,0.15425835138524668,-1.1791959516949733,r3050014.trees
0,100001.0,50,397,0.8489132151037414,-0.06891479531523362,-0.6985143848592378,0.5392886895077034,-0.5981275462003095,0.029126223886721748,0.140281403258978,-0.5446007159003858,r3050015.trees
0,100001.0,50,385,-0.6755856840690125,0.008316266184405067,0.7544169140766862,0.6867262052203832,-0.35673805330670794,0.7249539713342845,0.11436362254398962,0.4438901801425889,r3050016.trees
0,100001.0,50,349,-0.15128965646435394,-0.014372683904961863,-0.11579174212981362,0.04824392282862875,-0.08797546205280064,-0.055962345606555226,0.14412976074783657,-0.3582764568225295,r3050017.trees
0,100001.0,50,545,0.703970682805376,0.00790451876414822,-0.00951385696826351,0.03824976309942741,0.011663371158007625,0.09363305172185929,0.14648166959091327,-0.39928223796282414,r3050018.trees
0,100001.0,50,344,0.10930439225960992,-0.15192651625436754,-1.4621353415292881,0.6878085508063648,-1.0312705489795302,-0.4187517803304342,0.18844123856439107,-1.482627253641131,r3050019.trees
