#/home/enes/bim/BIM.py trees/r8030000.trees,trees/r8030001.trees,trees/r8030002.trees,trees/r8030003.trees,trees/r8030004.trees,trees/r8030005.trees,trees/r8030006.trees,trees/r8030007.trees,trees/r8030008.trees,trees/r8030009.trees,trees/r8030010.trees,trees/r8030011.trees,trees/r8030012.trees,trees/r8030013.trees,trees/r8030014.trees,trees/r8030015.trees,trees/r8030016.trees 250 --stats=all --eta=etas/BC.json --out=outs/251491889.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,ZngE,FerL,FayH,bsfs,FulD,Colless,btree,path
0,10001.0,250,29,1.603253227401348,1.2275722355861414,-0.6823838397432048,0.02669841653400045,4.093409584306805,1.2921088372533065,0.03924916254881276,-0.21992962028680246,r8030000.trees
0,10001.0,250,47,2.9913187030543886,2.492726899033438,-1.4799815366779108,0.020387546923086308,3.871322646266542,-0.6352593633139793,0.04030638683767328,-0.5608396249427853,r8030001.trees
0,10001.0,250,61,3.688140443358775,3.1149001521810353,-1.8512068150416614,0.023281270558347514,5.453983970535073,-0.8783255172342778,0.02561565911740805,0.6957573986090128,r8030002.trees
0,10001.0,250,56,2.1707749396773255,1.5737535870395019,-0.7720364242015254,0.0597573277835964,4.214538766594417,-1.9597709246107355,0.032993263376084984,0.24105933398799384,r8030003.trees
0,10001.0,250,40,1.9780745024758952,1.539584411507906,-0.8526986518815133,0.03196773411222361,5.579289175825317,3.213909545879496,0.04376214535561602,-0.6113348217061108,r8030004.trees
0,10001.0,250,38,2.589477393499018,2.0754230122508837,-1.1948754415726108,0.029585077164705077,5.678246005656935,-0.5557345895892075,0.03764412488664335,-0.393521962460858,r8030005.trees
0,10001.0,250,46,1.917475942932797,1.5109922383049732,-0.8419138343444702,0.02897584836152823,5.715854364951966,0.935252864231303,0.03093017230211167,0.1457547789589812,r8030006.trees
0,10001.0,250,35,2.5955810856685178,2.0562184580013434,-1.174399105966573,0.032880828874718916,5.468794677949134,-0.8457761464846305,0.033451423560245955,0.009176407543709426,r8030007.trees
0,10001.0,250,35,0.6171241027188928,0.2405317309580083,0.0299019691316282,0.05608561234092685,3.9188310797288466,1.1018165758927019,0.04233709029667056,-0.45850529488135894,r8030008.trees
0,10001.0,250,34,2.6765858893431154,2.2078822697030978,-1.3224632950531354,0.016289293264110296,5.74955681848182,0.21328097326921475,0.02832836723237034,0.4428883776862247,r8030009.trees
0,10001.0,250,61,3.2496860127814973,2.7620484231073084,-1.6527787759063175,0.01737843212964396,6.091757922605538,-0.5854422861640384,0.028758042924385715,0.37260273825908813,r8030010.trees
0,10001.0,250,44,2.7210142400692283,2.2084440771415355,-1.2779937740197165,0.02841758922728727,6.013563788084101,-0.4800367561914219,0.026126684155978755,0.5452380227668473,r8030011.trees
0,10001.0,250,53,2.961603038791748,2.42072472598038,-1.3970152606892983,0.03100446387836123,5.6743938870243555,-1.5644675274987265,0.033096543881619665,0.1119101836600719,r8030012.trees
0,10001.0,250,60,3.6542338995280863,3.1652550243643947,-1.933627695782804,0.008520734133679759,6.29535953937056,-0.5457847914978807,0.04377880184331797,-0.6731442357704999,r8030013.trees
0,10001.0,250,55,3.256155959567992,2.657478056307637,-1.527882004447761,0.03546889689387051,5.564493154141363,-1.6174449469784478,0.036264007643477134,-0.28386785231545564,r8030014.trees
0,10001.0,250,38,2.339209995691969,1.9346659118235516,-1.153817215964977,0.015257803252420078,4.606653604852284,-0.10348350060033158,0.0309544630133437,0.253797294845865,r8030015.trees
0,10001.0,250,50,3.3830568154042733,2.752163385269415,-1.5848393857361356,0.03670953973228118,5.428964588521341,-1.4777107260146094,0.033437899061684526,-0.24121927869947718,r8030016.trees
