start,end,N,SS,FerL,bsfs,ZngE,FulD,TajD,FayH,Colless,btree,path,iColless,ibtree
0,100001.0,50,423,0.219587435829026,-0.1267075940798494,-0.3335472173839098,-0.035597670517512316,-0.2730797217665729,0.00695360054646496,0.18163722888258446,-1.352284201430313,9050000,0.20881648113790965,-1.6365413065274987
0,100001.0,50,485,-0.038041994734485635,0.4117244861993377,0.14450454662137047,-0.11604400468706645,0.21489033595696427,0.01049156431941227,0.14793893747975384,-0.4801152352423818,9050001,0.15612244897959185,-0.6040024284467378
0,100001.0,50,403,-0.4694630720525546,-3.6667234106258566,-0.07587358809292072,1.5222170271782478,-0.944041204261187,-0.12161264151416905,0.17467601565765986,-1.1435039982900292,9050002,0.1995013914656772,-1.7135753471284736
0,100001.0,50,457,-0.2410360879519162,-0.10436582197096354,0.25512284375520555,0.4677893296118675,0.08471630336432105,-0.022617379582804586,0.15068315461777929,-0.5557775126064246,9050003,0.1648464073129252,-0.8932501699991648
0,100001.0,50,410,-0.2881907188360458,-0.4840216511459721,0.1642523733499431,0.8983977616805212,-0.1711284435786545,-0.046118401379960136,0.13342180306466034,-0.2762199692709754,9050004,0.16335978835978834,-0.9270617073941344
0,100001.0,50,378,-0.8721098244936858,-2.7659703256189783,0.30281732600725936,1.0174977915865475,-0.8945723422950592,-0.16604975396954127,0.22122543461829186,-1.9469685024619063,9050005,0.2177086024283131,-2.2827373881533233
0,100001.0,50,453,0.04663654367952545,-0.502047218610609,-0.16392689936288488,0.9916335779933602,-0.2380367720994644,-0.011091848477022423,0.1503759398496242,-0.6127162886782371,9050006,0.1740217454503169,-1.259350876989068
0,100001.0,50,462,-0.07533340671336386,-0.9742969581875264,-0.12153539131908105,1.6139450494752183,-0.36284313000388013,-0.03423458869255715,0.13871173469387765,-0.381246420246204,9050007,0.1298708803909913,-0.3327968486399527
0,100001.0,50,415,-0.2076678367186627,-0.5022974581916994,0.14165500825917593,0.4911088017050709,-0.07819646685243208,-0.030076365336727962,0.14956538170823894,-0.7240054506705134,9050008,0.1828076685219542,-1.4290223814463878
0,100001.0,50,430,-1.2134137448263378,-1.1861510969511715,0.9377711538972135,0.5314743434147898,-0.2438256546608585,-0.160773962997899,0.1987468171626192,-1.5162779227896337,9050009,0.189124149659864,-1.4367334081926628
0,100001.0,50,522,-0.468172072856121,0.3922987418934542,0.6385237184452245,-0.028989754692498808,0.4404219043225659,-0.02460413912667936,0.15772291059280855,-0.6545088709243082,9050010,0.15345939963286895,-0.5666679427762953
0,100001.0,50,460,0.014968740224208172,0.3840889682733414,0.1571801413372866,0.3466285738181397,0.32942950523305314,0.024760002353786892,0.11504362614611058,0.38083483896858333,9050011,0.11777777777777775,0.20124028258388574
0,100001.0,50,391,-0.4129627160303514,-0.11755574186764225,0.33952326676548994,-0.07210092474901192,-0.043448337905916665,-0.052033212413156914,0.1409209837781266,-0.29884365059937823,9050012,0.16101190476190474,-0.9082755942583582
0,100001.0,50,501,0.13285572674589524,0.44039171109876296,-0.002685196421201673,-0.8686259636071302,0.21998825146299766,0.031048130013158818,0.1011219653738272,0.6380304589243044,9050013,0.11067361727299617,0.2526831448622718
0,100001.0,50,317,0.11160647908989436,1.566053304370694,0.2465009223266107,1.0512188506362583,0.6688406761719505,0.06010591890211706,0.13473473805106453,-0.2027661636331122,9050014,0.1266794217687075,-0.04380107075373784
0,100001.0,50,483,0.20217452239795308,0.8379877225211718,0.04842025729267832,-0.3790845404430461,0.4363769739177498,0.05435303335613431,0.11026709791059276,0.5113265426982104,9050015,0.12862682951968668,0.07611679986804425
0,100001.0,50,500,-0.3366126575268249,0.39010388707485055,0.4737424763191114,0.9449649210310448,0.34513739711879465,-0.01572058736565868,0.15567893824196344,-0.683245750478477,9050016,0.14521240150736547,-0.4788680489906392
0,100001.0,50,417,0.09819823520450002,-1.9605193671933068,-0.44282346483264623,1.8226281516263139,-0.6907624933998313,-0.03659698888190626,0.1602002382874054,-0.5735007584070603,9050017,0.17678044669195114,-1.1810642387219934
0,100001.0,50,359,0.6050289615052566,-0.8669564669165097,-0.868853693595378,1.4098736666280782,-0.656911188757308,0.025967777150756342,0.17370129870129875,-1.1877080124948889,9050018,0.1624592545351473,-0.8455781838422006
0,100001.0,50,391,0.3153085999598237,0.12571208549139967,-0.3695242498358341,0.4579873863179559,-0.18052948423722887,0.024798697350294392,0.1315341926244182,0.049839608023923794,9050019,0.13342696629213482,-0.30543679967536114
0,100001.0,50,466,-0.4514525457930083,-0.9153180492877792,0.13817675948276914,0.013552921443034351,-0.4983303189764159,-0.08819148654028365,0.14386010814582234,-0.5162383482526589,9050020,0.1733780288975093,-1.0418912306604786
0,100001.0,50,445,-0.4353531529024222,-0.14505428305647708,0.33331265800022475,0.8354948150986506,-0.09358728746766627,-0.05808124906807801,0.14893533944189913,-0.3438083290587094,9050021,0.19534699844850215,-1.5279202668498435
0,100001.0,50,468,0.15957282951374802,0.5595490345403356,-0.07478525580085525,-0.12725245387826958,0.12595980575994656,0.027669665841677297,0.1220888355342137,0.14739018335037504,9050022,0.12015226651408227,0.11560421220898735
0,100001.0,50,410,-1.0775282564090711,-1.1316544262607418,0.7298601561950986,-0.004594547642177872,-0.4157103605037741,-0.15678114875266316,0.15646764658244255,-0.7061470790021029,9050023,0.17468766352694914,-1.2177962400754652
0,100001.0,50,397,-0.01722431462113255,0.26405855520866445,0.05370323029810202,-0.4191124908489781,0.07479341617793626,0.0031815989936918145,0.12508196049504142,-0.1532749037504187,9050024,0.15168995526138385,-0.7713564271667857
0,100001.0,50,465,-0.14756077641291135,0.33413520979889993,0.17605981365021253,-0.9992024984423168,0.0902871821608507,-0.011161130786203531,0.0933618860388192,1.0023687469226832,9050025,0.11117897863370693,0.5388613386028721
0,100001.0,50,444,0.27827308330869005,1.2000992422926269,-0.02077882422808436,-0.2230457548108988,0.4318707775350728,0.06309491108197328,0.10381921585838642,0.8774937528413798,9050026,0.10899514844697572,0.4130465705216016
0,100001.0,50,443,0.025615999211138173,0.1295754373542118,-0.023018330151912462,0.08488783151672154,-0.0010850812916446298,0.0029575876378680607,0.12431376059195608,0.1150835088259597,9050027,0.14910106899902814,-0.5512503409881009
0,100001.0,50,411,0.7439205877206094,0.9841030179797824,-0.7215506634801081,0.34773149877651605,-0.1345137624772835,0.07879944844175546,0.10967597565341934,0.494316711141095,9050028,0.12856363919613642,-0.002635189435542355
0,100001.0,50,397,-0.6917712986243231,0.004930742998916854,0.8543692221016355,0.14031061471839745,0.4805311972879458,-0.04848961033166668,0.11241496598639457,0.4422727491372175,9050029,0.1160436137071652,0.29306424352143706
0,100001.0,50,405,0.0611173679331763,0.10925910634757366,-0.11232037468614006,0.9134891173765456,-0.11379161142583252,-0.0007004517055581629,0.19534545661840166,-1.7564479399326427,9050030,0.20260385707681133,-1.964715262322984
