#/home/enes/bim/BIM.py trees/ir8030138.trees,trees/ir8030139.trees,trees/ir8030140.trees,trees/ir8030141.trees,trees/ir8030142.trees,trees/ir8030143.trees,trees/ir8030144.trees,trees/ir8030145.trees,trees/ir8030146.trees,trees/ir8030147.trees,trees/ir8030148.trees,trees/ir8030149.trees,trees/ir8030150.trees,trees/ir8030151.trees,trees/ir8030152.trees,trees/ir8030153.trees 250 --stats=all --eta=etas/BC.json --out=outs/256895565.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,FerL,FayH,TajD,ZngE,Colless,btree,path
0,10001.0,250,44,5.530532561157681,-0.4800367561914219,-1.5363039764584643,0.022111299417681224,3.122705627472127,2.5905103541529266,0.03410415856976293,-0.20801164369303893,ir8030138.trees
0,10001.0,250,48,6.036337544348218,-1.048702877069264,-1.4020640368226986,0.031119405855211814,2.9786433679659865,2.4258823713402418,0.05104288120222827,-0.9119763646985618,ir8030139.trees
0,10001.0,250,36,4.317429771704064,-1.8520718030197612,-1.7946791883139601,0.010118029061651468,3.480897457615695,2.9366136847392554,0.036015027853348876,-0.17174135031883683,ir8030140.trees
0,10001.0,250,47,3.7454482522725554,-0.6352593633139789,-2.2857515969578848,-0.017087627089045935,4.018376055573144,3.5881946996443648,0.054897007384376216,-1.526336130935777,ir8030141.trees
0,10001.0,250,35,5.513198702578984,0.6149183952983692,-0.8391860999096922,0.02514937664367268,1.874565052197886,1.4778140989709176,0.031513149371680274,0.152802830696548,ir8030142.trees
0,10001.0,250,68,1.6816204565155035,-2.4197128608133522,-1.081646793966898,0.1034378067200795,3.295246472291299,2.3280377238537393,0.05275402686012869,-1.33909542256514,ir8030143.trees
0,10001.0,250,70,5.397251237264811,-0.3795086297446812,-1.402766164886966,0.011450105124729888,2.7064794920131097,2.328491624872087,0.055803860603705145,-1.2352211983331185,ir8030144.trees
0,10001.0,250,29,5.428505690635251,-2.158993785550444,-1.859466258006191,0.028799710012096,3.853926531465025,3.126666181377419,0.037861121906982764,-0.6801578294953579,ir8030145.trees
0,10001.0,250,38,5.303201300842299,-1.0079856785780834,-1.3362368267437,0.016898220955132347,2.6996886227353434,2.236511693851053,0.04589325042103899,-0.7455861704235387,ir8030146.trees
0,10001.0,250,50,4.997866373624155,-2.182084515703828,-1.6429673008483483,0.027652993547463398,3.3775802384691795,2.796588101785209,0.06163363129939112,-2.2201028555790083,ir8030147.trees
0,10001.0,250,45,4.771777574048804,-0.14595048040918826,-1.4488672868203232,-0.008262644384224782,2.584015044261584,2.287896273950228,0.030573908537375308,0.2591437745146049,ir8030148.trees
0,10001.0,250,60,3.9964640431418146,-0.8432189439040395,-0.6395142079613945,0.09829685803825274,2.415589081324666,1.5774244044886252,0.03436325948957118,-0.11185013915893585,ir8030149.trees
0,10001.0,250,56,4.196926941128658,-0.37401914196813846,-1.6258942578744668,0.021163850995340464,3.2553323580928293,2.73730390362781,0.0379906723668869,-0.3148884755466512,ir8030150.trees
0,10001.0,250,51,6.0602083404422045,-0.4702188642782444,-1.3454393904245883,0.015200395503269246,2.6716838398498948,2.250184885271386,0.03653322969296541,-0.3430003897676779,ir8030151.trees
0,10001.0,250,33,5.388449581689333,0.8162655202463411,-1.3160199689139118,0.008295485557577848,2.5719971758383986,2.15591220205683,0.031286436066848035,0.02674267016124381,ir8030152.trees
0,10001.0,250,64,1.58671585777585,0.1426361536594901,0.31440202150313756,0.20355150352747947,2.0100599204272247,0.6322025690672044,0.03897309668782657,-0.3037772142288199,ir8030153.trees
