#/home/enes/bim/BIM.py trees/r8120000.trees,trees/r8120001.trees,trees/r8120002.trees,trees/r8120003.trees,trees/r8120004.trees,trees/r8120005.trees,trees/r8120006.trees,trees/r8120007.trees,trees/r8120008.trees,trees/r8120009.trees,trees/r8120010.trees,trees/r8120011.trees,trees/r8120012.trees,trees/r8120013.trees,trees/r8120014.trees,trees/r8120015.trees,trees/r8120016.trees 250 --stats=all --eta=etas/BC.json --out=outs/526785819.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,ZngE,bsfs,TajD,FayH,FulD,Colless,btree,path
0,10001.0,250,82,-2.1525036393985584,3.413031444318644,3.8702898922367335,3.768017897416644,-0.011049575932880328,-1.206280234145629,0.045873008161678976,-1.1941359655463608,r8120000.trees
0,10001.0,250,97,-2.4332563148641375,3.942445333490464,5.394846378814648,4.4235054156468046,0.0016688406039628853,-1.3035275694393582,0.03720411600318324,-0.5357404958720045,r8120001.trees
0,10001.0,250,61,-1.6394116406351122,2.809647190079131,5.352621338852276,3.382403284781967,0.029799669468029172,-1.4640919793747555,0.038055447596838966,-0.4926685718059243,r8120002.trees
0,10001.0,250,71,-2.3060249666038297,3.7728119752486737,6.5202226005415,4.32228226366364,0.009024072161435725,-1.1782046641698627,0.026537233979907895,0.5929834788432372,r8120003.trees
0,10001.0,250,92,-2.370818480628494,3.956166900253012,7.058121420595113,4.575047879256349,0.02161370776525041,-2.996632158615613,0.030529743607862536,-0.0497662412544194,r8120004.trees
0,10001.0,250,93,-2.2863735870192703,3.8513883418147494,6.856654392464068,4.491498497883436,0.0270290775133656,-2.4081063565224,0.02776158397028976,0.49969933618218393,r8120005.trees
0,10001.0,250,88,-2.6191285743765422,4.3119519489314895,7.075752685131771,4.930333674556964,0.013958594679358342,-2.368419960567104,0.02831140229119242,0.5188405481894336,r8120006.trees
0,10001.0,250,78,-2.732759769433596,4.464591725545471,6.96126840488044,5.089027709745487,0.009119317834007103,-2.274670401583643,0.03820350526530084,-0.43805111132792085,r8120007.trees
0,10001.0,250,52,-1.9432153590002852,3.217349484072765,5.044681171637035,3.780450507183982,0.015862499353441188,-1.196896856418994,0.028387744526493067,0.3345068622791083,r8120008.trees
0,10001.0,250,86,-1.5856967017944887,2.7993031970194178,6.313088650933926,3.411306850241445,0.041276719640853284,-1.2918624976570439,0.03307423241352507,0.16390054028523995,r8120009.trees
0,10001.0,250,60,-1.9341747640736673,3.2083112779456826,5.006035592267671,3.7511807100071377,0.016110174401790606,-2.032955553528674,0.029768266614846484,0.2520982803144453,r8120010.trees
0,10001.0,250,83,-2.0446637671839323,3.3840493018977655,6.878839239770459,3.8970310738669345,0.014213284750286019,-1.228409136483762,0.03241411393374083,0.152742221695342,r8120011.trees
0,10001.0,250,105,-2.1109617546511714,3.6367443235171915,5.351604018690954,4.311701897389562,0.03825402477750633,-2.31349685637062,0.03313253012048192,0.1556472144963516,r8120012.trees
0,10001.0,250,64,-1.7907865892078503,3.120056848542137,6.214236158824623,3.802727716284851,0.04134892254610795,-1.537551301806009,0.03397460810985879,0.08221951658187353,r8120013.trees
0,10001.0,250,67,-2.1912314619364275,3.616605216397889,6.3434415250744225,4.188491717172948,0.0144338944896967,-0.531800272367815,0.029006347972535308,0.49450436488666033,r8120014.trees
0,10001.0,250,58,-2.7777316796106217,4.346510258820576,3.5691563128090715,4.800796224571396,-0.02377896451250085,-2.3045064844089733,0.030525327114911256,0.3993700075807338,r8120015.trees
0,10001.0,250,57,-2.061298065783724,3.371967738933505,3.8619095963707704,3.8994589929190786,0.008902928173608387,-1.9789574318189578,0.029931554173683983,0.5160308455820182,r8120016.trees
