start,end,N,SS,TajD,FayH,bsfs,ZngE,FulD,FerL,btree,Colless,path,iColless,ibtree
0,100001.0,50,431,0.031887110146392984,-0.047167405934097136,-0.07015604385836527,0.3819925042677561,-0.9209388989303249,-0.4169487674988192,0.0442053007707581,0.12889701335079498,9070028,0.14259549973835686,-0.3685766769917423
0,100001.0,50,446,0.2660771721539021,0.008684303759480755,0.2904179690730747,0.2107197575049321,0.8594693425297015,-0.08350340645009595,-0.30010368963047784,0.13945161397892505,9070029,0.13010868409863946,-0.21636480257041496
0,100001.0,50,469,-0.07152741117338399,-0.01953981496379437,-0.4006923002218721,0.07083279139557891,1.3828194812529488,-0.12296622530804878,-0.9727035805389854,0.16593558154969296,9070030,0.17690058479532164,-1.2694974432454624
0,100001.0,50,420,0.2268029776101764,0.0025408163546509783,0.19077624006594326,0.21548866837205624,-0.2591906865718177,-0.11219155213089033,0.1727813936315646,0.12404819882498455,9070031,0.13610884353741498,-0.17859544359494162
0,100001.0,50,475,0.4424939780745414,-0.03269956947830978,0.3254476525850326,0.7000222530344046,-0.04912053944779028,-0.5373908019515007,-0.6742325410145698,0.15430930436690826,9070032,0.2021140573017529,-1.8309678120282455
0,100001.0,50,380,-0.2840078645378689,-0.0744103845139589,-0.6629463874720302,0.2563186345308121,0.5274372645674565,-0.4596536290582503,-1.4378944842315502,0.17749139885839402,9070033,0.19196027467590812,-1.764336271272915
0,100001.0,50,391,-0.03902835956874017,0.03053409792173136,0.3712142306824577,-0.26583901118772124,0.6851680910609419,0.2803282808461636,-0.8117447754542514,0.1590342197485054,9070034,0.18249109167476515,-1.4582382965874976
0,100001.0,50,452,-1.0204858500769225,-0.1686213595306401,-3.928639533448147,0.1938953057894832,1.5256189511514695,-0.8227799810982159,-2.5847460458374143,0.2824981477739611,9070035,0.3160980810234543,-3.0404395078537947
0,100001.0,50,434,-0.5897607456968846,-0.2289529046661877,-1.8436308565741188,1.0850659033334509,0.4621239960719957,-1.5852995537987538,-2.3777322813278245,0.24229242979242985,9070036,0.2500080220767554,-2.6713570531846385
0,100001.0,50,463,-0.22040042671116075,0.024344147294550884,-0.02687151213672444,-0.4082606796024936,1.0272240622072597,0.33567571566487103,0.3666098176680551,0.11330063426336713,9070037,0.12999088524298608,-0.19617118664052507
0,100001.0,50,537,0.06862444553642663,-0.08164471765535809,-0.2258440129518193,0.6773177361059499,-0.2859679982318117,-0.7317867496408511,-0.5974299927388003,0.14756157092466618,9070038,0.1659065141207999,-1.0341761053055591
