#/home/enes/bim/BIM.py trees/r8020034.trees,trees/r8020035.trees,trees/r8020036.trees,trees/r8020037.trees,trees/r8020038.trees,trees/r8020039.trees,trees/r8020040.trees,trees/r8020041.trees,trees/r8020042.trees,trees/r8020043.trees,trees/r8020044.trees,trees/r8020045.trees,trees/r8020046.trees,trees/r8020047.trees,trees/r8020048.trees,trees/r8020049.trees,trees/r8020050.trees 250 --stats=all --eta=etas/BC.json --out=outs/778311465.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,ZngE,FayH,FulD,TajD,bsfs,Colless,btree,path
0,10001.0,250,55,0.013411077797339079,0.6015395993786553,0.11330901393941353,-0.9724529589850468,1.3979780777565785,1.685848216311104,0.03249213864254673,0.2925979015602509,r8020034.trees
0,10001.0,250,65,0.11272643582838482,0.44084918477012,0.111061606548462,-0.1806547087779381,1.2060320456144593,2.9135272420760874,0.027896100531156886,0.5498004482839278,r8020035.trees
0,10001.0,250,66,0.47829375096121607,-0.03547977881845809,0.13108281606524685,0.04938824319968458,0.7940957563724391,1.7647196825277853,0.02758499435530139,0.7654529337598779,r8020036.trees
0,10001.0,250,69,-0.10853251698386299,0.5638346205360228,0.06889161460437247,0.17999834453392097,1.0777810336394897,3.194885900125236,0.031342762353762876,0.19164115019653177,r8020037.trees
0,10001.0,250,61,-0.39566233001287665,0.8953489531688802,0.04621461562744645,0.0003241759764390662,1.3102485437706481,3.6689779464067915,0.033719317497694766,0.002937693587118734,r8020038.trees
0,10001.0,250,68,-0.3563027927861484,1.1736712082338514,0.10628183330730154,-1.361487796753514,2.006540839259199,2.6231059500094904,0.03330147092292448,0.102697800343697,r8020039.trees
0,10001.0,250,58,-0.01098456009096461,0.4131647848179631,0.07144640192670483,-1.3835811411032275,0.9210252842810152,1.1511296595365534,0.029034183814595788,0.4316188373153454,r8020040.trees
0,10001.0,250,67,0.29944350914115453,0.3846269817246339,0.15427087117094607,-0.8000623429111282,1.418579180399651,1.5989018018706684,0.03710096553195704,-0.16091505463003364,r8020041.trees
0,10001.0,250,78,-0.28911607031356745,1.0310666797487158,0.09881273056288423,-0.8799471540862626,1.7974659088565137,3.2260904122806315,0.026102393444746734,0.5020912060236442,r8020042.trees
0,10001.0,250,80,-0.4527224763900517,1.0369207372378035,0.05343487438511764,-0.47960882986711256,1.5116599837710445,1.1991996881134872,0.03052743935067057,0.35107551412683746,r8020043.trees
0,10001.0,250,56,0.626429983733973,-0.1927882563795998,0.1482117872660363,0.26028157108890027,0.7118934892158241,1.477540041117443,0.03667992653726862,0.07454740373868025,r8020044.trees
0,10001.0,250,74,-0.4587866465418585,1.061106452913879,0.05640997052215272,-1.7418860606699933,1.5594491237425825,0.9821803161511887,0.02785811176394381,0.37024994030825314,r8020045.trees
0,10001.0,250,53,-0.6543207145120331,1.2940683786255103,0.04379963055848955,-0.5632217466162421,1.7535993339791318,1.3730556654633024,0.04264860026616732,-0.46818006256496025,r8020046.trees
0,10001.0,250,86,-0.22649356366467596,0.8242051301841704,0.07956932648213848,0.615164487215373,1.440572739891344,2.2635387934766045,0.03529890169998992,-0.0240833156017342,r8020047.trees
0,10001.0,250,76,0.15089737634228365,0.5947861506759847,0.1471849652673743,-0.8237285078272153,1.6162060846536004,1.3248447573765214,0.02727989757893052,0.6253490639312558,r8020048.trees
0,10001.0,250,55,0.06503495101268711,0.7218097298612557,0.15030625883345725,-1.9399409409751478,1.7675248125962992,2.2805887605062902,0.035259032735355696,0.26148939794959203,r8020049.trees
0,10001.0,250,75,0.04202239062232877,0.41893942858851885,0.08556375641368742,0.4116127789052052,1.021832539632708,1.4430888997739784,0.0495443311708372,-1.086583014661498,r8020050.trees
