#/home/enes/bim/BIM.py trees/ir8010073.trees,trees/ir8010074.trees,trees/ir8010075.trees,trees/ir8010076.trees,trees/ir8010077.trees,trees/ir8010078.trees,trees/ir8010079.trees,trees/ir8010080.trees,trees/ir8010081.trees,trees/ir8010082.trees,trees/ir8010083.trees,trees/ir8010084.trees,trees/ir8010085.trees,trees/ir8010086.trees,trees/ir8010087.trees,trees/ir8010088.trees,trees/ir8010089.trees 250 --stats=all --eta=etas/BC.json --out=outs/947213248.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FulD,bsfs,ZngE,TajD,FayH,btree,Colless,path
0,10001.0,250,72,0.20714019164566272,0.04964656721315623,-0.17972047772294822,-0.21271769768631707,-0.10292712072581107,0.021462164506288985,-0.5461685414873879,0.04533382798054388,ir8010073.trees
0,10001.0,250,58,0.3124936819112695,0.45826954550826426,2.680494392698274,0.2053490635718152,1.041606095496609,0.1281185577444585,-1.0017363573532265,0.053773406280207686,ir8010074.trees
0,10001.0,250,70,-0.2565429892361737,-1.151841061261325,1.3099935048401894,0.7550995084153033,1.2396888977105232,0.06036480924676708,-0.1558593389168096,0.04024970851146522,ir8010075.trees
0,10001.0,250,71,-0.10591209237939833,-0.6701449632473336,1.6373347927118982,0.7023035061345825,1.3944709140742615,0.09390547490163716,-0.4913137469139782,0.04288351562933763,ir8010076.trees
0,10001.0,250,56,-0.6041490704243395,1.5288829972029774,1.567083145508616,1.100293573379768,1.3993429977637144,0.02295316723816905,-1.061075137599833,0.05140377176910406,ir8010077.trees
0,10001.0,250,58,0.2670866308388609,-0.7696309122327301,1.0400586651079131,0.19019583389761688,0.9237079262449153,0.11215536340988229,-0.8282022811613503,0.047052727037180976,ir8010078.trees
0,10001.0,250,81,0.08608049970303194,0.8349871259123534,1.4989857285665418,0.592303969771965,1.4895283444563105,0.12763230119913432,-0.91412711764191,0.047486132212132985,ir8010079.trees
0,10001.0,250,92,-0.7317610255414354,-0.8108030710186577,1.040284290760858,1.3903921022898806,1.7916790371398248,0.03590026830701587,-0.798262195185247,0.047374631766899294,ir8010080.trees
0,10001.0,250,76,-0.5817205821220647,-0.8237285078272152,0.9513386622476521,1.1640786098848974,1.5663547981596344,0.039483185527506535,-0.1520732502029517,0.03972880770393402,ir8010081.trees
0,10001.0,250,54,-0.06604640476848195,-0.6073324070137393,2.3308460633353487,0.6469184030733125,1.3564575258715232,0.09850187066634877,-0.497591891240909,0.044352525308607706,ir8010082.trees
0,10001.0,250,96,-0.8299387387155333,-0.9036244642055498,0.1851989405185068,1.096261643978166,0.9529923322212589,-0.042165309583476175,-0.5153287461204157,0.04355648400051821,ir8010083.trees
0,10001.0,250,57,-0.3398674523890197,-1.6669778810173417,1.8025430695396465,1.252627221351701,2.2310575075880266,0.12759271632498592,-0.7125114251479422,0.04764027647592267,ir8010084.trees
0,10001.0,250,65,-0.33990252193191667,-0.45664954981119843,2.937205084633533,0.9530383114745294,1.539655496185878,0.07218334976544856,-0.6079966418728054,0.04652605459057072,ir8010085.trees
0,10001.0,250,77,-0.18870491587111807,-0.38156557198144375,1.898561308635737,0.7429916055435188,1.3315719877628613,0.07685255083728582,-1.0991792216784366,0.05548229785501453,ir8010086.trees
0,10001.0,250,80,-0.3285991030018777,-0.7065563822737387,0.0955779140020644,0.7308934029960702,1.048271362066758,0.03498728179244109,-1.2606856687211638,0.04711750226713305,ir8010087.trees
0,10001.0,250,62,0.47228671583006276,0.8184438352044725,2.1208269948889744,-0.11680824099354609,0.5998926160817412,0.11561714548753234,-1.0635207232857975,0.05363793885218293,ir8010088.trees
0,10001.0,250,84,-0.34563523072339714,-1.9000875425877366,1.7306409164162642,0.9843908649586988,1.585465453495817,0.07412661410263602,-0.874007685118425,0.05044993871266704,ir8010089.trees
