start,end,N,SS,TajD,ZngE,FayH,FerL,bsfs,FulD,Colless,btree,path,iColless,ibtree
0,100001,50,424,-0.11397420623948515,0.4819074281222455,-0.08105591311190391,-0.6168913542028056,-0.43480476369983817,0.026589693404294828,0.15776975683890582,-0.6727597245867339,3050000,0.16144000703729766,-1.0852838845322401
0,100001,50,354,-0.27796933481010805,0.5158436082906999,-0.1088420107150984,-0.7522149684913022,-0.41923495935987626,0.13872774376006794,0.154311724689876,-0.8421640751153537,3050001,0.16863526232410767,-1.0559422511332317
0,100001,50,373,0.2671937979919985,0.19357263440339104,0.011119564948869235,-0.06361971460161712,0.6066619429630629,-0.1945631463854356,0.14736681189329662,-0.5281246339302784,3050002,0.1555383022774328,-0.6929212271604441
0,100001,50,480,0.07454744505859935,0.006134110707140271,0.009573927044373341,0.036973770876379125,0.36146563007990895,-0.42261120094241583,0.12720226339383664,0.08217850703136156,3050003,0.1333472164375954,-0.2703982641581183
0,100001,50,422,-0.5056537004751251,0.22056563420422495,-0.1004302162940889,-0.5495515186821449,-0.9062596834994164,0.4635026181909118,0.1350490196078431,-0.3528044023781187,3050004,0.1837762577558496,-1.289999267070959
0,100001,50,399,0.2721582892733773,0.2584587861762705,0.0030471322829363503,-0.1345922450247697,0.7878687927292738,0.3457706737754265,0.15030000764350698,-0.6916576283255319,3050005,0.16615805200584907,-1.0237927397824929
0,100001,50,400,0.009333674071945164,0.2579090999305127,-0.03359497637688826,-0.28874914238128724,0.19083535915547706,-0.3666375759151193,0.15136585884353745,-0.5074362224945032,3050006,0.15269350983636698,-0.6105511934098902
0,100001,50,417,0.06721521554395019,0.28864137976323656,-0.029640402590789313,-0.28967746029857355,0.20114972362546726,0.7215990617307365,0.13859134814146645,-0.3930663116418292,3050007,0.1848623708742756,-1.2871281224062885
0,100001,50,334,-0.009660534603965744,0.0925911798856843,-0.01392679740562888,-0.11136312600289977,0.14913740492203406,0.7422733871678362,0.15413313212608998,-0.6917732740817486,3050008,0.18107183349530287,-1.4358304964907012
0,100001,50,461,0.15772189511678358,0.4777615045602388,-0.04247597622964402,-0.4519106453404555,0.2274789742721369,-0.4327652201616158,0.145033701554016,-0.2844899353505149,3050009,0.14785688711574854,-0.3143208228273353
