#/home/enes/bim/BIM.py trees/ir3100000.trees,trees/ir3100001.trees,trees/ir3100002.trees,trees/ir3100003.trees,trees/ir3100004.trees,trees/ir3100005.trees,trees/ir3100006.trees,trees/ir3100007.trees,trees/ir3100008.trees,trees/ir3100009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/548715704.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FulD,FerL,TajD,FayH,bsfs,Colless,btree,path
0,100001.0,50,517,-0.07848690088173942,-0.4849740934070722,-0.05492556297823331,-0.24473174245331966,-0.02355578829987353,-0.38381299330775437,0.14107856883211306,-0.42150453633999363,ir3100000.trees
0,100001.0,50,434,0.23422439019195518,0.1890519306591473,-0.2479188984371568,0.032676376465585896,-0.02708530369220048,-0.07529061373448673,0.13155877104940333,-0.10773807916176334,ir3100001.trees
0,100001.0,50,443,-0.1372995496471883,-0.6843363089646173,0.26121807551470033,0.17746774492833617,0.043319511716505894,0.4769710239369482,0.11436759889140843,0.14947159328677478,ir3100002.trees
0,100001.0,50,482,-0.03659596148781017,-0.28077347409304626,-0.02450205728472427,-0.11229863448370288,-0.01073206130656585,-0.10939364646887847,0.1285542994176088,-0.24899259446441488,ir3100003.trees
0,100001.0,50,431,-0.7435612897861955,1.2100132621231694,0.4147000574453125,-0.7355642981656052,-0.002225173303203257,-1.3347038106225388,0.16363403768587081,-1.0790536833999187,ir3100004.trees
0,100001.0,50,420,-0.3866864380941564,-0.04760121661934437,0.4480476497780316,0.011758985699295583,0.05391998251357443,0.3971347501162312,0.12228997289972902,-0.38090230032870503,ir3100005.trees
0,100001.0,50,527,0.2333666141753437,-0.5664989152733415,0.06972000368607552,0.5689821022530503,0.04790812936002813,0.9550652650103908,0.12826130452180873,-0.043202651440408676,ir3100006.trees
0,100001.0,50,463,-0.25021017108336774,-0.6051732643373448,0.3907713269500612,0.17874325572654023,0.05871621625776788,0.8310342175537585,0.11604086078875994,0.2279784098122682,ir3100007.trees
0,100001.0,50,426,-0.03481326618853455,-0.23238932493237235,0.1648042747048112,0.21228453654004925,0.034348482748493926,0.35420552219742035,0.11961704324586976,0.12891621864303,ir3100008.trees
0,100001.0,50,482,0.11661366214381347,0.6725616524402265,0.02862699090630752,0.2740060640572848,0.022500901381651114,0.33482647084836586,0.14396258503401357,-0.4721280464788118,ir3100009.trees
