#/home/enes/bim/BIM.py trees/r8120153.trees,trees/r8120154.trees,trees/r8120155.trees,trees/r8120156.trees,trees/r8120157.trees,trees/r8120158.trees,trees/r8120159.trees,trees/r8120160.trees,trees/r8120161.trees,trees/r8120162.trees,trees/r8120163.trees,trees/r8120164.trees,trees/r8120165.trees,trees/r8120166.trees,trees/r8120167.trees,trees/r8120168.trees,trees/r8120169.trees 250 --stats=all --eta=etas/BC.json --out=outs/978064787.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,bsfs,TajD,FerL,ZngE,FulD,Colless,btree,path
0,10001.0,250,59,-0.018584328131192797,4.335090881261415,4.422997969419182,-2.5379786068861976,3.988938359317226,-1.4112634450763513,0.028347260007773028,0.4427566320052889,r8120153.trees
0,10001.0,250,81,-0.0008739335896338673,4.305162566586337,4.275690041610145,-2.35886365588702,3.8044716588411247,-1.632216248475105,0.0329058168156497,-0.06665395733545934,r8120154.trees
0,10001.0,250,64,-0.018756329125341562,3.567426882029526,4.324076163309532,-2.492779941600298,3.915971982573361,-1.8175825443835922,0.037135099537936686,-0.13950882363134473,r8120155.trees
0,10001.0,250,77,0.0031680862399871917,6.882135029999388,5.246517929162804,-2.8603912632252078,4.6363836058863654,-2.264034625106887,0.032096126441248866,0.14283059494058853,r8120156.trees
0,10001.0,250,82,0.024739570010760662,6.445185666651102,4.112917003366267,-2.0881202069144336,3.5143422239225584,-1.2062802341456293,0.028559398885866043,0.6506105795925838,r8120157.trees
0,10001.0,250,47,0.01975696435222041,6.090734314149218,4.387250031886805,-2.238518206328858,3.710636998404683,-2.126421453418877,0.023529602280088095,0.7961761509260259,r8120158.trees
0,10001.0,250,69,-0.014973925611328221,4.045303875731907,4.105574804299493,-2.3532668515636845,3.7129499262845034,-1.6466632487056758,0.024828345640627025,1.0098763217953755,r8120159.trees
0,10001.0,250,71,0.021039154665971792,5.427897350188191,4.905151205046503,-2.541278714043115,4.220481640351728,-2.4483539164761847,0.0386708122813836,-0.24840166556263035,r8120160.trees
0,10001.0,250,67,0.004942966304156749,6.476107690969964,5.167671976525727,-2.793198893672491,4.534456598522578,-2.4096347661710054,0.024096385542168672,0.45912916992532776,r8120161.trees
0,10001.0,250,67,0.01285658230834843,5.787374454297414,3.501861480645925,-1.8265167592478182,3.0192884620203717,-1.0683244134544412,0.03764250550589455,-0.4888932756143548,r8120162.trees
0,10001.0,250,64,0.00859901191773592,6.204049365039655,3.2539744446853485,-1.7182438842138694,2.8197302163983506,-0.4174263314956764,0.029321587424968695,0.5124820905885599,r8120163.trees
0,10001.0,250,72,-0.037800989003807337,3.9294992163894635,4.507614206952829,-2.737350119075594,4.203990561683363,-1.7052891449451395,0.03532409206719351,-0.011339471617323049,r8120164.trees
0,10001.0,250,64,0.010024152937380446,4.498911648596836,3.9974045364260165,-2.1145520995631744,3.4669687998633436,-2.3776450295387592,0.03559398885866045,-0.05378955046681242,r8120165.trees
0,10001.0,250,86,0.02011856020019156,6.81595817044278,3.607146012307754,-1.8445166055605202,3.09553002637599,-1.715646272073137,0.04112687308373278,-0.4874201736542862,r8120166.trees
0,10001.0,250,76,0.011956008075295786,5.760273904497094,3.750825466485282,-1.975806419406484,3.2579888771391405,-0.823728507827215,0.03633890400310921,-0.1897526875947849,r8120167.trees
0,10001.0,250,58,0.015403137144084481,6.22500648246824,4.290857547727699,-2.230977933340581,3.6819329002521646,-0.4626557977974813,0.04337781232456709,-0.6167488415847697,r8120168.trees
0,10001.0,250,69,0.01261791591594817,6.684603835119544,4.650617926165269,-2.458831721571438,4.0389759814678765,-2.1685665610598464,0.0375318478213931,-0.1757380754730741,r8120169.trees
