#/home/enes/bim/BIM.py trees/r8120017.trees,trees/r8120018.trees,trees/r8120019.trees,trees/r8120020.trees,trees/r8120021.trees,trees/r8120022.trees,trees/r8120023.trees,trees/r8120024.trees,trees/r8120025.trees,trees/r8120026.trees,trees/r8120027.trees,trees/r8120028.trees,trees/r8120029.trees,trees/r8120030.trees,trees/r8120031.trees,trees/r8120032.trees,trees/r8120033.trees 250 --stats=all --eta=etas/BC.json --out=outs/403885325.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,TajD,bsfs,ZngE,FulD,FerL,btree,Colless,path
0,10001.0,250,53,0.005938410245490773,4.3541790983709525,6.164215366834132,3.7759950043802033,-1.898216121126221,-2.323280675980013,-0.9248850718512882,0.04153711620676254,r8120017.trees
0,10001.0,250,70,0.019754861453043917,4.723981364739361,6.65785694954496,4.065531149141635,-1.6667293489390875,-2.4500501785757067,0.5637244462303173,0.028063868376732738,r8120018.trees
0,10001.0,250,80,0.007916780626816684,4.760207300510471,5.9288430301044315,4.183011268622395,-2.068241696713497,-2.56225030353466,-0.2700738777287639,0.03737530768234227,r8120019.trees
0,10001.0,250,77,0.016623632920735022,4.521253255775322,5.563491049287653,3.9162234576748016,-2.0287259934662063,-2.3668239644688036,-0.12821362668148498,0.03371550719005052,r8120020.trees
0,10001.0,250,78,0.02235022219653412,4.593484593719001,6.208995357891123,3.949231547339491,-2.50712427616654,-2.366796961943269,0.258934049419723,0.030646780671071384,r8120021.trees
0,10001.0,250,71,0.032010446018350805,3.7745490172602363,5.606407750705808,3.15816874554065,-1.178204664169863,-1.8445949449786112,-0.5591887049792812,0.03801496307811893,r8120022.trees
0,10001.0,250,61,0.015841017788263703,4.3550296793163294,6.5097635761909265,3.7429969250483444,-2.635624903655711,-2.2663836712627843,-0.39279705600537473,0.04244801787796347,r8120023.trees
0,10001.0,250,66,0.030104934078100384,3.80089801417359,6.445693144475574,3.1846812677441245,-1.8551255656661247,-1.8692099678390446,-0.5185679664243018,0.0410459040462927,r8120024.trees
0,10001.0,250,81,-0.0048278684235527275,4.369096073413898,2.9017111830188864,3.910129803609908,-1.1836338167682945,-2.438316718001691,0.29218579858102206,0.03255603057390854,r8120025.trees
0,10001.0,250,85,0.011406925667280852,4.708937274131842,3.7825528187114776,4.125180465599674,-1.9139659655824839,-2.5131469240930895,-0.18757529874674594,0.03598587899987045,r8120026.trees
0,10001.0,250,76,0.008681629941858157,4.263666844908238,6.754822980574687,3.7314094318911124,-2.0149010029329237,-2.2805947953253445,-0.3980706446636989,0.03440490070882608,r8120027.trees
0,10001.0,250,74,0.0003206781000868983,4.392461715872943,5.143239129546347,3.8897301323989875,-2.230507027577472,-2.4084769301104014,-0.3769509836867519,0.0364360668480373,r8120028.trees
0,10001.0,250,88,0.015984112616772492,3.6904475220596495,6.730315885959649,3.195628149866542,-1.1245708080926966,-1.9209156999347579,-0.22171117251173883,0.03288422507233234,r8120029.trees
0,10001.0,250,92,0.018795725486330985,4.793768050740786,6.376291371140178,4.167608386100695,-2.400496952907352,-2.5117718528547726,-0.5381663922172146,0.04122295634149502,r8120030.trees
0,10001.0,250,58,0.005419100859954156,4.222982760979317,6.585774265279695,3.6776034060595366,-0.7696309122327304,-2.2625705846781625,0.6057332359156391,0.02623396813058686,r8120031.trees
0,10001.0,250,57,0.03999312512894165,3.788228886083881,6.395910474822912,3.102653202207602,-1.666977881017342,-1.7876967044983985,0.5255591334383094,0.03001612183501029,r8120032.trees
0,10001.0,250,91,0.018311458719734375,3.94262827899166,6.756470461630079,3.410086100160772,-1.3887625998440807,-2.0448649938776233,-0.4479175731412794,0.034172532423601215,r8120033.trees
