#/home/enes/bim/BIM.py trees/ir8060022.trees,trees/ir8060023.trees,trees/ir8060024.trees,trees/ir8060025.trees,trees/ir8060026.trees,trees/ir8060027.trees,trees/ir8060028.trees,trees/ir8060029.trees,trees/ir8060030.trees,trees/ir8060031.trees,trees/ir8060032.trees,trees/ir8060033.trees,trees/ir8060034.trees,trees/ir8060035.trees,trees/ir8060036.trees,trees/ir8060037.trees,trees/ir8060038.trees 250 --stats=all --eta=etas/BC.json --out=outs/717744536.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,bsfs,FulD,ZngE,FayH,TajD,btree,Colless,path
0,10001.0,250,45,-1.0170431302258574,5.737735331843454,1.0178279262807017,1.7860335354172887,0.027823767757641504,2.2285438374374626,-0.19778720860159946,0.0385736494364555,ir8060022.trees
0,10001.0,250,39,-2.0599681332844693,4.978202523314834,-1.9406162743545758,3.4331468606736166,0.02301906572244631,4.1215653875743,-1.4177767490009558,0.049067236688690244,ir8060023.trees
0,10001.0,250,48,-1.4106158779702007,5.879081720724439,0.048273735651424475,2.4258823713402413,0.02857062161028582,2.9628304574361666,-1.3864616300003554,0.04592563803601503,ir8060024.trees
0,10001.0,250,49,-2.169793832843469,6.032747698242918,-2.1642206985086268,3.534591118751097,0.0074034571444251945,4.1009277936685375,0.027626253017924735,0.035496826013732344,ir8060025.trees
0,10001.0,250,62,-1.8368287723295809,5.079593072500683,-1.7777844950934465,3.0374549772345727,0.013462631029138819,3.535889730275142,-1.1424804827349218,0.05369866563026299,ir8060026.trees
0,10001.0,250,48,-1.4788336479558835,5.999563053623263,-0.6830440061623675,2.521798764052589,0.025991539781467544,3.056967791816149,-0.23172845256301738,0.036128384505765,ir8060027.trees
0,10001.0,250,45,-2.3846286004239006,4.035451793796832,-2.473507293788968,3.911171978099896,0.013598598683234911,4.588343700221331,-1.4705727384499054,0.05135596148032992,ir8060028.trees
0,10001.0,250,50,-1.6594421886405901,4.730585104729262,-1.8298976208592184,2.8829694950103613,0.03866839944079519,3.5451815970696083,-1.4582365197004865,0.05920456017618862,ir8060029.trees
0,10001.0,250,43,-0.9062700962412827,5.118930737520578,0.7891274930930117,1.5109915537956324,0.00990410470606144,1.804774263382789,-0.4920194475754696,0.038282160901671206,ir8060030.trees
0,10001.0,250,59,-2.0617111507274952,5.54860174230566,-1.1091343211323579,3.3941004193073723,0.012618152957518445,3.9429111513622512,-0.3598143270917941,0.043399404067884444,ir8060031.trees
0,10001.0,250,59,-2.328608593813077,4.343792898170733,-2.0155216929643363,3.633954427375861,-0.021724258467440978,3.9991241555954926,-0.40699862806706744,0.03880036274128773,ir8060032.trees
0,10001.0,250,65,-1.6976342790518342,4.099049243998873,-1.0086392318777198,2.835626590162873,0.017308048740034318,3.3255660171003467,-2.241608205001047,0.07037828734292007,ir8060033.trees
0,10001.0,250,47,-1.5173514458985191,2.5804860926959825,-1.0080498858402036,2.750637273017937,0.057092868594100156,3.515033992628098,-0.8994130940973749,0.0443656345813361,ir8060034.trees
0,10001.0,250,41,-1.3542383099048656,5.9880455160719315,-0.3042463519847463,2.299161255130033,0.022860025180247743,2.79949813890673,-1.081895569306963,0.045180722891566265,ir8060035.trees
0,10001.0,250,69,-2.375766541126016,6.731480631879747,-2.429518217236932,3.8833726369485393,0.008796294838157859,4.450156750287547,-0.591487926784658,0.04487304054929395,ir8060036.trees
0,10001.0,250,47,-1.66738768343786,5.862034080316126,-2.126421453418877,2.8496331741433,0.030627743641380285,3.4649453190472252,-0.6473730623184993,0.04213628708381914,ir8060037.trees
0,10001.0,250,49,-2.2493442675498687,5.030374794503639,-1.0878327471550784,3.6426112431965745,0.003694310278480693,4.201794134491493,-0.007699286377834758,0.03753724575722244,ir8060038.trees
