#/home/enes/bim/BIM.py trees/ir3110010.trees,trees/ir3110011.trees,trees/ir3110012.trees,trees/ir3110013.trees,trees/ir3110014.trees,trees/ir3110015.trees,trees/ir3110016.trees,trees/ir3110017.trees,trees/ir3110018.trees,trees/ir3110019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/549738493.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,FulD,FayH,ZngE,FerL,btree,Colless,path
0,100001.0,50,455,0.7258520391531184,0.17211578127180607,0.7448503014672528,0.04112197102248786,-0.1266499590656558,0.24592965413843781,-0.41115238324408504,0.13281026696392845,ir3110010.trees
0,100001.0,50,381,0.4883271917717303,0.0358064543579769,0.24547288903754205,0.0399529694027983,-0.2580373462456953,0.31550446803593524,0.32287551592618674,0.12343358395989973,ir3110011.trees
0,100001.0,50,414,-0.4497105248939889,0.03989314711156196,-0.7160383874747793,-0.08305684979845385,0.6553953475176842,-0.7241752828523189,-0.49584356007006686,0.13162109503995773,ir3110012.trees
0,100001.0,50,407,0.9091089777836284,0.33568530245440553,0.5653962539738119,0.05586831855697733,-0.0663714430110155,0.2734499699604525,0.19280671382667622,0.12184271856890902,ir3110013.trees
0,100001.0,50,439,0.7894128886296713,0.18455986467869973,0.21690236056911472,0.05336834079107651,-0.20432377687353337,0.34184540443124883,-0.39286272462661476,0.13380440671843957,ir3110014.trees
0,100001.0,50,474,0.36482313194429444,0.0011965545362490997,0.23914717399077245,0.050677392480304846,-0.3743746035720158,0.42767424004045757,-0.7447146295908741,0.14145322558553625,ir3110015.trees
0,100001.0,50,410,0.22051233007591986,0.10588748282417863,0.8261583769347065,0.017799940236130348,-0.02225355773627957,0.08776287343523034,0.42945419635446663,0.11126620459504558,ir3110016.trees
0,100001.0,50,480,-0.675443031341232,-0.2682858165585693,0.689076066507374,-0.055319149358524625,0.13259468657229453,-0.30945850739427594,-0.5764522116757193,0.14649155958679763,ir3110017.trees
0,100001.0,50,499,-0.13840688232480938,-0.10816726873808347,-0.02699114789260345,0.010244292369247116,-0.1879124669323655,0.15047338454750162,0.17317000034494204,0.10612752563712051,ir3110018.trees
0,100001.0,50,348,-0.48172897094422384,-0.04192019394686073,-0.6523673264783549,-0.10122831191522683,0.7028052378001081,-0.826750864535253,-0.6292401896509834,0.1515128439435476,ir3110019.trees
