#/home/enes/bim/BIM.py trees/r3030000.trees,trees/r3030001.trees,trees/r3030002.trees,trees/r3030003.trees,trees/r3030004.trees,trees/r3030005.trees,trees/r3030006.trees,trees/r3030007.trees,trees/r3030008.trees,trees/r3030009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/756415864.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FulD,FerL,TajD,ZngE,FayH,Colless,btree,path
0,100001.0,50,319,-3.1302215974492307,0.18993462101919553,-1.7728259971462361,-1.0273890240766916,1.0241422923732517,-0.2830432412999512,0.1751959930313589,-2.2063694881544538,r3030000.trees
0,100001.0,50,352,-3.349969743645559,2.091493278567628,-1.3736825859613053,-0.9261365782014617,0.7263098404865526,-0.2280483274074227,0.21154391243676934,-2.2164440492948745,r3030001.trees
0,100001.0,50,347,-3.2805804231612306,1.827748468182044,-1.9382253920367836,-1.0702178621089,1.1467564995988138,-0.30530114125478847,0.23108600583090383,-2.0979453280457996,r3030002.trees
0,100001.0,50,321,-2.014121511206724,0.26039806926829273,-1.221911574815161,-0.5302064578406396,0.7974657434438593,-0.1826138344576599,0.14801384839650142,-1.241621778599335,r3030003.trees
0,100001.0,50,370,-2.8361859344202194,2.110408537553017,-1.0273045674924477,-0.7702743486107346,0.503006133021157,-0.17584297011279126,0.17866709183673496,-1.3884018347274916,r3030004.trees
0,100001.0,50,401,-1.6436965367938245,0.7338203346433511,-0.5047636226722036,-0.6403402451378443,0.11186938652599139,-0.10459269229114192,0.2646430596047943,-1.691060341468415,r3030005.trees
0,100001.0,50,203,-2.4339728130724074,1.7312167546247237,-0.055888984892296996,-1.0272727528569023,-0.4758427846170938,-0.07901640571966526,0.22355804023737144,-1.527082336716457,r3030006.trees
0,100001.0,50,326,-1.9493943464637244,1.5666567963447364,-0.5042956100201924,-0.6217817336882383,0.12162553031249539,-0.10354139005753397,0.1495132535772929,-1.121517322255206,r3030007.trees
0,100001.0,50,334,-3.1867869853759836,1.317862105886157,-1.6090129674367104,-1.2070657881310773,0.7879413128686736,-0.2758962283428833,0.24891877280713592,-1.9253559579474595,r3030008.trees
0,100001.0,50,391,-3.49140375247318,0.685168091060942,-1.9935016612892498,-1.3877708401354003,1.0310240506725177,-0.33348244768379187,0.2754333371766787,-2.64617898136823,r3030009.trees
