#/home/enes/bim/BIM.py trees/r3010070.trees,trees/r3010071.trees,trees/r3010072.trees,trees/r3010073.trees,trees/r3010074.trees,trees/r3010075.trees,trees/r3010076.trees,trees/r3010077.trees,trees/r3010078.trees,trees/r3010079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/418075745.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,ZngE,bsfs,TajD,FayH,FerL,Colless,btree,path
0,100001.0,50,483,-0.2563268931199158,-0.36297644286418074,-0.31652411095712135,-0.2017373189327519,0.02081144441173143,0.29496029917566174,0.15202702702702708,-0.3443730637844461,r3010070.trees
0,100001.0,50,432,-0.27491026812450736,0.5728258618584048,0.5068823938746644,0.5755931011303382,0.002962627914066897,-0.31420613226777167,0.13216645039518685,0.5670983042039778,r3010071.trees
0,100001.0,50,407,0.8200861181164172,-1.0110239028436006,-0.16043685043536005,-0.4128504358688531,0.07909354113843871,0.9102397054546921,0.12414485568238597,-0.17336453209387825,r3010072.trees
0,100001.0,50,343,-0.09640919105889202,0.3314378731803264,0.6184936137163336,0.4513043244430578,0.018140232335075602,-0.11287248835344299,0.14618347338935572,-0.03976627569657431,r3010073.trees
0,100001.0,50,424,0.23619502154018154,0.504003284234811,0.4224481679205398,0.40196859602370644,-0.011994714075516109,-0.33808249123594,0.13260459624264218,0.35989363611982833,r3010074.trees
0,100001.0,50,493,-0.34805889643530924,0.29766703087516705,0.40748773978578456,0.4199690041550776,0.01845068133349344,-0.09170531099809244,0.1232123081790856,0.19457962184971217,r3010075.trees
0,100001.0,50,375,0.22307112193691564,0.34397841268074086,-1.8738968888245484,-0.5999576235703676,-0.13046153988807668,-0.7456348630603242,0.18850256151843459,-0.9058692442292651,r3010076.trees
0,100001.0,50,414,0.6433301103616643,0.5686832711716753,-0.385174995670328,0.013465037755128292,-0.0750219846392045,-0.6408232289195392,0.1682818097653263,-0.2820143670851364,r3010077.trees
0,100001.0,50,397,-0.2699329960310114,0.4583577796394365,-0.15494614559558734,0.04072569072869043,-0.05634152442572427,-0.4989616272538765,0.14551095163340055,-0.5553412047721176,r3010078.trees
0,100001.0,50,458,0.038963711081777354,0.21027403953580898,-0.33204323852718953,-0.10342591835599098,-0.04282085036372941,-0.30081129590546235,0.1531538357917424,-0.39708821094619395,r3010079.trees
