#/home/enes/bim/BIM.py trees/r3080020.trees,trees/r3080021.trees,trees/r3080022.trees,trees/r3080023.trees,trees/r3080024.trees,trees/r3080025.trees,trees/r3080026.trees,trees/r3080027.trees,trees/r3080028.trees,trees/r3080029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/522834076.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,TajD,FayH,FerL,FulD,btree,Colless,path
0,100001.0,50,397,0.21163636508957415,0.48003993462066286,0.36484097681686944,0.022330741600109654,-0.02660124024199394,0.10301574101390597,-0.15039726488512936,0.11820170776643989,r3080020.trees
0,100001.0,50,388,-0.3806295221452928,-1.6763041060606796,-0.6612645463716226,-0.04086772311177494,0.04494535143210854,1.135568941914705,-0.6615716225644765,0.13308077722106812,r3080021.trees
0,100001.0,50,366,-0.2995906014396971,-0.8632730546887764,-0.38210290659046203,-0.012809063323167605,0.1170191810640153,0.8350095543435195,-0.7865941696945389,0.15227420755536267,r3080022.trees
0,100001.0,50,437,0.12634595933683723,-1.031330012495156,-0.3529616860843681,-0.0663476513369417,-0.3521505222384787,0.8770788955097208,-0.35799340641995114,0.14970281041709602,r3080023.trees
0,100001.0,50,417,0.6562455135366021,-0.18081101237110486,0.16727186832155766,-0.0653708551128009,-0.6500856735992888,-0.05977642142096507,0.0008819980703644959,0.12074829931972784,r3080024.trees
0,100001.0,50,441,-0.11114070859688267,-0.06931258968539283,-0.11198086635325841,-0.0006202377477564843,0.060767570099421776,0.10020448075940029,-0.2567598967169818,0.14384077955506516,r3080025.trees
0,100001.0,50,462,0.5607488135757764,0.14740645276518205,0.19259420674403865,-0.04880840804630586,-0.5259948856759857,-0.6314232150040411,0.16948280142064343,0.13725647326993626,r3080026.trees
0,100001.0,50,422,-0.17679354176265374,-2.018716616163859,-0.6902589971836328,-0.07249381110821922,-0.2050344014764452,1.7621577591676476,-0.8836103962655686,0.17269263474620622,r3080027.trees
0,100001.0,50,421,0.30703583148652186,-0.5260420778034772,-0.16412736767395908,-0.06442818614003124,-0.4469594782251436,0.0854182547132005,-0.8443880629754983,0.16940446698910774,r3080028.trees
0,100001.0,50,377,0.34484784566235466,-1.456326226156209,-0.4553172277881323,-0.1103547820973727,-0.6615002849469431,0.6363041353145967,-0.5477035713157625,0.13641418105703812,r3080029.trees
