#/home/enes/bim/BIM.py trees/ir3000000.trees,trees/ir3000001.trees,trees/ir3000002.trees,trees/ir3000003.trees,trees/ir3000004.trees,trees/ir3000005.trees,trees/ir3000006.trees,trees/ir3000007.trees,trees/ir3000008.trees,trees/ir3000009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/393159433.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,FulD,FerL,ZngE,TajD,Colless,btree,path
0,100001.0,50,335,0.0044065483882207625,0.010751485768260868,-0.9913879550448378,0.10402015976855986,-0.1498216058437048,-0.11393170483325873,0.11165620094191525,0.34355784763577535,ir3000000.trees
0,100001.0,50,393,0.00144373152962892,-0.12336789514665127,0.7026297332978025,0.1351499065625626,-0.226244487086625,-0.20884835703342733,0.16784058756245857,-0.6278108033628637,ir3000001.trees
0,100001.0,50,353,0.050159403464708846,-0.18080850636985504,1.1123644544220688,0.5453082717644051,-0.5858792871288434,-0.20963302441013865,0.1347591362126245,-0.8139797609758945,ir3000002.trees
0,100001.0,50,384,-0.11411030298263514,-0.3909117392165073,-0.745863591130357,-0.9637694832465173,0.8467047972921642,0.003939992041275165,0.15309944202400058,-0.5967493183523187,ir3000003.trees
0,100001.0,50,385,-0.08439957485249065,-0.6827064846758699,0.016507711454231574,-0.6286212485297833,0.4786119781809607,-0.14017846679756077,0.13681283324140464,-0.5268726433985987,ir3000004.trees
0,100001.0,50,470,0.009023484542631724,0.6915403810986406,-0.17226499195771822,-0.2640805342967526,0.5299661002390588,0.5771293178013667,0.11557668521954238,-0.10839046682922633,ir3000005.trees
0,100001.0,50,497,-0.08333067376537262,-1.3945944135193795,1.2688229862510814,-0.426508133180953,0.12992256758648632,-0.47179914520548233,0.14924133715986393,-0.6492058445637621,ir3000006.trees
0,100001.0,50,467,-0.11770534883814687,-0.8328845862008694,0.06994082233073672,-0.8349964403070617,0.5920363153528463,-0.2709333359075699,0.14754065688775514,-0.7414042304443532,ir3000007.trees
0,100001.0,50,534,-0.07079288111777643,-0.37232185676672486,0.1753098133294579,-0.7039185539124244,0.7090473053414925,0.17714619279403646,0.13847789115646267,-0.29537940430292037,ir3000008.trees
0,100001.0,50,352,-0.05443796176656043,-0.868174849819538,0.4944189811132344,-0.2216321404132451,-0.01287909750850778,-0.40176099147121597,0.13486587816944962,-0.43987290055398826,ir3000009.trees
