#/home/enes/bim/BIM.py trees/ir8000022.trees,trees/ir8000023.trees,trees/ir8000024.trees,trees/ir8000025.trees,trees/ir8000026.trees,trees/ir8000027.trees,trees/ir8000028.trees,trees/ir8000029.trees,trees/ir8000030.trees,trees/ir8000031.trees,trees/ir8000032.trees,trees/ir8000033.trees,trees/ir8000034.trees,trees/ir8000035.trees,trees/ir8000036.trees,trees/ir8000037.trees,trees/ir8000038.trees 250 --stats=all --eta=etas/BC.json --out=outs/568286847.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FayH,bsfs,FerL,TajD,FulD,Colless,btree,path
0,10001.0,250,57,0.2028501496241989,0.1360307562606305,1.4466033806028278,0.3402763020872431,1.0876336599512604,-0.41905967781087716,0.04558232931726908,-0.7833166200420597,ir8000022.trees
0,10001.0,250,44,-1.1487736782581974,0.0536592895537369,-1.0079329857475126,0.8917296511524453,-0.9942907847895972,2.6876958000499664,0.05405030259285992,-1.0487387614322214,ir8000023.trees
0,10001.0,250,69,0.047009226239654624,-0.032752999890065346,-0.5442518280574642,-0.14365039979461944,-0.1559061728872812,0.9628533130651771,0.05581774101012344,-0.9944580025100803,ir8000024.trees
0,10001.0,250,67,1.3662048328673058,-0.27754201168342063,-0.7700980333958776,-1.8143586592719827,-0.22081450435676872,0.004723868718810779,0.05619251198341754,-0.885720080879777,ir8000025.trees
0,10001.0,250,75,0.6387724458667876,0.06885867009701246,1.4279999146982703,-0.1530197142450517,1.1626280405456138,-1.2770264240783538,0.04463394374461794,-0.3258763615835478,ir8000026.trees
0,10001.0,250,56,-0.3491193929653614,0.0030470240367008695,-0.08658215090050217,0.22701858675435282,-0.379062978963532,0.5774319276174191,0.059533834261778294,-1.8459179105297137,ir8000027.trees
0,10001.0,250,81,0.6395299587216489,0.005708507385997058,0.48185497067939825,-0.3757488497171719,0.7564978111147537,-0.286468953354673,0.04336904067884441,-0.27941822784656994,ir8000028.trees
0,10001.0,250,46,0.23026867465696926,-0.05333390563474087,-0.221336209707237,-0.3209760041463731,-0.06464602775843381,-1.3459897975374755,0.05782403808783521,-1.2827433032063058,ir8000029.trees
0,10001.0,250,61,1.1002306023084645,-0.2617232321345356,-0.7955460448032723,-1.585850699997725,-0.4057037288412233,0.2932074070466778,0.08197305350433993,-2.2850202269869198,ir8000030.trees
0,10001.0,250,80,0.7681348246233711,-0.292382234310232,-1.3459459950618704,-1.5119342644966547,-1.019186205791378,-0.706556382273739,0.06376473636481408,-1.6135757799429757,ir8000031.trees
0,10001.0,250,64,-0.3996126918624391,0.05003576621654561,0.412307856588428,0.4213652740588071,-0.1356406763139925,-0.6974575740732593,0.059261238502396694,-1.5641265832291325,ir8000032.trees
0,10001.0,250,57,1.3383681759011719,0.017541570568100323,1.2842235524729706,-0.7701514587299925,1.635925817650833,-0.10708012700926088,0.0601139047505157,-1.6250171522348564,ir8000033.trees
0,10001.0,250,46,-0.373595803539758,0.09665337220552331,2.2843252469057456,0.5545348523359238,0.167436057012356,-0.2053684666530862,0.05241395690288034,-1.1720391737596056,ir8000034.trees
0,10001.0,250,53,-0.29098820995282937,-0.027749132237728725,-0.7662143939147202,0.08631908591271725,-0.5063477694082026,1.7730184087762202,0.06049417611796159,-1.8694107865071585,ir8000035.trees
0,10001.0,250,72,0.07959067783290306,0.03681708628110144,0.3608050852446422,0.07994353908907055,0.32561952129218047,0.049646567213155364,0.053710232635611574,-0.9253462561576936,ir8000036.trees
0,10001.0,250,51,-0.23111883454341547,0.06913739768630192,2.231563327001298,0.3772480703750215,0.16659685156780205,-0.12440113178281195,0.047086194239322886,-0.5380809056165569,ir8000037.trees
0,10001.0,250,60,0.561926911486066,-0.14402096789258406,-0.6276008952224527,-0.8448211222611528,-0.27116109119753723,-0.8432189439040395,0.07885169711102476,-2.523320087126364,ir8000038.trees
