#/home/enes/bim/BIM.py trees/ir3000060.trees,trees/ir3000061.trees,trees/ir3000062.trees,trees/ir3000063.trees,trees/ir3000064.trees,trees/ir3000065.trees,trees/ir3000066.trees,trees/ir3000067.trees,trees/ir3000068.trees,trees/ir3000069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/768315210.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,TajD,FulD,ZngE,bsfs,Colless,btree,path
0,100001.0,50,404,0.04887727011550757,0.3963656334297731,0.02683273109928385,0.2641330736991696,-0.3335724475663518,0.4816882890049257,0.10775253497625473,0.8198867981246183,ir3000060.trees
0,100001.0,50,471,0.036060241449265264,-0.015159169614266419,0.5425357336750214,-0.8082366661500741,0.29382872182121317,0.7141119883394056,0.12256235827664402,0.3059840566647321,ir3000061.trees
0,100001.0,50,447,-0.05981544962243427,-0.08623387097462758,-0.7107200753666861,1.2811006549216373,-0.29171225166919257,-2.0373779009497976,0.1636616511011185,-0.8110344613691068,ir3000062.trees
0,100001.0,50,415,-0.1157402987511585,-0.35405004295911807,-1.0564331679522367,1.0621037491888001,-0.23521312808191727,-2.7688214790319323,0.19365572315882873,-1.5989195404200724,ir3000063.trees
0,100001.0,50,401,0.029114819007204903,0.43751146764932564,-0.32603884201907335,0.43841861309698543,-0.5517952731176317,-0.2803656887109907,0.12821685277884742,-0.08902653075031935,ir3000064.trees
0,100001.0,50,437,-0.02477411718917251,-0.07959523872083046,-0.21984819816690312,0.029552790006109907,-0.043816846424037104,-0.39805618719156544,0.14243197278911554,-0.338131129032386,ir3000065.trees
0,100001.0,50,435,-0.004572401361475056,0.19226935210960436,-0.39172965835906626,0.4875545236409711,-0.37095470119358803,-0.41929921073679005,0.1255399970207061,-0.11723224251357815,ir3000066.trees
0,100001.0,50,485,0.04764019551276586,0.43727264776601527,-0.05838498318311894,0.5257899754899306,-0.41362456400648956,0.47435577057818434,0.14168449637919683,-0.5729467793069303,ir3000067.trees
0,100001.0,50,404,0.006052188056033428,0.2585350465516082,-0.3522912937504386,0.7772715020925661,-0.40849122368695967,-0.570580317275967,0.13626314162028452,-0.6231880077462225,ir3000068.trees
0,100001.0,50,454,0.011245897482183999,0.04020897727224387,0.09294135849278724,-0.8129237018004315,0.01278841830323605,0.23831243284906956,0.12383984601592575,0.07235867244793227,ir3000069.trees
