#/home/enes/bim/BIM.py trees/ir3090090.trees,trees/ir3090091.trees,trees/ir3090092.trees,trees/ir3090093.trees,trees/ir3090094.trees,trees/ir3090095.trees,trees/ir3090096.trees,trees/ir3090097.trees,trees/ir3090098.trees,trees/ir3090099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/980192252.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FayH,FulD,TajD,FerL,ZngE,btree,Colless,path
0,100001.0,50,365,0.2617722474550789,-0.0020543321770320894,0.805750411416491,0.10432775012176673,-0.07868488789067789,0.12275121778557994,-0.5049938080405946,0.14232341872919382,ir3090090.trees
0,100001.0,50,315,-1.14626941802432,-0.11006908798332718,1.219474374700806,-0.45646302247348663,-0.655752765293358,0.33949271567472356,-1.3611130623647871,0.2049080195458464,ir3090091.trees
0,100001.0,50,453,-3.0493181845777877,-0.21171416696531636,1.5477102113060581,-1.0071448282485957,-1.1947126342170535,0.5268716424354026,-1.6691226532987016,0.21498488284202577,ir3090092.trees
0,100001.0,50,440,-1.5772674710156078,-0.1065398807147079,1.118051880304508,-0.5755152232887039,-0.5604020012556582,0.1939074567947308,-0.8384482291151856,0.15921910430839,ir3090093.trees
0,100001.0,50,337,-1.7733016974289988,-0.021370540405515843,1.496381369561152,-0.7834468289246922,0.28101438792283867,-0.6497977909915081,-0.49104821841390367,0.13914565826330538,ir3090094.trees
0,100001.0,50,398,-0.47338128602886503,-0.0389232135476464,-0.01711525837559822,0.0322643930655663,-0.34715055794409744,0.32093118661796466,-1.7187485747315276,0.19033592818570733,ir3090095.trees
0,100001.0,50,404,-1.0537784700897745,-0.09421016490538231,0.447396798125382,-0.4551583442936747,-0.5263644136682748,0.22638747704643752,-1.3110610865795633,0.19786452316775754,ir3090096.trees
0,100001.0,50,436,-1.1460897534083128,-0.08938695770998292,0.44491238941336525,-0.40474039087784386,-0.5161350122882351,0.24335590390074793,-0.8734415336647622,0.14728040338942588,ir3090097.trees
0,100001.0,50,406,-0.13712612449665665,-0.03373008897112658,0.13720688886582952,0.11681160320712153,-0.353264987432548,0.369959783786867,-0.13488013007744573,0.11983169891333156,ir3090098.trees
0,100001.0,50,418,-1.2219031155025264,-0.13914589137349118,-0.1383748233459761,-0.5771896918680677,-0.8339600167073058,0.4329471374012124,-1.0879965226239445,0.19371328076685215,ir3090099.trees
