#/home/enes/bim/BIM.py trees/r8050187.trees,trees/r8050188.trees,trees/r8050189.trees,trees/r8050190.trees,trees/r8050191.trees,trees/r8050192.trees,trees/r8050193.trees,trees/r8050194.trees,trees/r8050195.trees,trees/r8050196.trees,trees/r8050197.trees,trees/r8050198.trees,trees/r8050199.trees,trees/r8050200.trees,trees/r8050201.trees,trees/r8050202.trees,trees/r8050203.trees 250 --stats=all --eta=etas/BC.json --out=outs/679206537.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,TajD,ZngE,FulD,FayH,bsfs,Colless,btree,path
0,10001.0,250,88,-0.5010123388392335,1.3231844533895094,0.994133774036133,-1.3318790001717646,0.03200523977453336,5.997751479480821,0.03655327916890296,-0.1301193625697749,r8050187.trees
0,10001.0,250,82,-1.2097462351667285,2.5978524845684805,2.1316083804222528,-0.984583801270448,0.030996213006521528,5.438091980640942,0.045722592603665284,-0.709100316834096,r8050188.trees
0,10001.0,250,55,-0.6461816195481837,1.8086696027058864,1.3129487674219618,0.6400270109984542,0.0493725724375636,3.4223105661026763,0.03233461706061783,0.18459764627125222,r8050189.trees
0,10001.0,250,83,-0.10570150102534925,1.9544717082985044,0.954426914927831,-1.0092480510360406,0.13647763078389538,2.026320067210758,0.028813317787278147,0.6205190926222675,r8050190.trees
0,10001.0,250,83,-0.0030619604465233876,1.5177267930862834,0.6773372483726259,0.524879547098009,0.11709330135923035,2.3492214258490707,0.030871285729427968,0.2032076250214355,r8050191.trees
0,10001.0,250,81,-0.11671949605088319,1.5317131083954534,0.7748044016453187,-0.959342600914889,0.10232398908807538,1.913354800230861,0.03674914712613897,-0.015722490222143278,r8050192.trees
0,10001.0,250,74,-0.2803068587310936,1.8846469817181146,1.061106452913879,-1.0089546103087745,0.10711872505115781,2.077736620539298,0.028517817367283906,0.514659287613773,r8050193.trees
0,10001.0,250,71,0.18041083060795235,1.2414327220742882,0.4035562094629884,-0.41611511278607005,0.12277433923708994,2.277690920376668,0.0359961350779462,-0.06274615031707605,r8050194.trees
0,10001.0,250,83,-0.21831267031040522,1.7323462271247272,0.9465995232172323,-0.13260370924515522,0.10344052208398248,1.4315683393419179,0.03526876322494279,-0.18604751434224143,r8050195.trees
0,10001.0,250,81,-0.29955908085134714,2.3848340228517735,1.3014942445078923,-1.8565074643285104,0.14271044952565587,1.5286052949850502,0.025923047026816935,0.947904268839759,r8050196.trees
0,10001.0,250,91,-0.5042543185727395,1.7342962719035235,1.1807174782659706,-0.3847964500427541,0.06323119670615776,0.7097455081964852,0.03621460558887686,-0.3824574734257337,r8050197.trees
0,10001.0,250,84,-0.12549144121035524,1.6910258271506131,0.8535544390333912,0.05006082317429558,0.11322409335491006,1.1191643298717997,0.029228255373209795,0.592893575720915,r8050198.trees
0,10001.0,250,58,-0.0018483649319667316,1.241078278290276,0.5462967312412765,1.0722197743787614,0.09816019126982752,2.1482524565548142,0.035341116326347566,0.0367746643402931,r8050199.trees
0,10001.0,250,82,0.3998748619742948,0.976060275804373,0.11093322160354496,1.010684094606181,0.1319259758283979,1.6763815914898448,0.032248995983935734,0.2912162966503717,r8050200.trees
0,10001.0,250,67,-1.2413150549803702,2.830331489824666,2.2507662684900622,-1.604848554541067,0.04408628129514681,3.8679866367786535,0.038075902932613315,-0.2708576210626953,r8050201.trees
0,10001.0,250,76,-1.0532727378358628,2.6424093216901468,2.0218352063978795,-1.3001975058694983,0.056415104478069904,4.850406395572458,0.03540146248074737,-0.11103922835528307,r8050202.trees
0,10001.0,250,73,-1.4930206737640936,3.147182205536547,2.598468966409834,-2.218756285826025,0.03322222215332248,5.168994102054565,0.03449903833697072,-0.006160877032619196,r8050203.trees
