#/home/enes/bim/BIM.py trees/ir3090070.trees,trees/ir3090071.trees,trees/ir3090072.trees,trees/ir3090073.trees,trees/ir3090074.trees,trees/ir3090075.trees,trees/ir3090076.trees,trees/ir3090077.trees,trees/ir3090078.trees,trees/ir3090079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/600463941.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,bsfs,FayH,FerL,FulD,Colless,btree,path
0,100001.0,50,406,-0.15380555205127106,0.6397451868500058,-0.8720366666330159,-0.1080277843324343,-0.8204499108047304,0.3195734942082926,0.1764270925761609,-1.3247808291901382,ir3090070.trees
0,100001.0,50,359,-0.2389785585506132,0.05394417103921653,-0.48094848334361295,-0.04072989394406674,-0.2021635704275832,0.2970800952155484,0.13207124955245247,0.1296893797434929,ir3090071.trees
0,100001.0,50,410,-0.138841861416749,1.0328371381229213,-1.1089759119982656,-0.1590874806666458,-1.2600772171284575,0.39272206845981006,0.1536317058468957,-1.353927168747246,ir3090072.trees
0,100001.0,50,366,0.5267047626745668,0.9897041603529044,0.07858498040038508,-0.06052005567243026,-0.8194363510970156,-0.33751241589944897,0.13524979884426894,-0.36759745935321164,ir3090073.trees
0,100001.0,50,426,0.02940226349863403,-0.15284680310578325,-0.005988873758677119,0.02476451883367067,0.1916830389660814,0.602119262281287,0.1483751109139308,-0.5765012363183919,ir3090074.trees
0,100001.0,50,343,-0.9844591207181039,0.26432525686082287,-2.5541355404998747,-0.1735829180988287,-0.8806218335020553,-0.09640919105889169,0.1763835742630385,-1.3012100803289814,ir3090075.trees
0,100001.0,50,385,-0.27118970638549805,0.45755762058164184,-1.3159228429354082,-0.0998566012416486,-0.681730220396236,0.7470507400621013,0.2034573323000086,-1.525468257098494,ir3090076.trees
0,100001.0,50,449,-0.9507641926249416,-0.1949072100688661,-2.906394773601827,-0.10639502606461973,-0.338178198985463,1.6567589698682035,0.15307505115867487,-0.5033403360904354,ir3090077.trees
0,100001.0,50,441,-0.6503837013688615,-0.5858946570707901,-1.221365122965562,-0.011654343852906,0.28494395494300245,0.8728970172592279,0.17210019601060758,-1.1418740500927131,ir3090078.trees
0,100001.0,50,400,-0.25600980335422524,0.06526218709157451,-0.6682487836245967,-0.044596296864218093,-0.225232755124317,-0.03348510596596468,0.1679588502067493,-1.5193612882254703,ir3090079.trees
