#/home/enes/bim/BIM.py trees/r3070030.trees,trees/r3070031.trees,trees/r3070032.trees,trees/r3070033.trees,trees/r3070034.trees,trees/r3070035.trees,trees/r3070036.trees,trees/r3070037.trees,trees/r3070038.trees,trees/r3070039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/682000382.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FerL,FayH,bsfs,FulD,btree,Colless,path
0,100001.0,50,352,0.03615643780285238,-0.35771604226696907,0.42950925779225235,0.05358392006072158,0.5028716455686457,-0.0939768126857518,-0.015934698843588193,0.12786618143761008,r3070030.trees
0,100001.0,50,405,0.20103659263621315,0.33610155320178897,-0.26503201512494273,-0.017386211977247216,0.27108553615194114,-0.18339526822074131,0.306773405228963,0.12336976210602583,r3070031.trees
0,100001.0,50,471,-0.2080503559491924,-0.4141322917697054,0.34962289699461924,0.026848032649602085,-0.024746916817243822,-0.14742807081869466,0.3682284576115227,0.1131465148873621,r3070032.trees
0,100001.0,50,505,-0.3771279777109245,-0.5139252158858888,0.36353516487347165,0.01666796407996963,-0.3214294177150821,0.7562329967268225,0.03974987406815519,0.12503882831671487,r3070033.trees
0,100001.0,50,463,-0.3042739027929244,-0.32315655963065665,0.18915466887455834,0.0011522993626539941,-0.25524364177353137,-0.31710314788829735,0.7294605879994475,0.10291262969834393,r3070034.trees
0,100001.0,50,508,0.5025277459186259,0.14699793760721347,0.12889461898445184,0.05027990285395925,0.7305815082089817,-0.8145662780627981,0.8565297087925696,0.10462654449534904,r3070035.trees
0,100001.0,50,396,-0.247009142885354,-0.09669760769437241,-0.03513784985862233,-0.02142348527246105,-0.5454947622673173,0.3733033561375682,-0.6479152570527409,0.14173235431738831,r3070036.trees
0,100001.0,50,468,0.007819935770498198,0.27808865542026423,-0.3125522924340928,-0.03643593546296487,-0.3206380159104228,0.09442137219602363,0.21188320566202773,0.12294128177586829,r3070037.trees
0,100001.0,50,533,0.10845621480594726,0.02010440710575788,0.041093039152640974,0.012415344173339183,0.19951760319618433,-0.8476762757743831,0.21289451610856755,0.11169467787114848,r3070038.trees
0,100001.0,50,470,-0.011147274700843604,-0.4516765310304833,0.5085648820853322,0.059392632734025855,0.45350307752305263,0.4584082901629732,0.22558820742228416,0.1164755506162861,r3070039.trees
