#/home/enes/bim/BIM.py trees/ir8090234.trees,trees/ir8090235.trees,trees/ir8090236.trees,trees/ir8090237.trees,trees/ir8090238.trees,trees/ir8090239.trees,trees/ir8090240.trees,trees/ir8090241.trees,trees/ir8090242.trees,trees/ir8090243.trees,trees/ir8090244.trees,trees/ir8090245.trees,trees/ir8090246.trees,trees/ir8090247.trees,trees/ir8090248.trees,trees/ir8090249.trees 250 --stats=all --eta=etas/BC.json --out=outs/904126949.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,ZngE,TajD,FayH,FerL,btree,Colless,path
0,10001.0,250,86,2.8926524689752293,-1.0799706104489972,3.3031160909378836,3.827309341859826,0.018108808632076215,-1.980186665143021,-1.138987184645662,0.04914280779030098,ir8090234.trees
0,10001.0,250,73,6.579960208662314,-1.476357042930451,3.504084621397855,4.006981900593792,0.007804877020407725,-2.1434174218336275,-0.07349769459684502,0.03902707604611996,ir8090235.trees
0,10001.0,250,80,5.655646642805776,-2.068241696713497,4.004900121709216,4.484341157610798,-0.003777331865682353,-2.493402499877513,-0.07692628230722535,0.037796346677030704,ir8090236.trees
0,10001.0,250,73,6.639916458195252,-0.7339578000348768,2.6644759383477368,3.115132820282335,0.016587535136536012,-1.5923888428066872,0.09847254386390995,0.03549682601373235,ir8090237.trees
0,10001.0,250,81,6.662577627155695,-1.1836338167682945,3.645184001197276,4.075741178436347,-0.004083572041588359,-2.271619134192784,0.1795855134395405,0.030881590879647626,ir8090238.trees
0,10001.0,250,54,4.796045946718408,-0.6073324070137391,2.270609764561624,2.6199116749034697,0.004152862809303966,-1.3948851209009283,-1.4226867463207018,0.0586863583365721,ir8090239.trees
0,10001.0,250,80,6.9415972070757475,-2.068241696713497,4.356264838801577,5.007840803316378,0.016077990158063382,-2.6406115052038515,-0.9591013206888821,0.04469490866692577,ir8090240.trees
0,10001.0,250,71,3.672042158654935,-1.6862643650923914,4.027333841295168,4.593165821472777,0.0063954538564926534,-2.472944891237934,-0.835585307055045,0.04858142246404975,ir8090241.trees
0,10001.0,250,63,3.376829696338516,-0.6612269439215188,3.060741977352287,3.550303099573601,0.011885731523540841,-1.8564844314538957,-0.27934055360821974,0.033942220494882755,ir8090242.trees
0,10001.0,250,64,3.2629596530498794,-2.937707514693925,3.6989042187466636,4.334287744364168,0.021632110705737607,-2.2180595330763038,-1.0875190455955568,0.05183637776914108,ir8090243.trees
0,10001.0,250,58,6.580374830151611,-2.3045064844089738,3.7273925892747597,4.324706177213379,0.012559047835944564,-2.2689406772463996,0.2623034133726635,0.03201515740380878,ir8090244.trees
0,10001.0,250,62,3.534989971350303,-1.4893146806158994,3.2414163880479006,3.6940592356204847,0.0018576207526082302,-2.003431708999533,-0.7538014952056473,0.04460854169365635,ir8090245.trees
0,10001.0,250,72,6.555777050427472,-1.7052891449451395,3.5462967167651174,4.095483211435716,0.013890391379377974,-2.148391983501882,-0.12719590225948882,0.03449280994947532,ir8090246.trees
0,10001.0,250,55,3.725788313517764,-1.939940940975148,4.467203132909031,4.95560882508911,-0.022885608391363756,-2.849911612096885,-0.26348738762872803,0.037375307682342276,ir8090247.trees
0,10001.0,250,65,6.778360139761101,-1.836623754977502,4.245124148765465,4.884739571421387,0.011149116972428265,-2.592780559828092,-1.5750807557922686,0.05079997408990802,ir8090248.trees
0,10001.0,250,53,4.575440978161658,-1.5644675274987263,3.7830292791815863,4.222009293871274,-0.01646512477183087,-2.403759188088411,-0.27564646314797253,0.036015027853348876,ir8090249.trees
