#/home/enes/bim/BIM.py trees/ir8010186.trees,trees/ir8010187.trees,trees/ir8010188.trees,trees/ir8010189.trees,trees/ir8010190.trees,trees/ir8010191.trees,trees/ir8010192.trees,trees/ir8010193.trees,trees/ir8010194.trees,trees/ir8010195.trees,trees/ir8010196.trees,trees/ir8010197.trees,trees/ir8010198.trees,trees/ir8010199.trees,trees/ir8010200.trees,trees/ir8010201.trees 250 --stats=all --eta=etas/BC.json --out=outs/646557579.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,FulD,FayH,bsfs,TajD,Colless,btree,path
0,10001.0,250,89,-0.2947592430581702,0.5661571697547303,-2.1716056033941364,0.10731897712624518,2.617246118000486,0.36488830992640797,0.046043852830677544,-0.6523173947739009,ir8010186.trees
0,10001.0,250,67,-0.19366694608035098,0.5625734664924912,-1.3365864839977537,0.12693710621698054,1.9185966197229543,0.5893929712851137,0.04406942285270112,-0.5914485701436135,ir8010187.trees
0,10001.0,250,79,-0.14200613563208933,0.5803349458350051,-1.596049289109227,0.13907947202856122,3.3233647022568573,0.7355515789977591,0.04801339352447009,-0.8868497846810345,ir8010188.trees
0,10001.0,250,70,-0.021997120863178253,0.5025933483247077,-0.12206448590580056,0.13965089779641696,1.0267303250291304,0.8675135821707864,0.041901476875242906,-0.3805287030417266,ir8010189.trees
0,10001.0,250,66,-0.20227255158951407,0.4666906693897894,0.049388243199684975,0.09804979259597356,3.210219944639541,0.39481875236755737,0.04046832491255344,-0.5124737385830278,ir8010190.trees
0,10001.0,250,62,0.786740808909497,-0.28529276403326054,-0.9123750516608061,0.05856039720584542,3.4871454144648446,1.2648051118326857,0.054716176534093365,-1.3675481867499562,ir8010191.trees
0,10001.0,250,72,1.2951657516384405,-0.5623651024430572,-2.4574044501558374,0.06838249741568798,1.3453557320605107,1.9010382984332785,0.043347302252488215,-0.38322455105074515,ir8010192.trees
0,10001.0,250,75,0.5434542235312882,0.06316748420102618,-0.5533239085139716,0.11345064837532472,2.023879219392658,1.3413002128755278,0.04360092700551309,-0.5347208180732589,ir8010193.trees
0,10001.0,250,86,-0.11523545396454708,0.4601260044723838,0.19138071279928065,0.10903586203894627,1.418056472949144,0.5760129934536554,0.03980167983763009,-0.11667167820009254,ir8010194.trees
0,10001.0,250,86,0.0453785813899111,0.325071262637989,-0.2324030616168125,0.09904392439977164,2.8523566764077577,0.6917723396411452,0.056199709231189984,-1.4158622139881578,ir8010195.trees
0,10001.0,250,76,0.5099437573512586,0.0454503013223266,-1.5384320048906401,0.10240415048904411,1.6054437102448875,1.232872424252739,0.04684463661095997,-0.7382341291476445,ir8010196.trees
0,10001.0,250,70,-0.16096028280474192,0.44368577527799624,0.39282380177196224,0.0982332554969476,0.9403484959016446,0.4456939372713401,0.04424328136920441,-0.4791072037712345,ir8010197.trees
0,10001.0,250,69,-0.8171450620730905,0.9229772304346514,0.17999834453392108,0.11914790168508708,1.0794771640774385,-0.16394641829366957,0.05342337090296671,-1.1632062699992303,ir8010198.trees
0,10001.0,250,54,0.7737692906895869,-0.05042890309858727,-0.9353579182464249,0.12620667769942998,3.390240023561927,1.675029578997359,0.04413969241019377,-0.5592571702202149,ir8010199.trees
0,10001.0,250,73,-0.3929670018159034,0.5767169607363989,0.9983071000547965,0.09480505943835245,1.318580914934682,0.16371121329719182,0.05377315714470787,-1.152251632548373,ir8010200.trees
0,10001.0,250,80,-0.2228108291117652,0.6608343973249835,0.42818137975939313,0.14752415997649823,0.9842285859350934,0.6997236704959449,0.041937643045299476,-0.32965206185757034,ir8010201.trees
