#/home/enes/bim/BIM.py trees/ir8000039.trees,trees/ir8000040.trees,trees/ir8000041.trees,trees/ir8000042.trees,trees/ir8000043.trees,trees/ir8000044.trees,trees/ir8000045.trees,trees/ir8000046.trees,trees/ir8000047.trees,trees/ir8000048.trees,trees/ir8000049.trees,trees/ir8000050.trees,trees/ir8000051.trees,trees/ir8000052.trees,trees/ir8000053.trees,trees/ir8000054.trees,trees/ir8000055.trees 250 --stats=all --eta=etas/BC.json --out=outs/274737224.csv --r2t=0.005 --r2s=0.001 --treew=branch
start,end,N,SS,TajD,FulD,bsfs,ZngE,FayH,FerL,Colless,btree,path
0,2501.0,250,14,2.1415808206395885,-1.373242665914419,1.8679146868751784,1.0604961250281846,0.1624441556106379,-0.24293596312163168,0.041051301982122035,-0.010991748937039386,ir8000039.trees
0,2501.0,250,28,0.5623254711038932,-0.34974905251851923,0.5984626764373354,0.7103013275658157,-0.047457124424583136,-0.5888039147377314,0.06778727814483741,-1.382487325778735,ir8000040.trees
0,2501.0,250,15,-1.3585414921905257,4.556578154091429,-1.7643773157548452,1.0807772021806945,-0.516709783001726,-2.0469995495291,0.0711879777173209,-0.981489710018332,ir8000041.trees
0,2501.0,250,13,1.8916599242250018,-2.3970717900180203,0.7597103144119753,1.4422538293742813,0.020057753717675965,-0.8539664457471275,0.04671913460292784,-0.1384491968152759,ir8000042.trees
0,2501.0,250,13,-0.44861096181872134,-0.14726309148325337,-7.12390662050588e-06,-0.30779371350314716,-0.013213674312934909,0.15955357295279404,0.05981992486073325,-1.6171207438959994,ir8000043.trees
0,2501.0,250,11,-0.1941183461791097,0.2523487190495647,1.7494547413051793e-05,-0.4874439747609381,0.08691095679635953,0.5154326637642392,0.07717968648788703,0.400066640260352,ir8000044.trees
0,2501.0,250,26,0.1527134268547497,-0.16565173675077835,0.41913551363957047,-0.2981354306888431,0.08784010538201585,0.45224133392409815,0.0657144707863713,-2.3985502558547527,ir8000045.trees
0,2501.0,250,11,0.08148572378038373,1.5338211835684223,1.7494547413051793e-05,0.08618007055027359,-0.005562438156521622,-0.0675350161400443,0.09168933799714989,-0.7374228921738286,ir8000046.trees
0,2501.0,250,14,-0.6111728342409625,2.8689971750578738,-0.447489576900864,-0.5703052139576432,0.018240184672287007,0.40499217957698913,0.06197370125663946,-2.2072528737886006,ir8000047.trees
0,2501.0,250,22,-1.2108413488240868,3.2088689824346,-0.93852956352581,-1.1327258542453054,0.026184538017652845,0.7841057584120134,0.0645485166472341,-0.7231307936810065,ir8000048.trees
0,2501.0,250,19,-0.4434185782002373,2.384458276296461,-0.8078001431840525,-0.14668276820288328,-0.048667874554287456,-0.045689940829256766,0.07850757870190439,-2.110854870970865,ir8000049.trees
0,2501.0,250,11,-0.4984603367886967,0.2523487190495645,1.7494547413051793e-05,-0.528417120854596,0.03435019501581207,0.4146809542294498,0.10114652157015157,-1.0992589611828514,ir8000050.trees
0,2501.0,250,20,-0.6225611372209945,-1.0119084632668656,-0.3963540072782273,-0.34610229908989326,-0.03718444679726663,0.11003156144046447,0.05428164269983158,-0.7762008181674841,ir8000051.trees
0,2501.0,250,23,-0.9814796761993769,-1.244619872928807,6.669880563534684e-06,-1.0034542754522284,0.038551377346787666,0.7404179785156719,0.0480470268169452,0.03426413922698951,ir8000052.trees
0,2501.0,250,21,-0.8079444976715902,-0.3359691819397459,-0.9718127090284052,1.6213028402803285,-0.49537381578080986,-2.446164676880325,0.0551723021116725,-2.3903300362327258,ir8000053.trees
0,2501.0,250,10,-1.1662221265394779,0.4973207385797263,-0.4149073816339287,-1.314078002327408,0.10575925182749377,1.072566616147123,0.04326985360798031,-1.5418903769667682,ir8000054.trees
0,2501.0,250,13,-0.8972716073385704,2.102545607051513,-1.0738472357833522,-0.3732840581430511,-0.08628428678119958,0.01502328432473888,0.043367016452908407,-0.24965415432134752,ir8000055.trees
