#/home/enes/bim/BIM.py trees/r3100010.trees,trees/r3100011.trees,trees/r3100012.trees,trees/r3100013.trees,trees/r3100014.trees,trees/r3100015.trees,trees/r3100016.trees,trees/r3100017.trees,trees/r3100018.trees,trees/r3100019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/510165882.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,TajD,bsfs,FerL,ZngE,FayH,btree,Colless,path
0,100001.0,50,336,1.6866419654459461,-0.41290348154837125,-0.6906131913990056,0.41244820394472914,-0.5740565805457325,0.020187590417295516,-0.08727500222464996,0.13000230956580158,r3100010.trees
0,100001.0,50,463,-0.6051732643373448,0.4185795912263871,0.5363412589299004,-0.13108086819554204,0.33133464872418483,0.013696317740912692,0.4027981026794016,0.10830971277399848,r3100011.trees
0,100001.0,50,358,-0.602145597227322,0.0054058715050807745,0.02472216954289784,-0.016757287923867006,0.017470962984638808,-0.0016133732584275719,0.5765417113668866,0.09391362605648312,r3100012.trees
0,100001.0,50,446,-0.3697020903245146,-0.12994247338322157,0.10817873149867804,0.2593541484335533,-0.2945348419475665,0.02163883186102528,0.0938809690276102,0.12462415905588757,r3100013.trees
0,100001.0,50,451,0.5177914414882224,-0.1383087729726365,0.43363685909970523,0.7523226539803918,-0.7310738447544975,0.07941020691472761,0.07911768857063152,0.1122993532388324,r3100014.trees
0,100001.0,50,411,0.09550502026164359,0.3144346621958941,0.6744818151210656,0.20699522657299751,-0.019079702637742044,0.04649906973221002,0.09854074232880428,0.11357201840273687,r3100015.trees
0,100001.0,50,486,-0.45809628692973603,0.11547124559767362,0.3520235322913806,0.22815464900115082,-0.14033414890722812,0.035036486273265145,0.25932206342108277,0.12190638160025918,r3100016.trees
0,100001.0,50,540,0.3290012621678751,-0.1330208286636535,-0.9055000409473104,-0.5298131730353568,0.3957940593466957,-0.07184373133327647,-0.5596474650013277,0.14161920582186358,r3100017.trees
0,100001.0,50,490,-0.33000636828530505,0.6355052348791592,0.8402542096082913,-0.12081164093929575,0.4346683273374468,0.030043791722444667,0.17077219477206812,0.11339749169810097,r3100018.trees
0,100001.0,50,458,0.7507797959172211,0.19865350881517668,0.29368806546755644,-0.06741867270093999,0.1618030443450872,0.005883443283446295,-0.27858267653884283,0.14326622540908254,r3100019.trees
